Местное время в Бохане;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
13.11.2019 20:00;-15.3;718.9;762.4;;74;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;-7.3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-19.0;Осадков нет;12;;;;
13.11.2019 23:00;-12.6;718.9;761.9;;72;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;-16.6;;;;;;
14.11.2019 2:00;-11.4;719.7;762.5;;86;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;4.0;-13.3;;;;;;
14.11.2019 5:00;-9.2;721.1;763.6;;71;Ветер, дующий с северо-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;-13.6;;;;;;
14.11.2019 8:00;-12.3;723.4;766.6;;61;Ветер, дующий с северо-северо-запада;3;;11;40%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-15.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-18.3;0.4;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;1.0
14.11.2019 11:00;-12.2;724.6;767.9;;61;Ветер, дующий с северо-запада;4;;;20–30%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-18.2;;;;;;
14.11.2019 17:00;-13.6;724.3;767.8;;67;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-18.5;;;;;;
14.11.2019 20:00;-19.7;724.3;768.9;;80;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;-10.7;;;;;;;-22.3;Осадков нет;12;;;;
14.11.2019 23:00;-22.8;724.5;769.6;;78;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-25.6;;;;;;
15.11.2019 2:00;-24.3;724.1;769.5;;76;Ветер, дующий с востоко-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-27.3;;;;;;
15.11.2019 5:00;-23.9;723.9;769.2;;76;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-27.0;;;;;;
15.11.2019 8:00;-24.3;724.5;769.9;;75;Ветер, дующий с юга;1;;;Облаков нет.; ;;;-24.5;;;;;;;;-27.5;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;1.0
15.11.2019 11:00;-21.1;725.1;770.0;;71;Ветер, дующий с юга;1;;;100%.; ;;;-24.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;-25.0;;;;;;
15.11.2019 14:00;-11.6;724.6;767.8;;60;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-17.8;;;;;;
15.11.2019 17:00;-14.0;724.9;768.6;;57;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;50.0;-20.7;;;;;;
15.11.2019 20:00;-18.9;725.9;770.5;;76;Ветер, дующий с юга;1;;;100%.; ;;;;-11.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;-22.1;Осадков нет;12;;;;
15.11.2019 23:00;-19.6;726.8;771.5;;79;Ветер, дующий с юго-юго-запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-22.4;;;;;;
16.11.2019 2:00;-18.5;728.5;773.0;;77;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-21.5;;;;;;
16.11.2019 5:00;-17.2;730.2;774.7;;80;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-19.8;;;;;;
16.11.2019 8:00;-15.9;732.4;776.8;;79;Ветер, дующий с северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-20.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-18.8;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;1.0
16.11.2019 11:00;-16.9;735.1;779.8;;64;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-22.1;;;;;;
16.11.2019 14:00;-18.0;736.9;782.0;;63;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-23.3;;;;;;
16.11.2019 17:00;-18.8;739.0;784.3;;56;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;-25.4;;;;;;
16.11.2019 20:00;-20.2;740.8;786.5;;60;Ветер, дующий с северо-запада;1;;;100%.; ;;;;-15.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;-26.0;Осадков нет;12;;;;
16.11.2019 23:00;-22.5;741.9;788.1;;71;Ветер, дующий с северо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;-26.4;;;;;;
17.11.2019 2:00;-23.8;742.3;788.8;;76;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-26.9;;;;;;
17.11.2019 5:00;-27.3;742.1;789.1;;74;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;-30.6;;;;;;
17.11.2019 8:00;-29.8;742.0;789.6;;69;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;-29.8;;;;;;;;-33.6;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;1.0
17.11.2019 11:00;-25.2;740.6;787.2;;67;Ветер, дующий с востока;2;;;Облаков нет.; ;;;-30.0;;;;;;;50.0;-29.5;;;;;;
17.11.2019 14:00;-18.5;737.9;783.1;;59;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-24.6;;;;;;
17.11.2019 17:00;-18.8;736.2;781.3;;57;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-25.3;;;;;;
17.11.2019 20:00;-23.8;735.4;781.5;;71;Штиль, безветрие;0;;;Облаков нет.; ;;;;-17.2;;;;;;;-27.6;Осадков нет;12;;;;
17.11.2019 23:00;-25.3;734.5;780.7;;73;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-28.8;;;;;;
18.11.2019 2:00;-26.6;742.3;788.8;;70;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-30.4;;;;;;
18.11.2019 5:00;-27.8;732.8;779.5;;71;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-31.5;;;;;;
18.11.2019 11:00;-23.7;731.6;777.4;;61;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;-29.1;;;;;;;50.0;-29.2;;;;;;
18.11.2019 14:00;-14.8;729.5;773.6;;39;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-25.7;;;;;;
18.11.2019 20:00;-20.7;727.0;771.9;;69;Штиль, безветрие;0;;;Облаков нет.; ;;;;-12.7;;;;;;;-24.9;Осадков нет;12;;;;
18.11.2019 23:00;-21.3;725.5;770.5;;65;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-26.1;;;;;;
19.11.2019 5:00;-17.3;723.4;767.5;;77;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;-20.4;;;;;;
19.11.2019 8:00;-15.6;723.6;767.4;;77;Штиль, безветрие;0;;;100%.; ;;;-21.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;-18.8;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;1.0
19.11.2019 11:00;-12.4;724.3;767.5;;68;Ветер, дующий с востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-17.1;;;;;;
19.11.2019 14:00;-6.9;723.8;766.2;;56;Ветер, дующий с юго-юго-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-14.3;;;;;;
19.11.2019 17:00;-9.9;724.3;767.1;;66;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;50.0;-15.1;;;;;;
19.11.2019 20:00;-14.9;724.7;768.4;;81;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;-6.8;;;;;;;-17.4;Осадков нет;12;;;;
19.11.2019 23:00;-15.5;723.8;767.5;;81;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;-18.1;;;;;;
20.11.2019 2:00;-14.4;723.0;766.5;;81;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-17.0;;;;;;
20.11.2019 5:00;-11.9;721.5;764.5;;77;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-15.1;;;;;;
20.11.2019 8:00;-11.8;720.2;763.2;;79;Штиль, безветрие;0;;;60%.; ;;;-16.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.7;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;1.0
20.11.2019 11:00;-8.5;719.5;761.8;;66;Ветер, дующий с востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;-13.8;;;;;;
20.11.2019 14:00;-4.1;718.6;760.3;;60;Ветер, дующий с востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.8;;;;;;
20.11.2019 17:00;-7.0;718.5;760.6;;71;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.4;;;;;;
20.11.2019 20:00;-12.5;718.5;761.4;;86;Штиль, безветрие;0;;;Облаков нет.; ;;;;-3.8;;;;;;;-14.4;Осадков нет;12;;;;
20.11.2019 23:00;-13.7;718.3;761.5;;86;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-15.5;;;;;;
21.11.2019 2:00;-11.9;717.2;760.0;;85;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-13.9;;;;;;
21.11.2019 5:00;-9.4;717.1;759.5;;87;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-11.2;;;;;;
21.11.2019 8:00;-9.6;718.0;760.4;;88;Ветер, дующий с северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;-14.1;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;300-600;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;4.0;-11.3;2.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;2.0
21.11.2019 11:00;-9.8;719.8;762.4;;84;Ветер, дующий с северо-запада;5;10;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;300-600;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;10.0;-12.0;;;;;;
21.11.2019 14:00;-11.4;721.3;764.2;;73;Ветер, дующий с северо-запада;4;;11;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Метель;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;-15.4;;;;;;
21.11.2019 17:00;-12.7;723.1;766.4;;67;Ветер, дующий с северо-запада;4;;10;100%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;-17.7;;;;;;
21.11.2019 20:00;-14.0;725.0;768.7;;65;Ветер, дующий с северо-запада;4;;;100%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;-9.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;-19.2;2.0;12;;;;
21.11.2019 23:00;-16.0;726.4;770.5;;62;Ветер, дующий с северо-запада;3;;;Облаков нет.; ;;;;;;;;;;;-21.6;;;;;;
22.11.2019 2:00;-21.5;727.6;772.6;;72;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-25.3;;;;;;
22.11.2019 5:00;-25.3;728.5;774.4;;76;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-28.3;;;;;;
22.11.2019 11:00;-23.0;729.8;775.3;;69;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-27.2;;;;;;
22.11.2019 14:00;-15.3;729.8;773.9;;55;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-22.3;;;;;;
22.11.2019 17:00;-19.0;729.8;774.6;;68;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;50.0;-23.4;;;;;;
22.11.2019 20:00;-23.6;730.5;776.2;;76;Ветер, дующий с юго-востока;1;;;100%.; ;;;;-15.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-26.7;Осадков нет;12;;;;
22.11.2019 23:00;-26.0;730.9;777.1;;75;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-29.1;;;;;;
23.11.2019 5:00;-26.0;732.4;778.7;;72;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-29.6;;;;;;
23.11.2019 8:00;-26.1;733.9;780.3;;72;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;-27.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-29.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;2.0
23.11.2019 11:00;-23.6;735.1;781.3;;70;Ветер, дующий с востоко-юго-востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-27.6;;;;;;
23.11.2019 14:00;-17.8;735.1;780.1;;67;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-22.5;;;;;;
23.11.2019 17:00;-17.3;735.5;780.4;;78;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;-20.2;;;;;;
23.11.2019 20:00;-19.0;736.3;781.4;;80;Ветер, дующий с юга;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-17.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;-21.6;Следы осадков;12;;;;
23.11.2019 23:00;-21.3;736.5;782.1;;80;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-23.9;;;;;;
24.11.2019 2:00;-23.2;735.6;781.5;;78;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-26.0;;;;;;
24.11.2019 5:00;-22.1;734.2;779.8;;77;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;-25.0;;;;;;
24.11.2019 8:00;-22.9;733.0;778.7;;77;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;-23.4;;;;;;;;-25.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;1.0
24.11.2019 14:00;-9.7;729.8;772.9;;48;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-18.8;;;;;;
24.11.2019 20:00;-18.9;727.4;772.0;;77;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;-8.9;;;;;;;-21.9;Осадков нет;12;;;;
25.11.2019 2:00;-19.0;726.4;771.1;;77;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-22.1;;;;;;
25.11.2019 5:00;-18.4;726.7;771.1;;77;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-21.5;;;;;;
25.11.2019 8:00;-19.4;727.4;772.1;;79;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;-20.8;;;;;;;;-22.2;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;2.0
25.11.2019 11:00;-16.6;729.0;773.3;;71;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-20.7;;;;;;
25.11.2019 14:00;-11.7;729.6;773.1;;80;Ветер, дующий с севера;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;10.0;-14.5;;;;;;
25.11.2019 17:00;-9.1;731.2;774.4;;80;Ветер, дующий с северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;10.0;-11.9;;;;;;
25.11.2019 20:00;-13.3;734.1;778.1;;67;Ветер, дующий с северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-8.6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-18.2;0.5;12;;;;
25.11.2019 23:00;-19.6;736.7;782.1;;80;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;;-22.2;;;;;;
26.11.2019 2:00;-22.6;738.7;784.6;;82;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-24.9;;;;;;
26.11.2019 5:00;-26.1;739.5;786.3;;77;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-28.9;;;;;;
26.11.2019 8:00;-27.5;740.6;787.7;;74;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;-27.7;;;;;;;;-30.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
26.11.2019 11:00;-26.0;741.4;788.2;;72;Ветер, дующий с юга;2;;;Облаков нет.; ;;;-28.2;;;;;;;50.0;-29.6;;;;;;
26.11.2019 14:00;-17.4;740.5;785.6;;65;Ветер, дующий с востоко-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-22.4;;;;;;
26.11.2019 17:00;-17.6;740.0;785.3;;72;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;-21.4;;;;;;
26.11.2019 20:00;-22.2;740.1;786.1;;80;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;-16.3;;;;;;;-24.7;Осадков нет;12;;;;
26.11.2019 23:00;-25.6;740.2;787.0;;76;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-28.6;;;;;;
27.11.2019 2:00;-26.6;739.6;786.6;;74;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-29.8;;;;;;
