Местное время в Черемхово;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
29.08.2018 14:00;13.янв;709.7;761.6;;81;Ветер, дующий с востоко-юго-востока;3;;;Облаков нет.; ;;;10.апр;;;;;;;50.0;09.авг;Осадков нет;12;Поверхность почвы влажная.;9.0;;
29.08.2018 17:00;13.сен;708.4;760.0;;91;Ветер, дующий с западо-северо-запада;4;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;12.апр;;;;;;
29.08.2018 20:00;11.июл;709.4;761.5;;93;Ветер, дующий с запада;2;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;17.апр;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;10.июн;2.0;12;;;;
29.08.2018 23:00;12.0;710.1;762.2;;91;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;10.май;;;;;;
30.08.2018 2:00;10.мар;710.4;762.8;;94;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;09.мар;;;;;;
30.08.2018 5:00;09.апр;710.5;763.1;;94;Ветер, дующий с западо-северо-запада;1;;;70 – 80%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;08.май;;;;;;
30.08.2018 8:00;11.авг;710.7;762.8;;95;Штиль, безветрие;0;;;70 – 80%.; ;;;08.июн;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;11.0;Осадков нет;12;Поверхность почвы влажная.;7.0;;
30.08.2018 11:00;14.мар;710.6;762.3;;83;Ветер, дующий с востоко-юго-востока;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;11.май;;;;;;
30.08.2018 14:00;18.0;709.6;760.5;;65;Ветер, дующий с северо-востока;1;;;50%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;11.фев;;;;;;
30.08.2018 17:00;19.сен;708.8;759.4;;55;Ветер, дующий с северо-северо-востока;2;;;20–30%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";10%  или менее, но не 0;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;10.май;;;;;;
30.08.2018 20:00;15.0;708.6;760.0;;74;Ветер, дующий с юго-востока;2;;;20–30%.; ;;;;20.фев;Слоисто-кучевые, образовавшиеся из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;10.мар;Осадков нет;12;;;;
30.08.2018 23:00;11.авг;709.0;761.1;;85;Ветер, дующий с юго-востока;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;09.апр;;;;;;
31.08.2018 2:00;10.апр;709.1;761.5;;89;Ветер, дующий с востоко-юго-востока;3;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;08.июл;;;;;;
31.08.2018 5:00;09.июл;708.7;761.2;;93;Ветер, дующий с востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;08.июн;;;;;;
31.08.2018 8:00;10.июл;709.8;762.1;;94;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;08.авг;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;09.авг;Осадков нет;12;Поверхность почвы влажная.;9.0;;
31.08.2018 11:00;13.авг;709.7;761.4;;88;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;11.авг;;;;;;
31.08.2018 17:00;18.сен;708.8;759.5;;60;Ветер, дующий с востоко-юго-востока;2;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;11.0;;;;;;
31.08.2018 20:00;14.май;708.8;760.3;;74;Ветер, дующий с востока;2;;;70 – 80%.; ;;;;19.0;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;09.сен;Осадков нет;12;;;;
31.08.2018 23:00;12.авг;708.6;760.4;;87;Ветер, дующий с юго-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;10.июн;;;;;;
01.09.2018 2:00;09.май;708.2;760.6;;94;Ветер, дующий с юго-юго-востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;08.июн;;;;;;
01.09.2018 5:00;08.янв;707.5;760.1;;95;Ветер, дующий с востоко-юго-востока;3;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;07.мар;;;;;;
01.09.2018 8:00;10.апр;707.3;759.5;;95;Ветер, дующий с востоко-юго-востока;3;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;08.янв;;;;;;;0.2;09.июн;Осадков нет;12;Поверхность почвы влажная.;8.0;;
01.09.2018 11:00;13.авг;706.6;758.1;;95;Ветер, дующий с востоко-юго-востока;3;;;60%.;Туман или ледяной туман. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;13.0;;;;;;
01.09.2018 14:00;21.фев;705.7;755.8;;48;Ветер, дующий с востока;3;;;40%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;09.авг;;;;;;
01.09.2018 17:00;22.апр;705.1;754.9;;48;Ветер, дующий с северо-северо-востока;5;;;60%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;10.сен;;;;;;
01.09.2018 20:00;16.май;705.3;756.2;;66;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;23.0;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;10.янв;Осадков нет;12;;;;
01.09.2018 23:00;13.июл;706.0;757.5;;71;Ветер, дующий с северо-запада;1;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;08.апр;;;;;;
02.09.2018 2:00;11.сен;706.2;758.0;;80;Ветер, дующий с северо-северо-востока;2;;;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;08.июн;;;;;;
02.09.2018 5:00;10.0;706.9;759.2;;91;Ветер, дующий с западо-северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;08.июн;;;;;;
02.09.2018 8:00;10.авг;707.8;760.0;;91;Ветер, дующий с западо-северо-запада;1;;;60%.; ;;;08.июл;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;09.мар;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);8.0;;
02.09.2018 11:00;18.0;708.2;759.1;;56;Ветер, дующий с северо-запада;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;9.0;;;;;;
02.09.2018 14:00;19.июл;707.8;758.4;;42;Ветер, дующий с северо-северо-запада;6;;;70 – 80%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;06.май;;;;;;
02.09.2018 17:00;19.апр;707.5;758.2;;41;Ветер, дующий с северо-северо-запада;3;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;05.сен;;;;;;
02.09.2018 20:00;15.янв;707.5;758.9;;57;Ветер, дующий с севера;2;;;100%.; ;;;;20.июн;Слоисто-кучевые, образовавшиеся из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;06.май;Осадков нет;12;;;;
02.09.2018 23:00;12.авг;707.6;759.4;;64;Ветер, дующий с северо-северо-востока;2;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;6.0;;;;;;
03.09.2018 2:00;11.янв;707.3;759.4;;74;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;06.июн;;;;;;
03.09.2018 5:00;08.апр;707.2;759.9;;87;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;06.мар;;;;;;
03.09.2018 8:00;10.авг;707.8;760.0;;91;Ветер, дующий с западо-северо-запада;1;;;60%.; ;;;08.июл;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;09.мар;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);8.0;;
03.09.2018 11:00;17.июл;707.5;758.5;;58;Ветер, дующий с западо-юго-запада;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;09.мар;;;;;;
03.09.2018 14:00;21.июн;706.9;757.0;;45;Ветер, дующий с западо-юго-запада;2;;;70 – 80%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;09.янв;;;;;;
03.09.2018 17:00;21.мар;706.1;756.3;;45;Ветер, дующий с северо-северо-запада;1;;;40%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;08.авг;;;;;;
03.09.2018 20:00;14.авг;706.0;757.3;;74;Ветер, дующий с северо-востока;3;;;100%.; ;;;;21.сен;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10.0;10.фев;Осадков нет;12;;;;
03.09.2018 23:00;12.сен;705.9;757.5;;76;Ветер, дующий с востока;2;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;08.авг;;;;;;
04.09.2018 2:00;12.апр;705.7;757.4;;82;Ветер, дующий с востока;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;09.апр;;;;;;
04.09.2018 5:00;11.мар;706.8;758.8;;93;Ветер, дующий с северо-запада;4;;10;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;10.фев;;;;;;
04.09.2018 8:00;10.фев;708.1;760.4;;92;Ветер, дующий с западо-северо-запада;4;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;10.фев;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;08.сен;6.0;12;Поверхность почвы влажная.;12.0;;
04.09.2018 14:00;11.авг;709.0;761.2;;72;Ветер, дующий с северо-запада;6;11;13;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;06.сен;;;;;;
04.09.2018 17:00;11.мар;709.6;761.8;;68;Ветер, дующий с северо-северо-запада;6;10;12;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;05.июн;;;;;;
04.09.2018 20:00;09.янв;710.2;763.0;;70;Ветер, дующий с северо-запада;3;;11;70 – 80%.; ;;;;12.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;300-600;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10.0;03.сен;Следы осадков;12;;;;
04.09.2018 23:00;06.фев;710.8;764.2;;87;Ветер, дующий с западо-северо-запада;3;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;04.янв;;;;;;
05.09.2018 2:00;07.июл;711.1;764.1;;83;Ветер, дующий с северо-запада;3;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;5.0;;;;;;
05.09.2018 8:00;07.май;712.1;765.3;;93;Ветер, дующий с северо-запада;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;6.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4.0;06.май;0.7;12;Поверхность почвы влажная.;7.0;;
05.09.2018 14:00;09.июн;714.6;767.5;;92;Ветер, дующий с западо-северо-запада;5;;11;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;08.мар;;;;;;
05.09.2018 20:00;10.мар;715.7;768.6;;83;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;10.сен;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;07.май;7.0;12;;;;
05.09.2018 23:00;9.0;716.5;769.6;;87;Ветер, дующий с западо-северо-запада;3;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;06.сен;;;;;;
06.09.2018 2:00;08.фев;716.9;770.3;;86;Ветер, дующий с западо-северо-запада;2;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;6.0;;;;;;
06.09.2018 5:00;07.сен;717.0;770.5;;84;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;05.мар;;;;;;
06.09.2018 8:00;08.фев;716.5;769.9;;77;Ветер, дующий с западо-северо-запада;2;;;70 – 80%.; ;;;6.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;04.мар;Осадков нет;12;Поверхность почвы влажная.;4.0;;
06.09.2018 11:00;12.май;716.2;768.7;;56;Ветер, дующий с северо-запада;5;;;70 – 80%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;4.0;;;;;;
06.09.2018 14:00;15.апр;715.0;766.9;;44;Ветер, дующий с северо-запада;5;10;11;70 – 80%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;03.янв;;;;;;
