"Местное время в Нерое";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.08.2018 08:00";"8.7";"694.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"8.4";"";"";"";"";"";"";"0.2";"";"1.0";"12";"";"";"";"";
"31.08.2018 02:00";"10.0";"694.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.08.2018 20:00";"13.6";"692.0";"";"";"89";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"23.0";"";"";"";"";"";"50.0";"";"5.0";"12";"";"";"";"";
"30.08.2018 14:00";"21.6";"693.0";"";"";"42";"Штиль, безветрие";"0";"";"";"40%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"30.08.2018 08:00";"5.6";"694.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"5.2";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"30.08.2018 02:00";"8.2";"694.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.08.2018 20:00";"16.1";"693.0";"";"";"84";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"";"";"";"23.4";"";"";"";"";"";"50.0";"";"0.8";"12";"";"";"";"";
"29.08.2018 14:00";"17.7";"693.0";"";"";"83";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"29.08.2018 08:00";"6.1";"694.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"5.7";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"29.08.2018 02:00";"7.9";"694.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.08.2018 20:00";"17.2";"694.0";"";"";"85";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"18.9";"";"";"";"";"";"50.0";"";"4.0";"12";"";"";"";"";
"28.08.2018 14:00";"14.8";"693.0";"";"";"97";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"28.08.2018 08:00";"10.2";"690.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"9.4";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"28.08.2018 02:00";"12.8";"689.0";"";"";"78";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.08.2018 20:00";"24.4";"690.0";"";"";"41";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"29.4";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"27.08.2018 14:00";"25.5";"691.0";"";"";"45";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"27.08.2018 08:00";"5.8";"692.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"5.4";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"27.08.2018 02:00";"8.7";"";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.08.2018 20:00";"19.3";"691.0";"";"";"70";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"25.5";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"26.08.2018 14:00";"24.8";"690.0";"";"";"42";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"26.08.2018 08:00";"4.5";"691.0";"";"";"100";"Штиль, безветрие";"0";"";"";"40%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"4.0";"";"";"";"";"";"";"20.0";"";"0.4";"12";"";"";"";"";
"26.08.2018 02:00";"7.5";"690.0";"";"";"81";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.08.2018 20:00";"18.8";"690.0";"";"";"41";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"25.5";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"25.08.2018 14:00";"22.8";"691.0";"";"";"39";"Штиль, безветрие";"0";"";"";"60%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"25.08.2018 08:00";"4.2";"691.8";"762.3";"";"100";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"4.0";"";"";"";"";"";"";"0.2";"4.2";"2.0";"12";"Поверхность почвы влажная.";"4.0";"";"";
"25.08.2018 02:00";"9.2";"691.1";"760.2";"";"100";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"24.08.2018 20:00";"16.8";"691.0";"";"";"60";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"23.4";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"24.08.2018 14:00";"21.7";"691.0";"";"";"37";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"24.08.2018 08:00";"7.5";"692.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"7.1";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"24.08.2018 02:00";"9.2";"692.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.08.2018 20:00";"16.2";"691.0";"";"";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"20.2";"";"";"";"";"";"50.0";"";"0.4";"12";"";"";"";"";
"23.08.2018 14:00";"17.0";"692.0";"";"";"76";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"23.08.2018 08:00";"13.1";"689.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"12.5";"";"";"";"";"";"";"20.0";"";"17.0";"12";"";"";"";"";
"23.08.2018 02:00";"13.7";"687.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.08.2018 20:00";"19.5";"687.0";"";"";"71";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"27.5";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"22.08.2018 14:00";"26.3";"686.5";"751.1";"";"35";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"9.7";"";"";"";"";"";"";
"22.08.2018 08:00";"6.8";"689.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"6.2";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"22.08.2018 02:00";"10.4";"689.0";"";"";"99";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.08.2018 20:00";"21.6";"688.0";"";"";"54";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"29.1";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"21.08.2018 14:00";"28.3";"689.0";"";"";"33";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"21.08.2018 08:00";"6.8";"690.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Туман или обрывки ледяного тумана. ";"";"";"5.9";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"21.08.2018 02:00";"8.1";"691.0";"";"";"97";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.08.2018 20:00";"19.4";"689.0";"";"";"66";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"28.7";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"20.08.2018 14:00";"26.6";"691.0";"";"";"32";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"20.08.2018 08:00";"6.3";"692.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный сильный в срок наблюдения. ";"";"";"5.4";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"20.08.2018 02:00";"7.9";"694.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.08.2018 20:00";"19.1";"691.0";"";"";"60";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"23.5";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"19.08.2018 14:00";"20.2";"693.0";"";"";"28";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"19.08.2018 08:00";"5.5";"691.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Туман или обрывки ледяного тумана. ";"";"";"5.1";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"19.08.2018 02:00";"7.2";"690.0";"";"";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.08.2018 20:00";"11.7";"690.0";"";"";"89";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"15.4";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"18.08.2018 14:00";"15.4";"689.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"18.08.2018 08:00";"6.9";"688.0";"";"";"97";"Штиль, безветрие";"0";"";"";"100%.";"Туман или ледяной туман. ";"";"";"5.3";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"18.08.2018 02:00";"7.1";"689.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.08.2018 20:00";"17.2";"689.0";"";"";"64";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"25.7";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"17.08.2018 14:00";"24.1";"691.0";"";"";"32";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"17.08.2018 08:00";"3.4";"693.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"2.7";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"17.08.2018 02:00";"6.6";"694.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"16.08.2018 20:00";"14.7";"694.0";"";"";"71";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"21.2";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"16.08.2018 14:00";"17.6";"695.0";"";"";"41";"Ветер, дующий с юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"16.08.2018 08:00";"8.5";"695.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"6.3";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"16.08.2018 02:00";"7.0";"695.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.08.2018 20:00";"13.3";"695.0";"";"";"79";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"16.0";"";"";"";"";"";"50.0";"";"4.0";"12";"";"";"";"";
"15.08.2018 14:00";"12.3";"693.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"15.08.2018 08:00";"9.2";"692.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"7.8";"";"";"";"";"";"";"10.0";"";"29.0";"12";"";"";"";"";
"15.08.2018 02:00";"11.0";"692.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.08.2018 20:00";"11.7";"692.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"18.1";"";"";"";"";"";"10.0";"";"20.0";"12";"";"";"";"";
"14.08.2018 14:00";"17.5";"692.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"14.08.2018 08:00";"12.0";"691.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Туман или обрывки ледяного тумана. ";"";"";"11.6";"";"";"";"";"";"";"20.0";"";"1.0";"12";"";"";"";"";
"14.08.2018 02:00";"13.2";"691.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.08.2018 20:00";"14.8";"690.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"17.2";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"13.08.2018 14:00";"15.3";"689.0";"";"";"94";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и) очень сильный(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"13.08.2018 08:00";"17.2";"685.0";"";"";"85";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"16.0";"";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"13.08.2018 02:00";"17.8";"683.0";"";"";"80";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.08.2018 20:00";"29.7";"682.0";"";"";"27";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"31.6";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"12.08.2018 14:00";"29.5";"684.0";"";"";"23";"Штиль, безветрие";"0";"";"";"60%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"12.08.2018 08:00";"8.2";"684.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"7.1";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"12.08.2018 02:00";"14.4";"685.0";"";"";"87";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.08.2018 20:00";"27.5";"683.0";"";"";"31";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"31.4";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"11.08.2018 14:00";"28.6";"687.0";"";"";"26";"Штиль, безветрие";"0";"";"";"20–30%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"11.08.2018 08:00";"7.9";"690.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"6.4";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"11.08.2018 02:00";"9.7";"691.0";"";"";"95";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.08.2018 20:00";"17.5";"690.0";"";"";"54";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"27.3";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"10.08.2018 14:00";"23.4";"692.0";"";"";"36";"Штиль, безветрие";"0";"";"";"40%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"10.08.2018 08:00";"9.1";"692.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"8.7";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"10.08.2018 02:00";"12.7";"";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.08.2018 20:00";"19.1";"691.0";"";"";"66";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"22.2";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"09.08.2018 14:00";"21.8";"691.0";"";"";"54";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"09.08.2018 08:00";"10.9";"690.0";"";"";"97";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"10.2";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"09.08.2018 02:00";"13.8";"691.0";"";"";"81";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.08.2018 20:00";"21.7";"690.0";"";"";"39";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"25.6";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"08.08.2018 14:00";"23.8";"691.0";"";"";"38";"Штиль, безветрие";"0";"";"";"20–30%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"08.08.2018 08:00";"6.1";"692.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"5.2";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"08.08.2018 02:00";"6.0";"691.0";"";"";"89";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.08.2018 20:00";"18.2";"691.0";"";"";"40";"Ветер, дующий с северо-востока";"2";"";"";"40%.";" ";"";"";"";"21.6";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"07.08.2018 14:00";"19.1";"692.0";"";"";"36";"Ветер, дующий с севера";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"07.08.2018 08:00";"9.4";"694.0";"";"";"100";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"9.0";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"07.08.2018 02:00";"10.0";"695.0";"";"";"92";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.08.2018 20:00";"11.6";"694.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"13.4";"";"";"";"";"";"50.0";"";"2.0";"12";"";"";"";"";
"06.08.2018 14:00";"11.7";"694.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"06.08.2018 08:00";"10.9";"692.0";"";"";"99";"Штиль, безветрие";"0";"";"";"100%.";"Туман или ледяной туман. ";"";"";"9.2";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"06.08.2018 02:00";"10.2";"691.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.08.2018 20:00";"19.3";"690.0";"";"";"76";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"22.3";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"05.08.2018 14:00";"21.4";"690.0";"";"";"54";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"05.08.2018 08:00";"10.8";"688.0";"";"";"97";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"9.8";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"05.08.2018 02:00";"13.9";"690.0";"";"";"88";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.08.2018 20:00";"23.7";"689.0";"";"";"27";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"26.4";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"04.08.2018 14:00";"21.9";"692.0";"";"";"33";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"04.08.2018 08:00";"8.5";"694.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Туман или обрывки ледяного тумана. ";"";"";"7.8";"";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"04.08.2018 02:00";"10.8";"694.0";"";"";"89";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.08.2018 20:00";"16.2";"693.0";"";"";"62";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"18.2";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"03.08.2018 14:00";"16.5";"692.0";"";"";"69";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"03.08.2018 08:00";"12.8";"688.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Туман или ледяной туман. ";"";"";"11.8";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"03.08.2018 02:00";"13.7";"688.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"02.08.2018 20:00";"18.8";"687.0";"";"";"79";"Штиль, безветрие";"0";"";"";"100%.";"Гроза (с осадками или без них). ";"";"";"";"22.6";"";"";"";"";"";"50.0";"";"4.0";"12";"";"";"";"";
"02.08.2018 14:00";"22.0";"687.0";"";"";"46";"Штиль, безветрие";"0";"";"";"60%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"02.08.2018 08:00";"12.4";"687.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"";"";"9.1";"";"";"";"";"";"";"0.2";"";"Осадков нет";"12";"";"";"";"";
"02.08.2018 02:00";"10.0";"687.0";"";"";"92";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"01.08.2018 20:00";"20.2";"687.0";"";"";"52";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"23.4";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"01.08.2018 14:00";"19.8";"687.0";"";"";"53";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"01.08.2018 08:00";"10.8";"689.0";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"9.6";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
