Местное время в Алыгджере;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
25.03.2018 20:00;0.6;679.3;760.8;;32;Штиль, безветрие;0;;;100%.; ;;;;03.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.3;Следы осадков;12;;;;
26.03.2018 2:00;-3.6;675.1;757.3;;72;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;-8.0;;;;;;
26.03.2018 8:00;-4.6;669.5;751.4;;84;Ветер, дующий с юго-запада;2;;;100%.; ;;;-4.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-7.0;Осадков нет;12;;;;
26.03.2018 14:00;07.июл;664.8;742.3;;53;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-1.5;;;;;;
26.03.2018 20:00;0.5;666.4;746.2;;89;Ветер, дующий с северо-северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;11.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-1.2;Следы осадков;12;;;;
27.03.2018 2:00;-3.8;676.3;758.8;;94;Штиль, безветрие;0;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые просвечивающие.;;10.0;-4.6;;;;;;
27.03.2018 8:00;-5.2;680.3;763.7;;98;;;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-5.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-5.5;2.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;3.0
27.03.2018 14:00;0.1;680.4;762.1;;37;Ветер, дующий с юго-юго-востока;4;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-12.9;;;;;;
27.03.2018 20:00;0.7;680.5;758.8;;41;Ветер, дующий с юго-юго-востока;4;;;70 – 80%.; ;;;;2.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.2;0.2;12;;;;
28.03.2018 2:00;-0.5;682.2;764.4;;50;Ветер, дующий с юго-юго-запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-9.8;;;;;;
28.03.2018 8:00;-1.2;683.2;765.8;;44;Ветер, дующий с юго-юго-запада;6;;;50%.; ;;;-3.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-12.1;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
28.03.2018 14:00;6.0;682.9;763.0;;31;Ветер, дующий с юга;6;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.0;;;;;;
28.03.2018 20:00;05.сен;681.2;761.2;;38;Ветер, дующий с юга;2;;;60%.; ;;;;06.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-7.6;Осадков нет;12;;;;
29.03.2018 2:00;-1.4;682.0;763.9;;85;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-3.7;;;;;;
29.03.2018 8:00;-5.2;684.5;768.4;;100;Штиль, безветрие;0;;;60%.; ;;;-5.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.2;Осадков нет;12;;;;
29.03.2018 14:00;09.мар;683.5;762.8;;31;Ветер, дующий с юго-юго-востока;4;;;50%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-6.9;;;;;;
29.03.2018 20:00;05.май;682.5;762.7;;41;Штиль, безветрие;0;;;100%.; ;;;;11.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-6.9;Осадков нет;12;;;;
30.03.2018 2:00;-3.8;681.8;764.9;;96;Штиль, безветрие;0;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-4.3;;;;;;
30.03.2018 8:00;-4.6;679.7;762.8;;94;Штиль, безветрие;0;;;40%.; ;;;-5.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-5.5;Осадков нет;12;;;;
30.03.2018 14:00;10.0;676.6;754.9;;34;Ветер, дующий с юго-юго-востока;4;;;90  или более, но не 100%; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;-5.1;;;;;;
30.03.2018 20:00;08.апр;674.0;752.5;;31;Ветер, дующий с юга;4;;;90  или более, но не 100%; ;;;;11.июл;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-7.7;Осадков нет;12;;;;
31.03.2018 2:00;09.апр;669.1;746.6;;32;Ветер, дующий с юго-юго-запада;6;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-6.7;;;;;;
31.03.2018 8:00;10.май;664.7;741.4;;40;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;06.авг;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-2.6;Осадков нет;12;;;;
31.03.2018 14:00;0.8;666.7;746.5;;100;Штиль, безветрие;0;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;2.0;0.8;;;;;;
01.04.2018 2:00;-10.3;678.2;763.0;;85;Штиль, безветрие;0;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-12.3;;;;;;
01.04.2018 8:00;-14.6;682.4;769.0;;80;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;-14.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-17.3;;;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;9.0
01.04.2018 14:00;-6.6;682.6;766.8;;47;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.2;;;;;;
01.04.2018 20:00;-7.5;683.4;768.0;;33;Штиль, безветрие;0;;;100%.; ;;;;-3.5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-21.2;Осадков нет;12;;;;
02.04.2018 2:00;-10.3;680.2;758.8;;80;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-13.1;;;;;;
02.04.2018 8:00;-16.0;691.6;780.3;;60;Штиль, безветрие;0;;;70 – 80%.; ;;;-16.1;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-22.0;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;5.0
02.04.2018 14:00;-4.3;692.1;776.8;;27;Ветер, дующий с юго-запада;2;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-20.6;;;;;;
02.04.2018 20:00;-5.7;691.3;776.4;;25;Ветер, дующий с юго-юго-запада;4;;;40%.; ;;;;-2.9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-22.5;Осадков нет;12;;;;
03.04.2018 2:00;-7.7;689.6;775.0;;37;Ветер, дующий с юго-юго-запада;6;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-19.9;;;;;;
03.04.2018 8:00;-9.4;687.1;772.8;;45;Ветер, дующий с юго-юго-запада;8;;;100%.; ;;;-9.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-19.2;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
03.04.2018 14:00;-2.3;683.6;766.6;;27;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые просвечивающие.;;50.0;-18.7;;;;;;
03.04.2018 20:00;-1.8;682.3;764.9;;28;Штиль, безветрие;0;;;100%.; ;;;;01.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высокослоистые просвечивающие.;;50.0;-18.2;Осадков нет;12;;;;
04.04.2018 14:00;-4.4;689.2;773.5;;40;Ветер, дующий с западо-юго-запада;4;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10.0;-16.0;;;;;;
04.04.2018 20:00;-4.6;691.6;777.1;;40;Штиль, безветрие;0;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.4;Следы осадков;12;;;;
05.04.2018 2:00;-15.2;695.5;784.3;;95;Штиль, безветрие;0;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-15.8;;;;;;
05.04.2018 8:00;-13.6;697.4;785.9;;75;Ветер, дующий с юго-востока;4;;;90  или более, но не 100%; ;;;-16.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";50.0;-17.1;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;1.0
05.04.2018 14:00;-1.9;695.8;780.1;;33;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.1;;;;;;
05.04.2018 20:00;-0.3;694.5;778.0;;26;Ветер, дующий с юга;6;;;40%.; ;;;;0.6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-17.4;Осадков нет;12;;;;
06.04.2018 2:00;-2.4;693.7;778.0;;35;Ветер, дующий с юга;6;;10;Облаков нет.; ;;;;;;;;;;50.0;-15.9;;;;;;
06.04.2018 8:00;-4.4;691.0;775.5;;38;Ветер, дующий с юго-востока;8;10;10;100%.; ;;;-4.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.7;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
06.04.2018 14:00;08.мар;686.9;767.0;;21;Ветер, дующий с юго-юго-запада;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-12.7;;;;;;
06.04.2018 20:00;07.июн;684.4;764.3;;23;Ветер, дующий с юга;8;10;10;100%.; ;;;;09.июн;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-12.5;Осадков нет;12;;;;
07.04.2018 2:00;02.янв;683.4;764.8;;33;Ветер, дующий с юго-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;-12.7;;;;;;
07.04.2018 8:00;01.мар;682.5;764.1;;43;Ветер, дующий с юго-востока;2;;;100%.; ;;;-0.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-10.0;Осадков нет;12;;;;
07.04.2018 20:00;09.июн;678.1;756.7;;26;Штиль, безветрие;0;;;100%.; ;;;;13.май;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-9.0;Осадков нет;12;;;;
08.04.2018 2:00;0.5;677.2;758.4;;89;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-1.2;;;;;;
08.04.2018 8:00;0.9;676.9;757.8;;90;Штиль, безветрие;0;;;100%.; ;;;0.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-0.5;Осадков нет;12;;;;
08.04.2018 14:00;09.фев;675.6;753.9;;50;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-0.7;;;;;;
08.04.2018 20:00;01.июн;677.0;757.8;;97;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;10.апр;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;2.0;01.янв;2.0;12;;;;
09.04.2018 2:00;0.1;678.2;759.6;;98;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;2.0;-0.2;;;;;;
09.04.2018 8:00;-0.8;679.7;761.5;;98;Штиль, безветрие;0;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-1.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-1.1;4.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;4.0
09.04.2018 14:00;03.мар;679.6;760.2;;68;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-2.1;;;;;;
09.04.2018 20:00;02.янв;680.0;761.1;;65;Штиль, безветрие;0;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;4.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10.0;-3.9;0.1;12;;;;
10.04.2018 2:00;-0.7;680.9;763.0;;98;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;2.0;-1.0;;;;;;
10.04.2018 8:00;-4.0;681.1;764.2;;96;Штиль, безветрие;0;;;70 – 80%.; ;;;-4.1;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-4.5;0.6;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;2.0
