Местное время в Баяндае;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
18.09.2017 14:00;09.янв;696.3;762.7;-0.9;50;Ветер, дующий с юго-запада;3;;;90  или более, но не 100%; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-0.9;;;;;;
18.09.2017 17:00;10.июл;695.5;761.5;-0.8;46;Ветер, дующий с юга;2;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-0.5;;;;;;
18.09.2017 20:00;06.авг;694.9;761.8;-0.6;52;Ветер, дующий с северо-северо-запада;1;;;100%.; ;;;;11.фев;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-2.5;Осадков нет;12;;;;
18.09.2017 23:00;04.июл;693.7;761.0;-1.2;55;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-3.7;;;;;;
19.09.2017 2:00;04.май;692.6;759.8;-1.1;62;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;50.0;-2.2;;;;;;
19.09.2017 5:00;02.фев;691.9;759.7;-0.7;63;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-4.2;;;;;;
19.09.2017 8:00;05.мар;691.9;759.0;0.0;63;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;01.авг;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;-1.2;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);-1.0;;
19.09.2017 11:00;12.май;692.2;757.5;0.3;47;Ветер, дующий с юго-юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;01.май;;;;;;
19.09.2017 14:00;18.фев;690.7;754.5;-1.5;35;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;02.июн;;;;;;
19.09.2017 17:00;20.сен;689.2;752.2;-1.5;35;Ветер, дующий с юго-юго-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;04.авг;;;;;;
19.09.2017 20:00;16.июн;688.2;752.1;-1.0;41;Штиль, безветрие;0;;;100%.; ;;;;21.июн;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;03.янв;Осадков нет;12;;;;
19.09.2017 23:00;14.сен;688.4;752.7;0.2;46;Ветер, дующий с востока;2;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;03.фев;;;;;;
20.09.2017 2:00;14.сен;688.4;752.7;0.0;46;Ветер, дующий с востока;2;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;03.фев;;;;;;
20.09.2017 5:00;11.сен;688.1;753.1;-0.3;60;Ветер, дующий с северо-северо-запада;1;;;70 – 80%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;04.апр;;;;;;
20.09.2017 8:00;09.авг;687.8;753.2;-0.3;66;Ветер, дующий с северо-востока;2;;;100%.; ;;;09.июн;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;03.июн;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);7.0;;
20.09.2017 11:00;14.авг;687.4;751.6;-0.4;60;Ветер, дующий с востоко-юго-востока;3;;;100%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";100%.;1000-1500;;;50.0;07.янв;;;;;;
20.09.2017 14:00;13.0;687.3;751.9;-0.1;62;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;05.авг;;;;;;
20.09.2017 17:00;08.авг;688.6;754.3;01.мар;92;Ветер, дующий с северо-северо-запада;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;07.май;;;;;;
20.09.2017 20:00;08.янв;689.6;755.5;1.0;92;Ветер, дующий с северо-северо-востока;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;16.июн;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;06.авг;3.0;12;;;;
20.09.2017 23:00;06.май;690.5;757.0;0.9;90;Ветер, дующий с северо-северо-востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;04.сен;;;;;;
21.09.2017 2:00;6.0;690.6;757.2;0.1;82;Ветер, дующий с северо-северо-востока;3;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;03.янв;;;;;;
21.09.2017 5:00;04.янв;691.0;758.2;0.4;80;Ветер, дующий с северо-востока;3;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;1.0;;;;;;
21.09.2017 8:00;04.мар;691.2;758.4;0.2;78;Ветер, дующий с востоко-северо-востока;3;;;100%.; ;;;03.июл;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;0.7;Осадков нет;12;;;;
21.09.2017 11:00;05.сен;691.6;758.4;0.4;60;Ветер, дующий с северо-востока;4;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-1.3;;;;;;
21.09.2017 14:00;07.сен;691.0;757.3;-0.6;55;Ветер, дующий с северо-северо-востока;5;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-0.6;;;;;;
21.09.2017 17:00;08.сен;690.3;756.2;-0.7;52;Ветер, дующий с северо-северо-запада;4;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-0.5;;;;;;
21.09.2017 20:00;06.фев;690.5;757.2;0.2;55;Ветер, дующий с северо-северо-запада;3;;;20–30%.; ;;;;09.сен;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-2.3;Осадков нет;12;;;;
21.09.2017 23:00;4.0;690.4;757.2;-0.1;72;Ветер, дующий с северо-северо-запада;2;;;20–30%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-0.6;;;;;;
22.09.2017 2:00;01.сен;689.0;756.6;-1.4;86;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;50.0;-0.3;;;;;;
22.09.2017 5:00;-1.7;688.0;756.4;-1.0;96;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-2.2;;;;;;
22.09.2017 8:00;-0.3;686.9;754.9;-1.1;96;Ветер, дующий с северо-северо-востока;2;;;70 – 80%.; ;;;-2.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-0.9;Осадков нет;12;;;;
22.09.2017 11:00;04.авг;686.0;752.6;-0.9;69;Ветер, дующий с востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-0.5;;;;;;
22.09.2017 14:00;07.июл;685.2;751.0;-0.8;51;Ветер, дующий с востоко-юго-востока;2;;;70 – 80%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-1.9;;;;;;
22.09.2017 17:00;10.мар;685.0;750.1;-0.2;44;Ветер, дующий с юга;2;;;70 – 80%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;40%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-1.5;;;;;;
22.09.2017 20:00;07.сен;685.4;751.1;0.4;55;Ветер, дующий с запада;1;;;100%.; ;;;;11.янв;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;50.0;-0.6;Осадков нет;12;;;;
22.09.2017 23:00;06.авг;686.0;752.1;0.6;59;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-0.8;;;;;;
23.09.2017 2:00;03.апр;686.5;753.4;0.5;73;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-1.0;;;;;;
23.09.2017 5:00;03.янв;688.1;755.2;01.июн;93;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;50.0;02.янв;;;;;;
23.09.2017 8:00;03.июл;688.5;755.5;0.4;90;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;02.мар;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;02.фев;Осадков нет;12;;;;
23.09.2017 11:00;05.сен;689.4;755.9;0.9;85;Ветер, дующий с северо-востока;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;03.май;;;;;;
23.09.2017 14:00;04.мар;690.3;757.3;0.9;93;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;03.мар;;;;;;
23.09.2017 17:00;06.янв;691.3;757.9;1.0;91;Ветер, дующий с северо-запада;1;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;04.июл;;;;;;
23.09.2017 20:00;03.июл;692.1;759.4;0.8;93;Ветер, дующий с западо-юго-запада;1;;;60%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;06.июн;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;02.июл;4.0;12;;;;
23.09.2017 23:00;01.мар;692.5;760.5;0.4;97;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;0.8;;;;;;
24.09.2017 2:00;1.0;692.2;760.3;-0.3;97;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;0.5;;;;;;
24.09.2017 5:00;-0.5;691.5;759.9;-0.7;100;Ветер, дующий с северо-северо-востока;3;;;Облаков нет.;Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;0.5;-0.5;;;;;;
24.09.2017 8:00;-1.0;690.4;758.8;-1.1;99;Ветер, дующий с северо-востока;3;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;-1.9;;;;;;;0.5;-1.1;Осадков нет;12;;;;
24.09.2017 11:00;0.6;688.5;756.3;-1.9;100;Ветер, дующий с востоко-северо-востока;3;;;100%.;Облака в целом образовывались или развивались. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;20.0;0.6;;;;;;
24.09.2017 14:00;04.фев;686.8;753.6;-1.7;80;Ветер, дующий с северо-востока;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Туман или ледяной туман или сильная мгла.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;01.янв;;;;;;
24.09.2017 17:00;4.0;685.3;752.0;-1.5;90;Ветер, дующий с востока;2;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;02.май;;;;;;
24.09.2017 20:00;03.фев;685.4;752.2;0.1;90;Ветер, дующий с северо-северо-востока;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;5.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;01.июл;2.0;12;;;;
24.09.2017 23:00;0.4;686.2;753.9;0.8;96;Ветер, дующий с северо-востока;3;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;1.0;-0.2;;;;;;
25.09.2017 2:00;0.5;687.1;754.9;0.9;96;Ветер, дующий с севера;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;2.0;-0.1;;;;;;
25.09.2017 5:00;0.3;689.2;757.3;02.янв;94;Ветер, дующий с северо-северо-запада;3;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-0.5;;;;;;
25.09.2017 8:00;-0.2;691.6;760.0;02.апр;86;Ветер, дующий с северо-северо-запада;3;;;100%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-0.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-2.3;14.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;6.0
25.09.2017 11:00;01.янв;693.5;761.8;01.сен;76;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-2.8;;;;;;
25.09.2017 14:00;03.мар;694.3;762.1;0.8;65;Ветер, дующий с северо-северо-запада;5;;;90  или более, но не 100%; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-2.7;;;;;;
25.09.2017 17:00;05.янв;695.1;762.4;0.8;56;Ветер, дующий с северо-северо-запада;4;;11;90  или более, но не 100%; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-3.1;;;;;;
25.09.2017 20:00;01.апр;696.1;764.5;1.0;84;Ветер, дующий с западо-северо-запада;2;;11;70 – 80%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;05.фев;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-1.1;Следы осадков;12;;;;
25.09.2017 23:00;01.фев;697.0;765.6;0.9;89;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-0.5;;;;;;
26.09.2017 2:00;0.1;698.0;767.0;1.0;74;Ветер, дующий с северо-запада;4;;;20–30%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.1;;;;;;
26.09.2017 5:00;-0.5;698.6;767.8;0.6;76;Ветер, дующий с западо-северо-запада;2;;;40%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.2;;;;;;
26.09.2017 8:00;-0.9;698.8;768.1;0.2;79;Ветер, дующий с запада;2;;;100%.; ;;;-1.6;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-4.1;0.5;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;Менее 0.5
26.09.2017 11:00;01.апр;699.4;768.1;0.6;60;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;-5.6;;;;;;
26.09.2017 14:00;03.янв;699.1;767.3;-0.3;37;Ветер, дующий с западо-северо-запада;4;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.3;;;;;;
26.09.2017 17:00;03.апр;698.7;766.9;-0.4;48;Ветер, дующий с северо-запада;3;;;70 – 80%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-6.8;;;;;;
26.09.2017 20:00;-0.5;699.1;768.4;0.4;76;Ветер, дующий с запада;2;;;90  или более, но не 100%;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;04.июн;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-4.3;Следы осадков;12;;;;
26.09.2017 23:00;-2.6;699.3;769.0;0.2;100;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-2.6;;;;;;
27.09.2017 2:00;-2.3;699.4;769.0;0.1;73;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%;Облака в целом образовывались или развивались. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-6.6;;;;;;
27.09.2017 5:00;-3.0;699.4;769.3;0.0;79;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-6.1;;;;;;
27.09.2017 8:00;-3.1;699.4;769.3;0.0;71;Ветер, дующий с западо-юго-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-7.7;Следы осадков;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;Менее 0.5
27.09.2017 11:00;-1.2;699.0;768.4;-0.4;65;Ветер, дующий с запада;4;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-7.0;;;;;;
