Местное время в Токме;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
26.10.2017 8:00;-4.6;717.8;758.8;-0.4;98;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-10.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-4.9;3.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
26.10.2017 11:00;-2.6;718.3;759.0;0.5;84;Ветер, дующий с юго-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;300-600;Высокослоистые просвечивающие.;;50.0;-4.9;;;;;;
26.10.2017 14:00;-2.5;718.9;759.6;0.6;70;Ветер, дующий с западо-юго-запада;5;;;70 – 80%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;300-600;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-7.3;;;;;;
26.10.2017 17:00;-3.3;719.8;760.7;0.9;70;Ветер, дующий с юго-запада;5;;;60%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-8.0;;;;;;
26.10.2017 20:00;-6.8;720.3;761.8;0.5;80;Ветер, дующий с юго-юго-запада;2;;;60%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Метель;;-2.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-9.7;Следы осадков;12;;;;
26.10.2017 23:00;-5.0;721.0;762.3;0.7;76;Ветер, дующий с юго-запада;5;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-8.6;;;;;;
27.10.2017 2:00;-4.8;721.3;762.4;0.3;86;Ветер, дующий с юго-юго-запада;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6.8;;;;;;
27.10.2017 5:00;-6.6;721.7;763.2;0.4;89;Ветер, дующий с юго-запада;3;;;60%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-8.2;;;;;;
27.10.2017 8:00;-5.6;722.2;763.6;0.5;87;Ветер, дующий с юго-запада;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-7.1;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;-7.4;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;4.0
27.10.2017 11:00;-4.3;723.2;764.5;1.0;84;Ветер, дующий с юго-запада;3;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-6.6;;;;;;
27.10.2017 14:00;-3.1;723.6;764.7;0.4;77;Ветер, дующий с западо-юго-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;50.0;-6.6;;;;;;
27.10.2017 17:00;-3.2;724.3;765.4;0.7;81;Ветер, дующий с юго-запада;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-6.0;;;;;;
27.10.2017 20:00;-3.3;725.4;766.6;01.янв;88;Ветер, дующий с юго-запада;2;;;90  или более, но не 100%;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-2.8;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-5.0;0.2;12;;;;
27.10.2017 23:00;-3.0;726.7;768.0;01.мар;88;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-4.7;;;;;;
28.10.2017 2:00;-3.5;727.3;768.6;0.6;88;Ветер, дующий с юго-запада;3;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-5.3;;;;;;
28.10.2017 5:00;-2.8;727.9;769.0;0.6;91;Ветер, дующий с юго-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-4.1;;;;;;
28.10.2017 8:00;-3.4;729.0;770.4;01.янв;90;Ветер, дующий с юго-запада;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.8;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.8;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;4.0
28.10.2017 11:00;-2.1;729.2;770.5;0.2;81;Ветер, дующий с юго-запада;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.9;;;;;;
28.10.2017 14:00;-1.9;729.1;770.3;-0.1;73;Ветер, дующий с юго-запада;4;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;50.0;-6.1;;;;;;
28.10.2017 17:00;-1.6;728.7;769.8;-0.4;76;Ветер, дующий с юго-запада;5;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;50.0;-5.3;;;;;;
28.10.2017 20:00;-1.8;729.2;770.3;0.5;76;Ветер, дующий с юго-запада;5;;;100%.; ;;;;-1.3;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-5.6;Следы осадков;12;;;;
28.10.2017 23:00;-1.6;728.4;769.5;-0.8;82;Ветер, дующий с юго-юго-запада;3;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-4.3;;;;;;
29.10.2017 2:00;-2.5;;769.2;;85;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-4.7;;;;;;
29.10.2017 5:00;-3.0;726.7;768.0;;88;Ветер, дующий с юго-юго-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-4.7;;;;;;
29.10.2017 8:00;-3.4;726.1;767.4;-0.6;90;Ветер, дующий с юга;1;;;100%.; ;;;-4.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;50.0;-4.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;4.0
29.10.2017 11:00;-2.9;725.4;766.6;-0.7;86;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;50.0;-4.9;;;;;;
29.10.2017 14:00;01.июл;724.3;764.6;-1.1;57;Ветер, дующий с юго-запада;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-6.0;;;;;;
29.10.2017 17:00;0.6;723.4;763.8;-0.9;62;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.9;;;;;;
29.10.2017 20:00;-6.6;722.8;764.3;-0.6;94;Штиль, безветрие;0;;;70 – 80%.; ;;;;01.сен;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.4;Осадков нет;12;;;;
29.10.2017 23:00;-10.8;721.9;764.1;-0.9;95;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";;-11.4;;;;;;
30.10.2017 2:00;-12.0;721.1;763.4;-0.8;85;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, покрывающие все небо.;;-14.0;;;;;;
30.10.2017 5:00;-8.0;720.6;762.3;-0.5;98;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-8.2;;;;;;
30.10.2017 8:00;-3.6;720.6;761.5;0.0;99;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-13.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-3.8;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;4.0
30.10.2017 11:00;-0.5;720.7;761.2;0.1;84;Ветер, дующий с юго-запада;3;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-2.9;;;;;;
30.10.2017 14:00;0.6;720.2;760.5;-0.5;67;Ветер, дующий с западо-юго-запада;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.8;;;;;;
30.10.2017 17:00;-0.5;720.4;760.8;0.2;78;Ветер, дующий с западо-юго-запада;1;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;20.0;-3.9;;;;;;
30.10.2017 20:00;-1.8;720.6;761.2;0.2;76;Ветер, дующий с юго-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;0.8;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-5.6;Следы осадков;12;;;;
30.10.2017 23:00;-2.3;720.6;761.4;0.0;81;Ветер, дующий с юго-запада;3;;;100%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-5.2;;;;;;
31.10.2017 2:00;-3.0;720.7;761.7;0.1;88;Штиль, безветрие;0;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-4.7;;;;;;
31.10.2017 5:00;-4.2;720.9;762.0;0.2;73;Ветер, дующий с западо-юго-запада;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-8.4;;;;;;
31.10.2017 8:00;-5.1;721.6;763.0;0.7;73;Ветер, дующий с западо-северо-запада;4;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-5.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;50.0;-9.2;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
31.10.2017 11:00;-7.2;723.5;765.2;01.сен;85;Ветер, дующий с западо-юго-запада;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-7.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4.0;-9.3;;;;;;
31.10.2017 14:00;-6.4;723.7;765.3;0.2;71;Ветер, дующий с западо-юго-запада;2;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые просвечивающие.;;50.0;-10.9;;;;;;
31.10.2017 17:00;-8.0;724.4;766.3;0.7;78;Ветер, дующий с западо-юго-запада;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.2;;;;;;
31.10.2017 20:00;-14.7;725.3;768.5;0.9;90;Штиль, безветрие;0;;;20–30%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-5.1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16.0;0.3;12;;;;
31.10.2017 23:00;-19.4;726.3;770.2;1.0;85;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-21.3;;;;;;
01.11.2017 2:00;-15.4;726.8;770.0;0.5;90;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-16.7;;;;;;
01.11.2017 5:00;-15.2;727.4;770.7;0.6;90;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-16.5;;;;;;
01.11.2017 8:00;-14.3;728.2;771.4;0.8;90;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;-19.9;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-15.6;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;4.0
01.11.2017 11:00;-11.1;728.9;771.6;0.7;90;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-12.4;;;;;;
01.11.2017 14:00;-8.6;729.3;771.5;0.4;60;Ветер, дующий с юго-запада;4;;;70 – 80%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-15.1;;;;;;
01.11.2017 17:00;-8.9;730.0;772.4;0.7;71;Ветер, дующий с запада;1;;;50%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-13.3;;;;;;
01.11.2017 20:00;-15.5;730.9;774.4;0.9;90;Штиль, безветрие;0;;;40%.; ;;;;-8.3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-16.8;Осадков нет;12;;;;
01.11.2017 23:00;-19.3;731.5;775.8;0.6;84;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-21.3;;;;;;
02.11.2017 2:00;-23.2;732.6;777.6;01.янв;90;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-24.4;;;;;;
02.11.2017 5:00;-25.4;732.9;778.3;0.3;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-27.2;;;;;;
02.11.2017 8:00;-26.9;733.3;779.1;0.4;85;Штиль, безветрие;0;;;Облаков нет.; ;;;-27.4;;;;;;;;-28.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;4.0
02.11.2017 11:00;-21.0;734.1;778.8;0.8;85;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";50.0;-22.9;;;;;;
02.11.2017 14:00;-11.3;733.1;776.0;-1.0;80;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-14.1;;;;;;
02.11.2017 17:00;-8.5;732.4;774.9;-0.7;74;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;50.0;-12.3;;;;;;
02.11.2017 20:00;-8.3;732.0;774.4;-0.4;75;Ветер, дующий с юга;1;;;100%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-8.1;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-12.0;Следы осадков;12;;;;
02.11.2017 23:00;-8.7;715.6;773.1;-16.4;77;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-12.0;;;;;;
03.11.2017 2:00;-9.7;729.4;771.7;13.авг;88;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-11.4;;;;;;
03.11.2017 5:00;-13.4;727.7;770.7;-1.7;95;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-14.0;;;;;;
03.11.2017 8:00;-9.6;726.6;768.9;-1.1;88;Ветер, дующий с юга;1;;;100%.; ;;;-13.8;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-11.2;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;4.0
03.11.2017 11:00;-8.5;725.4;767.4;-1.2;92;Ветер, дующий с юго-юго-востока;1;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;2.0;-9.6;;;;;;
03.11.2017 14:00;-5.7;723.4;764.8;-2.0;85;Ветер, дующий с юго-юго-востока;1;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-7.9;;;;;;
03.11.2017 17:00;-4.7;721.8;762.9;-1.6;74;Ветер, дующий с юго-юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-8.7;;;;;;
03.11.2017 20:00;-6.9;721.0;762.5;-0.8;91;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;-4.4;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-8.2;2.0;12;;;;
03.11.2017 23:00;-7.1;734.7;761.2;13.июл;88;Ветер, дующий с юго-востока;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-8.8;;;;;;
04.11.2017 2:00;-5.2;717.5;758.6;-17.2;93;Штиль, безветрие;0;;;100%.;Ливневая снежная крупа или небольшой град с дождем или без него, или дождь со снегом слабые в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6.2;;;;;;
04.11.2017 5:00;-2.7;714.4;755.2;-3.1;100;Ветер, дующий с юго-юго-востока;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;;-2.7;;;;;;
