"Местное время в Бохане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.12.2019 20:00";"-12.1";"728.6";"772.1";"";"85";"Ветер, дующий с востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-11.3";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-14.2";"0.9";"12";"";"";"";"";
"01.12.2019 17:00";"-11.9";"729.7";"773.2";"";"79";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-14.8";"";"";"";"";"";"";
"01.12.2019 14:00";"-11.8";"731.8";"775.5";"";"74";"Ветер, дующий с юга";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"10.0";"-15.6";"";"";"";"";"";"";
"01.12.2019 11:00";"-16.2";"734.2";"778.7";"";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"50.0";"-18.3";"";"";"";"";"";"";
"01.12.2019 08:00";"-16.9";"735.1";"779.8";"";"84";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"-22.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"";"-19.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"5.0";
"01.12.2019 05:00";"-19.7";"735.2";"780.4";"";"82";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"";"-22.0";"";"";"";"";"";"";
"01.12.2019 02:00";"-21.6";"735.4";"781.0";"";"80";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-24.1";"";"";"";"";"";"";
"30.11.2019 23:00";"-20.4";"735.1";"780.4";"";"82";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-22.7";"";"";"";"";"";"";
"30.11.2019 20:00";"-17.8";"733.9";"778.6";"";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"-12.0";"";"";"";"";"";"";"-19.9";"0.7";"12";"";"";"";"";
"30.11.2019 17:00";"-13.0";"732.2";"776.1";"";"84";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-15.2";"";"";"";"";"";"";
"30.11.2019 11:00";"-17.3";"731.1";"775.6";"";"76";"Ветер, дующий с востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-20.5";"";"";"";"";"";"";
"30.11.2019 08:00";"-19.9";"731.3";"776.3";"";"76";"Ветер, дующий с востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-25.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-23.0";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"30.11.2019 05:00";"-22.4";"731.3";"776.8";"";"75";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-25.6";"";"";"";"";"";"";
"30.11.2019 02:00";"-23.7";"732.1";"777.9";"";"76";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-26.7";"";"";"";"";"";"";
"29.11.2019 20:00";"-22.9";"732.7";"778.3";"";"79";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"-13.6";"";"";"";"";"";"";"-25.6";"0.2";"12";"";"";"";"";
"29.11.2019 14:00";"-13.9";"733.7";"777.9";"";"72";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"50.0";"-17.9";"";"";"";"";"";"";
"29.11.2019 08:00";"-18.2";"734.2";"779.1";"";"82";"Ветер, дующий с севера";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-23.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"4.0";"-20.6";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"29.11.2019 02:00";"-23.8";"734.2";"780.2";"";"78";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-26.5";"";"";"";"";"";"";
"28.11.2019 23:00";"-19.4";"733.9";"779.1";"";"79";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"";"-22.1";"";"";"";"";"";"";
"28.11.2019 20:00";"-20.7";"733.6";"778.9";"";"80";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"-13.5";"";"";"";"";"";"";"-23.2";"Осадков нет";"12";"";"";"";"";
"28.11.2019 17:00";"-17.0";"732.7";"777.4";"";"76";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-20.3";"";"";"";"";"";"";
"28.11.2019 14:00";"-14.4";"732.7";"776.8";"";"64";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-19.8";"";"";"";"";"";"";
"28.11.2019 11:00";"-22.4";"733.0";"778.6";"";"75";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-25.7";"";"";"";"";"";"";
"28.11.2019 08:00";"-24.7";"732.8";"778.9";"";"76";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-25.2";"";"";"";"";"";"";"";"-27.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"28.11.2019 05:00";"-24.2";"733.0";"778.9";"";"76";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"";"-27.3";"";"";"";"";"";"";
"28.11.2019 02:00";"-22.6";"733.4";"779.1";"";"79";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-25.3";"";"";"";"";"";"";
"27.11.2019 23:00";"-21.4";"734.4";"779.9";"";"80";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-23.9";"";"";"";"";"";"";
"27.11.2019 20:00";"-20.6";"735.1";"780.4";"";"83";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-12.5";"";"";"";"";"";"";"-22.8";"Осадков нет";"12";"";"";"";"";
"27.11.2019 17:00";"-17.2";"735.4";"780.2";"";"71";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-21.2";"";"";"";"";"";"";
"27.11.2019 14:00";"-12.5";"736.2";"780.2";"";"56";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-19.5";"";"";"";"";"";"";
"27.11.2019 11:00";"-24.0";"738.0";"784.2";"";"68";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-28.2";"";"";"";"";"";"";
"27.11.2019 08:00";"-27.4";"738.4";"785.2";"";"73";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"-27.5";"";"";"";"";"";"";"";"-30.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"27.11.2019 05:00";"-27.2";"738.9";"785.8";"";"74";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-30.5";"";"";"";"";"";"";
"27.11.2019 02:00";"-26.6";"739.6";"786.6";"";"74";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-29.8";"";"";"";"";"";"";
"26.11.2019 23:00";"-25.6";"740.2";"787.0";"";"76";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-28.6";"";"";"";"";"";"";
"26.11.2019 20:00";"-22.2";"740.1";"786.1";"";"80";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-16.3";"";"";"";"";"";"";"-24.7";"Осадков нет";"12";"";"";"";"";
"26.11.2019 17:00";"-17.6";"740.0";"785.3";"";"72";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-21.4";"";"";"";"";"";"";
"26.11.2019 14:00";"-17.4";"740.5";"785.6";"";"65";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-22.4";"";"";"";"";"";"";
"26.11.2019 11:00";"-26.0";"741.4";"788.2";"";"72";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"-28.2";"";"";"";"";"";"";"50.0";"-29.6";"";"";"";"";"";"";
"26.11.2019 08:00";"-27.5";"740.6";"787.7";"";"74";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"-27.7";"";"";"";"";"";"";"";"-30.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"26.11.2019 05:00";"-26.1";"739.5";"786.3";"";"77";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-28.9";"";"";"";"";"";"";
"26.11.2019 02:00";"-22.6";"738.7";"784.6";"";"82";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-24.9";"";"";"";"";"";"";
"25.11.2019 23:00";"-19.6";"736.7";"782.1";"";"80";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-22.2";"";"";"";"";"";"";
"25.11.2019 20:00";"-13.3";"734.1";"778.1";"";"67";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-8.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-18.2";"0.5";"12";"";"";"";"";
"25.11.2019 17:00";"-9.1";"731.2";"774.4";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-11.9";"";"";"";"";"";"";
"25.11.2019 14:00";"-11.7";"729.6";"773.1";"";"80";"Ветер, дующий с севера";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-14.5";"";"";"";"";"";"";
"25.11.2019 11:00";"-16.6";"729.0";"773.3";"";"71";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"50.0";"-20.7";"";"";"";"";"";"";
"25.11.2019 08:00";"-19.4";"727.4";"772.1";"";"79";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"-20.8";"";"";"";"";"";"";"";"-22.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"25.11.2019 05:00";"-18.4";"726.7";"771.1";"";"77";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-21.5";"";"";"";"";"";"";
"25.11.2019 02:00";"-19.0";"726.4";"771.1";"";"77";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-22.1";"";"";"";"";"";"";
"24.11.2019 20:00";"-18.9";"727.4";"772.0";"";"77";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-8.9";"";"";"";"";"";"";"-21.9";"Осадков нет";"12";"";"";"";"";
"24.11.2019 14:00";"-9.7";"729.8";"772.9";"";"48";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-18.8";"";"";"";"";"";"";
"24.11.2019 08:00";"-22.9";"733.0";"778.7";"";"77";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"-23.4";"";"";"";"";"";"";"";"-25.8";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"1.0";
"24.11.2019 05:00";"-22.1";"734.2";"779.8";"";"77";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-25.0";"";"";"";"";"";"";
"24.11.2019 02:00";"-23.2";"735.6";"781.5";"";"78";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-26.0";"";"";"";"";"";"";
"23.11.2019 23:00";"-21.3";"736.5";"782.1";"";"80";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-23.9";"";"";"";"";"";"";
"23.11.2019 20:00";"-19.0";"736.3";"781.4";"";"80";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-17.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"";"-21.6";"Следы осадков";"12";"";"";"";"";
"23.11.2019 17:00";"-17.3";"735.5";"780.4";"";"78";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"20–30%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"50.0";"-20.2";"";"";"";"";"";"";
"23.11.2019 14:00";"-17.8";"735.1";"780.1";"";"67";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"50.0";"-22.5";"";"";"";"";"";"";
"23.11.2019 11:00";"-23.6";"735.1";"781.3";"";"70";"Ветер, дующий с востоко-юго-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-27.6";"";"";"";"";"";"";
"23.11.2019 08:00";"-26.1";"733.9";"780.3";"";"72";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"-27.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"";"-29.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"23.11.2019 05:00";"-26.0";"732.4";"778.7";"";"72";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-29.6";"";"";"";"";"";"";
"22.11.2019 23:00";"-26.0";"730.9";"777.1";"";"75";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-29.1";"";"";"";"";"";"";
"22.11.2019 20:00";"-23.6";"730.5";"776.2";"";"76";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"-15.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"";"-26.7";"Осадков нет";"12";"";"";"";"";
"22.11.2019 17:00";"-19.0";"729.8";"774.6";"";"68";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-23.4";"";"";"";"";"";"";
"22.11.2019 14:00";"-15.3";"729.8";"773.9";"";"55";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-22.3";"";"";"";"";"";"";
"22.11.2019 11:00";"-23.0";"729.8";"775.3";"";"69";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-27.2";"";"";"";"";"";"";
"22.11.2019 05:00";"-25.3";"728.5";"774.4";"";"76";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-28.3";"";"";"";"";"";"";
"22.11.2019 02:00";"-21.5";"727.6";"772.6";"";"72";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-25.3";"";"";"";"";"";"";
"21.11.2019 23:00";"-16.0";"726.4";"770.5";"";"62";"Ветер, дующий с северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-21.6";"";"";"";"";"";"";
"21.11.2019 20:00";"-14.0";"725.0";"768.7";"";"65";"Ветер, дующий с северо-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-9.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"";"-19.2";"2.0";"12";"";"";"";"";
"21.11.2019 17:00";"-12.7";"723.1";"766.4";"";"67";"Ветер, дующий с северо-запада";"4";"";"10";"100%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"50.0";"-17.7";"";"";"";"";"";"";
"21.11.2019 14:00";"-11.4";"721.3";"764.2";"";"73";"Ветер, дующий с северо-запада";"4";"";"11";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-15.4";"";"";"";"";"";"";
"21.11.2019 11:00";"-9.8";"719.8";"762.4";"";"84";"Ветер, дующий с северо-запада";"5";"10";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"300-600";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-12.0";"";"";"";"";"";"";
"21.11.2019 08:00";"-9.6";"718.0";"760.4";"";"88";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"-14.1";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"300-600";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"4.0";"-11.3";"2.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"21.11.2019 05:00";"-9.4";"717.1";"759.5";"";"87";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-11.2";"";"";"";"";"";"";
"21.11.2019 02:00";"-11.9";"717.2";"760.0";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"";"-13.9";"";"";"";"";"";"";
"20.11.2019 23:00";"-13.7";"718.3";"761.5";"";"86";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-15.5";"";"";"";"";"";"";
