Местное время в Икее;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
29.09.2020 8:00;0.6;715.9;764.1;;96;Штиль, безветрие;0;;;70 – 80%.; ;;;-1.4;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;0.0;Осадков нет;12;;;;
29.09.2020 2:00;0.8;717.8;766.2;;87;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-1.2;;;;;;
28.09.2020 20:00;06.мар;719.6;767.1;;78;Штиль, безветрие;0;;;Облаков нет.; ;;;;11.май;;;;;;;02.июл;Осадков нет;12;;;;
28.09.2020 14:00;09.мар;721.4;768.5;;56;Ветер, дующий с северо-запада;4;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;1.0;;;;;;
28.09.2020 8:00;03.июл;723.4;771.5;;97;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;02.сен;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;03.фев;Осадков нет;12;;;;
28.09.2020 2:00;06.янв;723.7;771.4;;93;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;5.0;;;;;;
27.09.2020 20:00;07.фев;722.2;769.7;;76;Ветер, дующий с севера;2;;;100%.; ;;;;09.апр;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;03.фев;Осадков нет;12;;;;
27.09.2020 14:00;08.сен;721.6;768.7;;66;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;02.авг;;;;;;
27.09.2020 8:00;04.авг;720.3;768.1;;79;Ветер, дующий с северо-запада;2;;;70 – 80%.; ;;;04.май;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;01.май;Осадков нет;12;;;;
27.09.2020 2:00;04.авг;710.1;757.3;;;Ветер, дующий с северо-запада;4;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;;;;;;;
26.09.2020 20:00;06.сен;716.1;763.3;;71;Ветер, дующий с северо-запада;6;;;Небо не видно из-за тумана и/или других метеорологических явлений.; ;;;;07.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;2.0;5.0;12;;;;
26.09.2020 14:00;6.0;712.8;759.8;;75;Ветер, дующий с западо-северо-запада;6;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;01.авг;;;;;;
26.09.2020 8:00;04.апр;709.3;756.4;;92;Ветер, дующий с западо-северо-запада;6;;12;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;02.сен;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;03.фев;20.0;12;;;;
26.09.2020 2:00;03.янв;707.5;754.7;;97;Ветер, дующий с западо-северо-запада;10;;;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;02.июн;;;;;;
25.09.2020 20:00;04.мар;705.9;752.8;;95;Ветер, дующий с западо-северо-запада;6;;12;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;07.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;03.июн;15.0;12;;;;
25.09.2020 14:00;07.фев;703.9;750.1;;95;Ветер, дующий с севера;2;;;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;06.май;;;;;;
25.09.2020 8:00;05.янв;704.9;751.6;;97;Штиль, безветрие;0;;;100%.; ;;;03.мар;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;04.июн;Осадков нет;12;;;;
25.09.2020 2:00;06.фев;707.6;754.3;;84;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;03.июн;;;;;;
24.09.2020 20:00;09.фев;710.0;756.4;;71;Ветер, дующий с востока;2;;;60%.; ;;;;12.сен;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;04.фев;Осадков нет;12;;;;
24.09.2020 14:00;11.янв;711.5;757.6;;67;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;05.фев;;;;;;
24.09.2020 8:00;08.фев;712.6;759.1;;83;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;04.авг;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;50.0;05.май;Осадков нет;12;;;;
24.09.2020 2:00;06.янв;710.7;757.6;;59;Ветер, дующий с востока;4;;;Облаков нет.; ;;;;;;;;;;;-1.4;;;;;;
23.09.2020 20:00;13.0;713.2;759.1;;60;Ветер, дующий с востока;4;;;70 – 80%.; ;;;;18.фев;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;05.мар;Осадков нет;12;;;;
23.09.2020 14:00;15.май;715.2;760.9;;56;Ветер, дующий с востока;4;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;06.июл;;;;;;
23.09.2020 8:00;-1.5;716.5;765.2;;98;Штиль, безветрие;0;;;Облаков нет.; ;;;-1.9;;;;;;;50.0;-1.8;Осадков нет;12;;;;
23.09.2020 2:00;03.авг;716.4;764.1;;87;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;01.авг;;;;;;
22.09.2020 20:00;11.авг;716.4;762.7;;69;Штиль, безветрие;0;;;70 – 80%.; ;;;;16.май;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;06.мар;Осадков нет;12;;;;
22.09.2020 14:00;9.0;717.1;763.9;;81;Ветер, дующий с востоко-юго-востока;2;;;20–30%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;05.сен;;;;;;
22.09.2020 8:00;5.0;717.1;764.6;;100;Штиль, безветрие;0;;;Облаков нет.;Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;01.июн;;;;;;;0.5;5.0;Осадков нет;12;;;;
22.09.2020 2:00;05.мар;717.6;765.1;;91;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;03.сен;;;;;;
21.09.2020 20:00;11.мар;718.4;764.9;;74;Ветер, дующий с востока;2;;;20–30%.; ;;;;17.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;06.июл;Следы осадков;12;;;;
21.09.2020 14:00;15.янв;719.7;765.6;;61;Ветер, дующий с востока;4;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;07.май;;;;;;
21.09.2020 8:00;06.июл;721.0;768.4;;95;Штиль, безветрие;0;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;05.сен;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;6.0;0.3;12;;;;
21.09.2020 2:00;06.мар;721.4;769.0;;94;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;05.апр;;;;;;
20.09.2020 20:00;09.мар;721.3;768.3;;92;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;13.янв;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;08.янв;2.0;12;;;;
20.09.2020 14:00;11.мар;721.2;767.8;;78;Ветер, дующий с западо-юго-запада;2;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;07.июн;;;;;;
20.09.2020 8:00;05.июн;720.7;768.4;;100;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;01.май;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;05.июн;3.0;12;Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).;4.0;;
20.09.2020 2:00;01.июн;719.6;767.9;;93;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;0.5;;;;;;
19.09.2020 20:00;10.фев;718.7;765.4;;78;Штиль, безветрие;0;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;11.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;06.апр;3.0;12;;;;
19.09.2020 14:00;08.авг;718.4;765.3;;95;Ветер, дующий с западо-юго-запада;2;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;8.0;;;;;;
19.09.2020 8:00;09.мар;716.9;763.6;;76;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%; ;;;05.янв;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;05.мар;Осадков нет;12;Поверхность почвы влажная.;7.0;;
19.09.2020 2:00;07.янв;713.1;760.0;;85;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;04.авг;;;;;;
18.09.2020 20:00;16.апр;712.8;758.1;;57;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;21.май;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;07.июл;Осадков нет;12;;;;
18.09.2020 14:00;16.фев;713.3;758.6;;51;Ветер, дующий с востока;2;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;05.сен;;;;;;
18.09.2020 8:00;1.0;714.1;762.1;;100;Штиль, безветрие;0;;;Облаков нет.;Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;0.3;;;;;;;0.5;1.0;Осадков нет;12;Поверхность почвы влажная.;1.0;;
18.09.2020 2:00;05.мар;714.6;761.9;;92;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;04.янв;;;;;;
17.09.2020 20:00;15.0;714.8;760.4;;65;Ветер, дующий с востока;2;;;20–30%.; ;;;;20.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;08.май;Осадков нет;12;;;;
17.09.2020 14:00;17.мар;715.3;760.6;;52;Ветер, дующий с востока;4;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;07.апр;;;;;;
17.09.2020 8:00;2.0;715.5;763.4;;95;Штиль, безветрие;0;;;40%.; ;;;-0.4;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;01.фев;Осадков нет;12;Поверхность почвы влажная.;0.0;;
17.09.2020 2:00;05.фев;715.3;762.7;;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;02.авг;;;;;;
16.09.2020 20:00;8.0;715.0;760.9;;89;Штиль, безветрие;0;;;40%.; ;;;;19.фев;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;06.фев;Осадков нет;12;;;;
16.09.2020 14:00;16.апр;715.3;760.8;;49;Ветер, дующий с юго-востока;4;;;10%  или менее, но не 0;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;05.июн;;;;;;
16.09.2020 8:00;-0.4;716.0;764.5;;98;Штиль, безветрие;0;;;60%.;Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-0.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;0.5;-0.7;Осадков нет;12;Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).;0.0;;
16.09.2020 2:00;01.авг;716.6;764.7;;95;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;1.0;;;;;;
15.09.2020 20:00;13.мар;716.6;762.6;;68;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;18.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;07.апр;Осадков нет;12;;;;
15.09.2020 14:00;15.июн;717.4;763.1;;45;Ветер, дующий с севера;4;;;60%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;03.июл;;;;;;
15.09.2020 8:00;04.май;717.9;765.5;;97;Штиль, безветрие;0;;;Облаков нет.; ;;;3.0;;;;;;;50.0;4.0;Следы осадков;12;Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).;3.0;;
15.09.2020 2:00;06.фев;718.1;765.5;;91;Штиль, безветрие;0;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;04.авг;;;;;;
14.09.2020 20:00;9.0;717.7;764.6;;84;Ветер, дующий с северо-северо-запада;4;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;09.янв;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;06.апр;9.0;18;;;;
14.09.2020 14:00;07.май;716.2;763.3;;93;Ветер, дующий с северо-запада;4;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;06.апр;;;;;;
14.09.2020 8:00;08.мар;716.7;763.6;;87;Ветер, дующий с северо-северо-запада;4;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;05.мар;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;06.мар;2.0;12;Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).;5.0;;
14.09.2020 2:00;05.апр;718.1;765.6;;89;Ветер, дующий с северо-северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;03.июл;;;;;;
13.09.2020 20:00;06.сен;720.1;767.4;;87;Ветер, дующий с северо-северо-запада;4;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;08.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;04.авг;9.0;12;;;;
13.09.2020 14:00;08.мар;719.2;766.3;;90;Ветер, дующий с северо-запада;4;;;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;06.авг;;;;;;
13.09.2020 8:00;06.авг;719.7;767.0;;95;Ветер, дующий с северо-запада;2;;;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали половину неба или менее в течение всего соответствующего периода.;05.мар;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;06.янв;20.0;12;Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).;5.0;;
13.09.2020 2:00;05.авг;720.0;766.8;;95;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;05.янв;;;;;;
12.09.2020 20:00;07.фев;720.8;768.2;;93;Ветер, дующий с северо-запада;2;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;06.янв;6.0;12;;;;
12.09.2020 8:00;06.июн;721.7;769.3;;95;Ветер, дующий с северо-северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;06.май;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;05.сен;Следы осадков;12;Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).;7.0;;
12.09.2020 2:00;07.авг;722.2;769.5;;92;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;06.май;;;;;;
11.09.2020 20:00;09.авг;721.0;767.8;;73;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;11.авг;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;05.фев;Следы осадков;12;;;;
11.09.2020 14:00;10.0;720.1;766.9;;74;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;05.июн;;;;;;
