Местное время в Хомутово;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
07.10.2017 23:00;01.май;736.2;778.6;;84;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-1.0;;;;;;
08.10.2017 5:00;0.6;737.8;780.4;;84;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-1.9;;;;;;
08.10.2017 11:00;01.авг;740.1;782.8;;73;Ветер, дующий с северо-запада;3;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-2.5;;;;;;
08.10.2017 23:00;-1.3;742.6;785.8;;88;Ветер, дующий с западо-юго-запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-3.1;;;;;;
09.10.2017 5:00;-1.5;742.4;785.7;;85;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-3.7;;;;;;
09.10.2017 11:00;01.авг;742.6;785.4;;68;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;;Высококучевые просвечивающие, расположенные на одном уровне.;;;-3.5;;;;;;
09.10.2017 17:00;04.авг;739.3;781.4;;33;Ветер, дующий с востока;2;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-10.3;;;;;;
09.10.2017 23:00;-3.7;738.3;781.7;;74;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-7.8;;;;;;
10.10.2017 5:00;-6.8;735.9;779.7;;85;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-9.0;;;;;;
10.10.2017 11:00;-0.3;734.5;777.1;;70;Ветер, дующий с северо-востока;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.2;;;;;;
10.10.2017 17:00;05.янв;731.5;773.2;;40;Ветер, дующий с севера;2;;;100%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.5;;;;;;
10.10.2017 23:00;-4.5;731.2;774.4;;81;Ветер, дующий с востоко-юго-востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.3;;;;;;
11.10.2017 5:00;-7.8;730.9;774.7;;86;Ветер, дующий с востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-9.8;;;;;;
11.10.2017 11:00;-1.5;730.6;773.2;;71;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-6.1;;;;;;
11.10.2017 17:00;05.янв;728.2;769.6;;34;Ветер, дующий с западо-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-9.6;;;;;;
11.10.2017 23:00;-3.8;727.2;770.0;;77;Ветер, дующий с востоко-северо-востока;1;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.3;;;;;;
12.10.2017 5:00;-4.7;726.0;768.9;;77;Ветер, дующий с востоко-северо-востока;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";;-8.2;;;;;;
12.10.2017 11:00;-0.9;725.7;768.0;;64;Ветер, дующий с востока;1;;;100%.; ;;;-6.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-6.9;;;;;;
12.10.2017 17:00;06.мар;724.4;765.5;;30;Ветер, дующий с запада;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-10.1;;;;;;
13.10.2017 5:00;-2.1;729.8;772.5;;74;Ветер, дующий с запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-6.1;;;;;;
13.10.2017 11:00;-0.6;731.6;774.2;;65;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;-3.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-6.5;;;;;;
13.10.2017 17:00;0.4;731.5;773.9;;54;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-7.9;;;;;;
13.10.2017 23:00;-7.4;732.3;776.0;;88;Ветер, дующий с северо-северо-востока;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-9.1;;;;;;
14.10.2017 5:00;-10.7;731.2;775.5;;85;Ветер, дующий с востоко-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;;-12.7;;;;;;
14.10.2017 11:00;-3.6;730.7;773.7;;78;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-6.9;;;;;;
14.10.2017 17:00;02.апр;729.4;771.4;;45;Ветер, дующий с западо-юго-запада;3;;;90  или более, но не 100%;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.5;;;;;;
14.10.2017 23:00;-6.5;731.1;774.6;;83;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.9;;;;;;
15.10.2017 5:00;-7.2;732.0;775.6;;88;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-8.9;;;;;;
15.10.2017 11:00;-0.8;732.4;775.1;;56;Штиль, безветрие;0;;;20–30%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.5;;;;;;
15.10.2017 17:00;05.сен;729.4;770.8;;26;Ветер, дующий с северо-востока;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.1;;;;;;
15.10.2017 23:00;-4.6;729.2;772.3;;67;Ветер, дующий с востоко-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;;-9.8;;;;;;
16.10.2017 5:00;-7.5;727.6;771.1;;78;Ветер, дующий с востоко-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;;-10.8;;;;;;
16.10.2017 11:00;01.июл;727.3;769.3;;62;Ветер, дующий с северо-востока;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-4.9;;;;;;
16.10.2017 17:00;09.фев;725.5;766.1;;30;Ветер, дующий с юга;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.7;;;;;;
16.10.2017 23:00;-2.2;725.5;768.0;;74;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-6.2;;;;;;
17.10.2017 5:00;-4.6;723.7;766.5;;86;Ветер, дующий с востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-6.6;;;;;;
17.10.2017 11:00;05.янв;724.9;766.1;;60;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-2.1;;;;;;
17.10.2017 17:00;09.сен;725.7;766.3;;46;Ветер, дующий с запада;2;;;60%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-1.3;;;;;;
17.10.2017 23:00;02.авг;728.2;769.9;;77;Ветер, дующий с запада;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-0.8;;;;;;
18.10.2017 5:00;02.янв;728.5;770.4;;81;Ветер, дующий с запада;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-0.8;;;;;;
18.10.2017 11:00;06.май;728.7;769.9;;68;Ветер, дующий с юго-юго-запада;1;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;;Высококучевые просвечивающие, расположенные на одном уровне.;;;0.9;;;;;;
18.10.2017 17:00;10.апр;725.5;766.1;;43;Ветер, дующий с востока;2;;;10%  или менее, но не 0; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-1.6;;;;;;
18.10.2017 23:00;-1.0;724.6;766.9;;82;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-3.8;;;;;;
19.10.2017 5:00;-4.9;722.8;765.5;;90;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;;-6.3;;;;;;
19.10.2017 11:00;01.авг;724.1;765.8;;68;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-3.5;;;;;;
19.10.2017 17:00;07.июн;724.3;765.1;;50;Ветер, дующий с западо-юго-запада;3;;;10%  или менее, но не 0;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-2.2;;;;;;
19.10.2017 23:00;-0.4;726.8;769.0;;88;Ветер, дующий с западо-юго-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-2.1;;;;;;
20.10.2017 5:00;-2.4;727.6;770.2;;96;Ветер, дующий с северо-востока;1;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;;;;;;;-2.9;;;;;;
20.10.2017 17:00;09.фев;723.7;764.2;;39;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-4.1;;;;;;
20.10.2017 23:00;-0.8;724.3;766.4;;72;Ветер, дующий с востоко-северо-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-5.2;;;;;;
21.10.2017 5:00;-1.5;725.6;768.0;;88;Ветер, дующий с юго-востока;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-3.2;;;;;;
21.10.2017 11:00;05.авг;726.7;767.9;;77;Ветер, дующий с западо-юго-запада;1;;;20–30%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;02.янв;;;;;;
21.10.2017 17:00;10.июл;725.5;766.0;;51;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;0.9;;;;;;
21.10.2017 23:00;-1.5;725.8;768.1;;91;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-2.8;;;;;;
22.10.2017 5:00;-3.4;724.1;766.6;;90;Ветер, дующий с востоко-северо-востока;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-4.8;;;;;;
22.10.2017 11:00;04.фев;723.9;765.2;;78;Ветер, дующий с востоко-северо-востока;1;;;70 – 80%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;0.7;;;;;;
22.10.2017 17:00;10.май;721.6;761.9;;46;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-0.7;;;;;;
22.10.2017 23:00;0.4;720.6;762.4;;82;Ветер, дующий с востоко-северо-востока;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-2.4;;;;;;
23.10.2017 5:00;-2.0;719.2;761.2;;88;Ветер, дующий с востоко-северо-востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-3.8;;;;;;
23.10.2017 11:00;03.июл;720.9;762.1;;74;Ветер, дующий с северо-востока;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-0.6;;;;;;
23.10.2017 17:00;13.июн;721.4;761.2;;35;Ветер, дующий с северо-северо-запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-1.5;;;;;;
23.10.2017 23:00;04.мар;728.9;770.5;;61;Ветер, дующий с северо-северо-запада;3;;10;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-2.7;;;;;;
24.10.2017 5:00;01.июл;730.0;772.0;;77;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;;Высококучевые просвечивающие, расположенные на одном уровне.;;;-2.0;;;;;;
24.10.2017 11:00;03.фев;730.0;771.8;;66;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;;;;;-2.6;;;;;;
24.10.2017 17:00;08.май;726.2;767.1;;43;Ветер, дующий с юго-востока;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-3.6;;;;;;
24.10.2017 23:00;-2.7;725.2;767.6;;82;Ветер, дующий с востоко-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;;-5.4;;;;;;
25.10.2017 5:00;-4.4;721.9;764.5;;85;Ветер, дующий с востоко-северо-востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-6.5;;;;;;
25.10.2017 11:00;02.фев;721.6;763.2;;67;Ветер, дующий с востоко-северо-востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-3.3;;;;;;
25.10.2017 17:00;13.мар;720.0;759.7;;35;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-1.9;;;;;;
25.10.2017 23:00;-0.3;718.7;760.4;;78;Ветер, дующий с востоко-северо-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-3.7;;;;;;
26.10.2017 5:00;01.авг;718.6;760.0;;78;Ветер, дующий с запада;4;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-1.6;;;;;;
26.10.2017 11:00;01.июн;720.2;761.8;;87;Ветер, дующий с запада;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-0.3;;;;;;
26.10.2017 23:00;-2.8;726.4;769.0;;81;Ветер, дующий с северо-запада;4;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-5.7;;;;;;
27.10.2017 5:00;-5.7;728.5;771.7;;86;Ветер, дующий с запада;1;;;; ;;;;;;;;;;;-7.7;;;;;;
