Местное время в Калтуке;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
06.03.2017 5:00;-5.3;734.4;776.7;;96;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.9;;;;;;
06.03.2017 11:00;-3.3;735.3;777.7;;86;Ветер, дующий с востока;2;;;100%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.4;;;;;;
06.03.2017 17:00;-1.4;734.9;776.6;;74;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.5;;;;;;
06.03.2017 23:00;-3.3;735.3;777.4;;92;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-4.4;;;;;;
07.03.2017 5:00;-5.1;734.5;776.8;;95;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.8;;;;;;
07.03.2017 11:00;-4.3;734.8;776.9;;94;Ветер, дующий с запада;1;;;100%.;Туман или ледяной туман. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.1;;;;;;
07.03.2017 17:00;1.0;732.7;774.2;;68;Ветер, дующий с востоко-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-4.3;;;;;;
07.03.2017 23:00;-10.4;730.3;773.3;;92;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-11.4;;;;;;
08.03.2017 5:00;-14.8;727.0;770.5;;88;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-16.4;;;;;;
08.03.2017 11:00;-10.4;724.8;767.4;;88;Ветер, дующий с востока;1;;;Облаков нет.; ;;;-18.2;;;;;;;;-12.0;;;;;;
08.03.2017 17:00;02.мар;722.3;762.7;;51;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-6.8;;;;;;
08.03.2017 23:00;-7.1;722.2;764.1;;85;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-9.3;;;;;;
09.03.2017 5:00;-10.6;722.2;764.7;;90;Ветер, дующий с юго-юго-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.0;;;;;;
09.03.2017 11:00;-5.8;722.9;764.7;;71;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-10.2;;;;;;
09.03.2017 17:00;-0.9;722.5;763.5;;51;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-9.8;;;;;;
09.03.2017 23:00;-5.7;725.8;767.8;;62;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.8;;;;;;
10.03.2017 5:00;-14.1;729.7;773.3;;55;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-21.2;;;;;;
10.03.2017 11:00;-11.3;732.1;775.6;;45;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-21.1;;;;;;
10.03.2017 17:00;-7.1;730.0;772.4;;45;Ветер, дующий с юго-юго-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-17.2;;;;;;
10.03.2017 23:00;-8.5;729.1;772.0;;53;Ветер, дующий с западо-юго-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, покрывающие все небо.;;-16.4;;;;;;
11.03.2017 5:00;-11.2;729.5;772.6;;64;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16.7;;;;;;
11.03.2017 11:00;-6.0;730.0;772.3;;49;Ветер, дующий с западо-юго-запада;3;;;100%.; ;;;-11.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-15.2;;;;;;
11.03.2017 23:00;-4.3;728.4;770.3;;36;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-17.4;;;;;;
12.03.2017 5:00;-4.2;729.4;771.3;;59;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, покрывающие все небо.;;-11.1;;;;;;
12.03.2017 11:00;-2.4;730.9;772.6;;66;Ветер, дующий с западо-юго-запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, покрывающие все небо.;;-7.9;;;;;;
12.03.2017 17:00;01.апр;729.6;770.6;;65;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-4.5;;;;;;
12.03.2017 23:00;-5.0;729.0;771.0;;49;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-14.1;;;;;;
13.03.2017 5:00;-10.4;728.2;771.0;;76;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-13.9;;;;;;
13.03.2017 11:00;-2.8;727.9;769.5;;41;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-14.2;;;;;;
13.03.2017 17:00;5.0;724.5;764.7;;30;Ветер, дующий с юго-юго-запада;3;;;Облаков нет.; ;;;;;;;;;;;-11.3;;;;;;
13.03.2017 23:00;-3.8;723.6;765.1;;53;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.0;;;;;;
14.03.2017 5:00;-2.4;724.0;765.3;;50;Ветер, дующий с западо-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-11.5;;;;;;
14.03.2017 11:00;0.7;724.9;765.8;;40;Ветер, дующий с юго-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-11.6;;;;;;
14.03.2017 17:00;05.июн;723.4;763.7;;32;Ветер, дующий с западо-юго-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-10.0;;;;;;
14.03.2017 23:00;-4.0;723.3;764.8;;58;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;;-11.2;;;;;;
15.03.2017 5:00;-8.6;722.9;765.1;;75;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-12.3;;;;;;
15.03.2017 11:00;-2.3;722.8;764.1;;44;Ветер, дующий с востока;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.9;;;;;;
15.03.2017 17:00;05.фев;720.8;761.1;;27;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.6;;;;;;
15.03.2017 23:00;-0.4;723.3;764.2;;38;Ветер, дующий с северо-запада;4;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-13.0;;;;;;
16.03.2017 5:00;-5.2;726.6;768.4;;70;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, покрывающие все небо.;;-9.9;;;;;;
16.03.2017 11:00;-5.6;729.7;771.9;;63;Ветер, дующий с запада;3;;;100%.;Облака в целом образовывались или развивались. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.6;;;;;;
16.03.2017 17:00;-5.5;730.7;772.9;;44;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16.0;;;;;;
16.03.2017 23:00;-16.2;733.3;777.4;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-19.7;;;;;;
17.03.2017 5:00;-21.5;734.0;779.2;;80;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-24.0;;;;;;
17.03.2017 11:00;-14.5;735.1;779.1;;63;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-20.0;;;;;;
17.03.2017 17:00;-4.2;733.1;775.3;;37;Ветер, дующий с юга;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16.9;;;;;;
17.03.2017 23:00;-15.2;733.9;777.9;;76;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;;-18.5;;;;;;
18.03.2017 5:00;-22.0;734.2;779.8;;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-23.9;;;;;;
18.03.2017 11:00;-14.0;735.3;779.2;;57;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-20.8;;;;;;
18.03.2017 17:00;-2.6;733.8;775.7;;32;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-17.0;;;;;;
18.03.2017 23:00;-14.2;734.5;778.4;;70;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-18.6;;;;;;
19.03.2017 5:00;-20.7;735.1;780.5;;83;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-22.9;;;;;;
19.03.2017 11:00;-12.2;735.7;779.2;;53;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-20.0;;;;;;
19.03.2017 17:00;-0.8;734.0;775.6;;24;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-18.8;;;;;;
19.03.2017 23:00;-11.9;733.7;777.1;;65;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-17.3;;;;;;
20.03.2017 5:00;-18.0;733.0;777.4;;78;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-20.9;;;;;;
20.03.2017 11:00;-10.5;733.4;776.9;;50;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-18.9;;;;;;
20.03.2017 17:00;01.апр;732.0;773.2;;24;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-17.0;;;;;;
20.03.2017 23:00;-7.8;732.1;775.0;;55;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-15.4;;;;;;
21.03.2017 5:00;-12.2;731.8;775.1;;66;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-17.4;;;;;;
21.03.2017 11:00;-4.0;732.4;774.4;;40;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-15.8;;;;;;
21.03.2017 17:00;02.фев;731.3;772.6;;37;Ветер, дующий с севера;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.0;;;;;;
21.03.2017 23:00;-8.4;731.2;773.9;;77;Ветер, дующий с юго-юго-запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.8;;;;;;
22.03.2017 5:00;-14.4;730.7;774.4;;87;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-16.1;;;;;;
22.03.2017 11:00;-5.1;731.7;773.8;;71;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-9.6;;;;;;
22.03.2017 17:00;02.апр;731.5;772.5;;37;Ветер, дующий с севера;3;;;10%  или менее, но не 0; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-11.1;;;;;;
22.03.2017 23:00;-6.9;732.7;775.6;;71;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;;-11.4;;;;;;
23.03.2017 5:00;-14.0;733.2;776.9;;92;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-15.0;;;;;;
23.03.2017 11:00;-6.9;734.2;776.8;;61;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-13.3;;;;;;
23.03.2017 17:00;05.фев;732.6;773.2;;34;Ветер, дующий с юго-востока;1;;;10%  или менее, но не 0; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-9.6;;;;;;
23.03.2017 23:00;-5.6;733.2;775.5;;70;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-10.3;;;;;;
24.03.2017 5:00;-6.7;733.1;775.6;;69;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-11.5;;;;;;
24.03.2017 11:00;0.2;733.4;774.8;;40;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.9;;;;;;
24.03.2017 17:00;05.сен;731.2;771.7;;24;Ветер, дующий с запада;3;;;50%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-13.3;;;;;;
24.03.2017 23:00;-5.2;731.7;773.8;;56;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-12.7;;;;;;
25.03.2017 5:00;-10.0;731.1;774.4;;78;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-13.2;;;;;;
25.03.2017 11:00;-4.2;731.0;773.0;;49;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-13.5;;;;;;
25.03.2017 17:00;05.авг;727.5;767.8;;23;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-13.8;;;;;;
25.03.2017 23:00;-4.5;725.5;767.2;;62;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-10.7;;;;;;
26.03.2017 5:00;-10.9;723.6;766.6;;83;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-13.2;;;;;;
26.03.2017 11:00;0.7;723.4;764.2;;40;Ветер, дующий с юга;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.5;;;;;;
26.03.2017 17:00;06.май;723.8;763.7;;43;Ветер, дующий с запада;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.3;;;;;;
26.03.2017 23:00;01.май;726.3;767.1;;66;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-4.3;;;;;;
27.03.2017 5:00;-4.4;726.4;768.1;;82;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;;-7.0;;;;;;
27.03.2017 11:00;01.янв;726.1;767.0;;61;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.6;;;;;;
27.03.2017 17:00;03.июл;723.4;763.6;;51;Ветер, дующий с востока;2;;;60%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.5;;;;;;
27.03.2017 23:00;-3.8;724.3;765.7;;78;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;;-7.1;;;;;;
28.03.2017 5:00;-8.5;725.5;767.8;;88;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-10.2;;;;;;
28.03.2017 11:00;0.6;727.5;768.5;;53;Ветер, дующий с востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.9;;;;;;
28.03.2017 17:00;05.фев;727.7;768.1;;31;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-10.7;;;;;;
28.03.2017 23:00;-1.6;728.8;770.2;;73;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.8;;;;;;
29.03.2017 5:00;-2.0;729.1;770.6;;83;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-4.6;;;;;;
29.03.2017 11:00;04.мар;729.8;770.7;;59;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-3.2;;;;;;
29.03.2017 17:00;07.сен;728.3;768.3;;43;Ветер, дующий с востоко-юго-востока;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-4.0;;;;;;
29.03.2017 23:00;03.янв;727.6;768.3;;58;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-4.5;;;;;;
30.03.2017 5:00;-2.4;726.2;767.9;;75;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-6.3;;;;;;
30.03.2017 11:00;06.апр;726.0;766.0;;47;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-4.1;;;;;;
30.03.2017 17:00;11.май;724.4;763.6;;33;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, покрывающие все небо.;;-4.4;;;;;;
30.03.2017 23:00;-1.1;723.6;764.6;;79;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;;-4.4;;;;;;
31.03.2017 5:00;-0.4;720.4;761.2;;67;Ветер, дующий с востоко-северо-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.8;;;;;;
