Местное время в Заларях;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
14.11.2017 2:00;-20.6;730.0;775.6;;79;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-23.3;;;;;;
14.11.2017 5:00;-22.1;729.7;775.5;;77;Ветер, дующий с северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-25.0;;;;;;
14.11.2017 8:00;-22.4;729.8;775.6;;79;Штиль, безветрие;0;;;70 – 80%.; ;;;-22.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-25.1;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Менее 0.5
14.11.2017 11:00;-14.7;729.3;773.7;;64;Ветер, дующий с востока;1;;;10%  или менее, но не 0; ;;;-22.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-20.1;;;;;;
14.11.2017 14:00;-11.2;726.8;770.4;;51;Ветер, дующий с востоко-юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-19.5;;;;;;
14.11.2017 17:00;-11.2;726.8;770.4;;51;Ветер, дующий с востоко-юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-19.5;;;;;;
14.11.2017 20:00;-14.1;725.9;769.9;;61;Ветер, дующий с востоко-северо-востока;1;;;10%  или менее, но не 0; ;;;;-9.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-20.1;Осадков нет;12;;;;
14.11.2017 23:00;-17.9;725.0;769.7;;74;Ветер, дующий с северо-северо-востока;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-21.4;;;;;;
15.11.2017 2:00;-20.0;724.2;769.3;;80;Ветер, дующий с северо-северо-востока;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.6;;;;;;
15.11.2017 5:00;-19.7;723.4;768.4;;80;Штиль, безветрие;0;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-22.3;;;;;;
15.11.2017 8:00;-18.0;723.4;768.1;;78;Штиль, безветрие;0;;;70 – 80%.; ;;;-20.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-21.0;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Менее 0.5
15.11.2017 11:00;-15.4;724.0;768.2;;71;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-19.5;;;;;;
15.11.2017 14:00;-10.8;724.2;767.6;;57;Ветер, дующий с северо-запада;1;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-17.7;;;;;;
15.11.2017 17:00;-11.0;725.1;768.6;;73;Ветер, дующий с северо-северо-запада;1;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.9;;;;;;
15.11.2017 20:00;-12.9;726.5;770.5;;78;Ветер, дующий с северо-запада;2;;;20–30%.; ;;;;-9.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-15.9;Осадков нет;12;;;;
15.11.2017 23:00;-14.2;728.2;772.5;;73;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-18.0;;;;;;
16.11.2017 2:00;-14.6;729.4;773.8;;72;Ветер, дующий с западо-северо-запада;4;;;60%.;Ливневый снег или ливневый дождь и снег. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-18.5;;;;;;
16.11.2017 5:00;-15.9;731.4;776.2;;70;Ветер, дующий с западо-северо-запада;3;;;60%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-20.2;;;;;;
16.11.2017 8:00;-18.0;733.0;778.3;;76;Ветер, дующий с запада;2;;;50%.; ;;;-18.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-21.2;Следы осадков;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;Менее 0.5
16.11.2017 11:00;-15.9;735.0;779.9;;66;Ветер, дующий с северо-запада;3;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-20.9;;;;;;
16.11.2017 14:00;-13.7;735.4;780.0;;54;Ветер, дующий с северо-запада;3;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-21.0;;;;;;
16.11.2017 17:00;-14.6;735.8;780.6;;58;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;-21.2;;;;;;
16.11.2017 20:00;-20.1;736.9;782.8;;78;Штиль, безветрие;0;;;Облаков нет.; ;;;;-13.4;;;;;;;-23.0;Осадков нет;12;;;;
16.11.2017 23:00;-23.0;737.8;784.3;;79;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-25.7;;;;;;
17.11.2017 2:00;-24.3;737.5;784.1;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-27.5;;;;;;
17.11.2017 5:00;-24.0;736.5;783.1;;76;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-27.1;;;;;;
17.11.2017 8:00;-22.6;736.0;782.3;;76;Штиль, безветрие;0;;;Облаков нет.; ;;;-25.1;;;;;;;;-25.7;Осадков нет;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;Менее 0.5
17.11.2017 11:00;-18.5;735.5;781.0;;79;Ветер, дующий с востоко-северо-востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-21.3;;;;;;
17.11.2017 14:00;-13.0;734.0;778.4;;66;Ветер, дующий с северо-северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-18.0;;;;;;
17.11.2017 17:00;-13.6;733.2;777.7;;70;Ветер, дующий с северо-северо-запада;1;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-17.9;;;;;;
17.11.2017 20:00;-16.8;732.7;777.7;;79;Штиль, безветрие;0;;;Облаков нет.; ;;;;-12.4;;;;;;;-19.6;Осадков нет;12;;;;
17.11.2017 23:00;-16.8;732.1;777.0;;82;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-19.2;;;;;;
18.11.2017 2:00;-15.9;731.6;776.3;;81;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-18.5;;;;;;
18.11.2017 5:00;-15.7;731.1;775.8;;82;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;;-18.1;;;;;;
18.11.2017 8:00;-15.6;730.3;774.9;;81;Штиль, безветрие;0;;;Облаков нет.; ;;;-17.3;;;;;;;;-18.2;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;Менее 0.5
18.11.2017 11:00;-12.1;730.0;774.0;;74;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-15.8;;;;;;
18.11.2017 14:00;-6.1;728.8;771.6;;56;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-13.6;;;;;;
18.11.2017 17:00;-7.4;728.8;772.0;;62;Ветер, дующий с севера;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-13.6;;;;;;
18.11.2017 20:00;-8.1;728.7;771.9;;69;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;;-5.7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-12.9;Осадков нет;12;;;;
18.11.2017 23:00;-10.4;728.7;772.3;;78;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-13.6;;;;;;
19.11.2017 2:00;-10.9;728.5;772.1;;83;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-13.3;;;;;;
19.11.2017 5:00;-11.9;728.0;771.8;;83;Ветер, дующий с юго-юго-запада;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-14.2;;;;;;
19.11.2017 11:00;-10.6;727.4;770.9;;75;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-14.3;;;;;;
19.11.2017 14:00;-0.8;725.8;767.6;;38;Ветер, дующий с юга;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-13.6;;;;;;
19.11.2017 17:00;-2.1;725.1;767.1;;40;Ветер, дующий с юго-юго-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-13.9;;;;;;
19.11.2017 20:00;-8.6;724.9;768.0;;67;Ветер, дующий с западо-юго-запада;1;;;90  или более, но не 100%; ;;;;0.4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-13.7;Осадков нет;12;;;;
19.11.2017 23:00;-12.2;724.3;768.1;;79;Ветер, дующий с северо-северо-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-15.2;;;;;;
20.11.2017 2:00;-13.5;724.3;768.1;;83;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-15.8;;;;;;
20.11.2017 5:00;-13.4;724.0;767.8;;82;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-15.8;;;;;;
20.11.2017 8:00;-12.1;724.7;768.4;;83;Штиль, безветрие;0;;;100%.; ;;;-14.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-14.4;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;Менее 0.5
20.11.2017 11:00;-8.6;725.0;768.1;;77;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-11.9;;;;;;
20.11.2017 14:00;-1.7;724.6;766.5;;64;Ветер, дующий с запада;2;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-7.6;;;;;;
20.11.2017 17:00;-3.1;725.2;767.3;;59;Ветер, дующий с северо-запада;2;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.1;;;;;;
20.11.2017 20:00;-6.3;726.2;769.0;;65;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;0.0;;;;;;;-11.8;Следы осадков;12;;;;
20.11.2017 23:00;-5.3;726.7;769.3;;58;Ветер, дующий с западо-северо-запада;3;;;Облаков нет.; ;;;;;;;;;;;-12.4;;;;;;
21.11.2017 2:00;-5.9;727.3;770.0;;61;Ветер, дующий с западо-северо-запада;3;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.2;;;;;;
21.11.2017 5:00;-7.1;727.7;770.8;;69;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-11.8;;;;;;
21.11.2017 8:00;-7.7;728.2;771.2;;79;Ветер, дующий с западо-северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-8.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-10.8;Следы осадков;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;Менее 0.5
21.11.2017 14:00;-7.3;729.8;772.9;;59;Ветер, дующий с западо-северо-запада;3;;12;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-14.0;;;;;;
21.11.2017 17:00;-7.8;730.1;773.4;;57;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-15.0;;;;;;
21.11.2017 20:00;-9.3;729.2;769.9;;86;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;-7.3;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-11.2;Следы осадков;12;;;;
21.11.2017 23:00;-9.9;731.2;774.9;;84;Ветер, дующий с западо-юго-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-12.1;;;;;;
22.11.2017 2:00;-9.8;730.2;773.8;;87;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-11.6;;;;;;
22.11.2017 5:00;-9.9;728.8;772.4;;88;Ветер, дующий с востоко-юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-11.6;;;;;;
22.11.2017 11:00;-5.1;726.9;769.5;;87;Ветер, дующий с запада;2;;;100%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-7.0;;;;;;
22.11.2017 14:00;-4.3;725.4;767.8;;84;Ветер, дующий с юго-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-6.7;;;;;;
22.11.2017 17:00;-4.9;725.1;767.5;;90;Ветер, дующий с западо-юго-запада;1;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-6.3;;;;;;
22.11.2017 20:00;-5.6;726.0;768.6;;91;Ветер, дующий с западо-юго-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-4.3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-6.8;2.0;12;;;;
22.11.2017 23:00;-6.1;727.0;769.8;;88;Ветер, дующий с запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;-7.8;;;;;;
23.11.2017 2:00;-5.7;727.9;770.7;;89;Ветер, дующий с западо-северо-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-7.3;;;;;;
23.11.2017 5:00;-6.3;728.4;771.3;;90;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-7.7;;;;;;
23.11.2017 8:00;-7.6;728.6;771.7;;85;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-7.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-9.7;2.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;10.0
23.11.2017 11:00;-6.9;728.8;771.8;;83;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-8.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-9.4;;;;;;
23.11.2017 14:00;-7.3;728.7;771.7;;75;Ветер, дующий с севера;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-11.1;;;;;;
23.11.2017 17:00;-9.4;728.8;772.3;;80;Ветер, дующий с северо-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-12.3;;;;;;
