Местное время в Ангарске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
15.02.2017 17:00;-13.7;735.1;778.4;;70;Ветер, дующий с севера;2;;;Облаков нет.;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;;-18.1;;;;;;
15.02.2017 23:00;-25.4;736.6;782.0;;79;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-28.0;;;;;;
16.02.2017 5:00;-29.9;737.2;783.6;;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-33.1;;;;;;
16.02.2017 11:00;-23.1;737.8;783.0;;71;Ветер, дующий с северо-востока;1;;;20–30%.; ;;;-31.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-26.9;;;;;;
16.02.2017 17:00;-12.4;734.8;777.9;;61;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-18.4;;;;;;
16.02.2017 23:00;-25.4;732.5;777.7;;78;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;-28.1;;;;;;
17.02.2017 5:00;-30.3;730.3;776.3;;72;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-33.7;;;;;;
17.02.2017 11:00;-21.7;729.9;774.2;;75;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-24.9;;;;;;
17.02.2017 17:00;-12.1;726.4;768.9;;55;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;;-19.3;;;;;;
17.02.2017 23:00;-14.7;720.8;763.4;;62;Ветер, дующий с юго-востока;4;;;Облаков нет.; ;;;;;;;;;;;-20.5;;;;;;
18.02.2017 5:00;-15.7;714.1;756.4;;69;Ветер, дующий с востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-20.1;;;;;;
18.02.2017 11:00;-12.2;716.5;758.5;;68;Ветер, дующий с северо-северо-запада;1;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-17.0;;;;;;
18.02.2017 23:00;-12.4;728.9;771.7;;66;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-17.5;;;;;;
19.02.2017 5:00;-21.3;730.9;775.2;;83;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-23.4;;;;;;
19.02.2017 11:00;-15.4;731.7;775.0;;70;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;-26.4;;;;;;;;-19.6;;;;;;
19.02.2017 17:00;-7.3;728.9;770.8;;48;Ветер, дующий с востока;4;;;Облаков нет.; ;;;;;;;;;;;-16.5;;;;;;
19.02.2017 23:00;-15.5;726.3;769.3;;72;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;;-19.4;;;;;;
20.02.2017 5:00;-20.1;723.6;767.3;;83;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-22.3;;;;;;
20.02.2017 11:00;-16.9;726.6;769.9;;73;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%; ;;;-23.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-20.6;;;;;;
20.02.2017 17:00;-5.5;728.8;770.3;;50;Ветер, дующий с северо-северо-запада;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-14.4;;;;;;
20.02.2017 23:00;-19.4;729.7;773.7;;84;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-21.4;;;;;;
21.02.2017 5:00;-25.0;729.5;774.5;;78;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-27.8;;;;;;
21.02.2017 11:00;-15.7;730.1;773.4;;77;Ветер, дующий с севера;2;;;100%.; ;;;-26.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-18.9;;;;;;
21.02.2017 17:00;-6.9;728.8;770.6;;55;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-14.6;;;;;;
21.02.2017 23:00;-17.4;729.7;773.3;;87;Ветер, дующий с западо-юго-запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-19.0;;;;;;
22.02.2017 5:00;-22.3;728.8;773.2;;81;Ветер, дующий с востоко-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-24.7;;;;;;
22.02.2017 11:00;-13.4;728.3;771.2;;70;Ветер, дующий с северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-17.7;;;;;;
22.02.2017 17:00;-1.3;727.0;767.8;;42;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.8;;;;;;
22.02.2017 23:00;-6.4;727.5;769.1;;64;Ветер, дующий с востоко-северо-востока;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;;Высокослоистые просвечивающие.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.2;;;;;;
23.02.2017 5:00;-10.3;728.4;770.7;;78;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высокослоистые просвечивающие.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-13.4;;;;;;
23.02.2017 11:00;-7.2;729.2;771.1;;64;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;;Высокослоистые просвечивающие.;;;-12.9;;;;;;
23.02.2017 17:00;0.9;728.8;769.4;;59;Ветер, дующий с северо-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-6.3;;;;;;
23.02.2017 23:00;-2.2;729.1;770.2;;77;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-5.8;;;;;;
24.02.2017 5:00;0.0;729.4;770.1;;89;Ветер, дующий с западо-северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-1.6;;;;;;
24.02.2017 11:00;0.7;731.2;771.8;;95;Ветер, дующий с западо-юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;0.0;;;;;;
24.02.2017 17:00;03.мар;730.8;771.1;;59;Ветер, дующий с северо-северо-запада;3;;;Облаков нет.; ;;;;;;;;;;;-4.1;;;;;;
24.02.2017 23:00;-6.1;730.6;772.3;;96;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-6.6;;;;;;
25.02.2017 5:00;-8.9;728.6;770.7;;92;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-10.0;;;;;;
25.02.2017 11:00;-7.3;726.8;768.5;;88;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;-12.1;;;;;;;;-8.9;;;;;;
25.02.2017 17:00;02.июл;724.0;763.9;;59;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-4.5;;;;;;
25.02.2017 23:00;-5.6;725.4;766.7;;91;Ветер, дующий с запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-6.9;;;;;;
26.02.2017 5:00;-12.1;725.6;768.1;;91;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-13.3;;;;;;
26.02.2017 11:00;-5.5;726.3;767.7;;72;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;-16.0;;;;;;;;-9.8;;;;;;
26.02.2017 17:00;03.мар;724.6;764.5;;33;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.4;;;;;;
26.02.2017 23:00;-5.4;725.9;767.2;;76;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-9.0;;;;;;
27.02.2017 5:00;-5.4;727.5;768.9;;93;Ветер, дующий с западо-юго-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-6.3;;;;;;
27.02.2017 11:00;-4.1;730.6;772.0;;70;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%;Облака в целом образовывались или развивались. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-8.9;;;;;;
27.02.2017 17:00;-4.8;731.2;772.8;;60;Ветер, дующий с севера;3;;;40%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.5;;;;;;
27.02.2017 23:00;-14.3;733.3;776.6;;89;Ветер, дующий с запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-15.7;;;;;;
28.02.2017 5:00;-22.1;735.1;779.8;;81;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-24.5;;;;;;
28.02.2017 11:00;-14.2;736.4;779.8;;78;Ветер, дующий с востока;1;;;60%.; ;;;-24.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-17.2;;;;;;
28.02.2017 17:00;-5.6;734.2;776.1;;51;Ветер, дующий с востока;2;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.3;;;;;;
28.02.2017 23:00;-7.8;732.4;774.6;;64;Ветер, дующий с востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-13.5;;;;;;
01.03.2017 5:00;-10.0;729.1;771.4;;80;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;;;;;-12.9;;;;;;
01.03.2017 11:00;-6.9;726.2;767.8;;63;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;-12.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.8;;;;;;
01.03.2017 17:00;01.сен;724.2;764.3;;49;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.9;;;;;;
01.03.2017 23:00;-2.4;725.2;766.0;;76;Ветер, дующий с северо-северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-6.1;;;;;;
02.03.2017 5:00;-3.6;724.5;765.4;;95;Ветер, дующий с западо-северо-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-4.3;;;;;;
02.03.2017 17:00;-0.2;722.3;762.6;;70;Ветер, дующий с востоко-северо-востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-5.0;;;;;;
02.03.2017 23:00;-1.8;721.7;762.5;;84;Ветер, дующий с востоко-юго-востока;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-4.1;;;;;;
03.03.2017 5:00;-2.9;722.9;763.6;;96;Ветер, дующий с запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-3.4;;;;;;
03.03.2017 11:00;-1.1;726.2;766.9;;66;Ветер, дующий с северо-северо-запада;4;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-6.7;;;;;;
03.03.2017 23:00;-8.3;730.9;773.0;;77;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;;-11.6;;;;;;
04.03.2017 5:00;-9.7;731.8;774.1;;93;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-10.7;;;;;;
04.03.2017 11:00;-4.9;733.2;774.9;;84;Ветер, дующий с западо-юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-7.2;;;;;;
04.03.2017 17:00;-2.3;733.2;774.4;;67;Ветер, дующий с севера;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-7.7;;;;;;
04.03.2017 23:00;-5.9;733.5;775.3;;85;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-8.1;;;;;;
05.03.2017 5:00;-4.6;732.3;773.8;;88;Ветер, дующий с юго-юго-запада;1;;;; ;;;;;;;;;;;-6.3;;;;;;
05.03.2017 11:00;-1.2;732.2;773.2;;88;Ветер, дующий с западо-северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-2.9;;;;;;
05.03.2017 17:00;0.3;732.3;773.1;;89;Ветер, дующий с северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-1.4;;;;;;
05.03.2017 23:00;-1.9;734.3;775.6;;92;Ветер, дующий с северо-северо-запада;2;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-3.0;;;;;;
06.03.2017 5:00;-3.0;734.9;776.4;;95;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-3.7;;;;;;
06.03.2017 17:00;0.1;735.7;776.8;;63;Ветер, дующий с северо-северо-запада;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;;Высококучевые просвечивающие, расположенные на одном уровне.;;;-6.2;;;;;;
06.03.2017 23:00;-4.7;736.3;778.2;;86;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.7;;;;;;
07.03.2017 5:00;-8.8;736.4;778.9;;82;Ветер, дующий с востока;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-11.3;;;;;;
07.03.2017 11:00;-8.6;736.6;779.1;;68;Ветер, дующий с востоко-северо-востока;2;;;40%.; ;;;-12.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-13.5;;;;;;
07.03.2017 17:00;0.5;733.8;774.7;;58;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-7.0;;;;;;
07.03.2017 23:00;-9.2;732.0;774.3;;91;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-10.4;;;;;;
08.03.2017 5:00;-12.9;728.8;771.5;;89;Ветер, дующий с востоко-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-14.4;;;;;;
08.03.2017 11:00;-7.7;726.9;768.7;;70;Ветер, дующий с востока;3;;;Облаков нет.; ;;;-16.1;;;;;;;;-12.2;;;;;;
08.03.2017 17:00;2.0;724.0;764.2;;51;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-7.2;;;;;;
08.03.2017 23:00;-7.3;723.9;765.4;;78;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-10.5;;;;;;
09.03.2017 5:00;-15.5;723.5;766.4;;89;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-16.9;;;;;;
09.03.2017 11:00;-7.8;723.7;765.3;;67;Ветер, дующий с востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.9;;;;;;
09.03.2017 17:00;01.апр;721.6;761.6;;52;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-7.5;;;;;;
10.03.2017 5:00;-3.6;727.6;768.8;;66;Ветер, дующий с северо-северо-запада;3;;11;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;;;;;-9.2;;;;;;
10.03.2017 17:00;-5.0;732.7;774.4;;41;Ветер, дующий с северо-северо-запада;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16.2;;;;;;
10.03.2017 23:00;-15.9;733.6;777.1;;77;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-19.1;;;;;;
11.03.2017 5:00;-19.2;733.6;777.7;;82;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-21.5;;;;;;
11.03.2017 11:00;-9.5;734.0;776.5;;54;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-17.2;;;;;;
11.03.2017 17:00;02.апр;731.8;772.3;;27;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-14.7;;;;;;
11.03.2017 23:00;-8.1;731.2;773.4;;65;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-13.6;;;;;;
12.03.2017 5:00;-17.3;732.4;776.2;;89;Ветер, дующий с востоко-юго-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-18.7;;;;;;
12.03.2017 11:00;-4.5;734.2;775.9;;48;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-14.0;;;;;;
12.03.2017 17:00;04.июн;732.8;773.1;;21;Ветер, дующий с северо-северо-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16.1;;;;;;
12.03.2017 23:00;-4.5;732.7;774.4;;53;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-12.8;;;;;;
13.03.2017 5:00;-13.8;731.2;774.2;;84;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-16.0;;;;;;
