Местное время в Томпе;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
06.09.2017 20:00;07.янв;716.5;757.9;;80;Ветер, дующий с северо-востока;1;;;100%.; ;;;;12.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;03.авг;Осадков нет;12;;;;
07.09.2017 2:00;4.0;717.5;759.4;;97;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;03.май;;;;;;
07.09.2017 8:00;05.янв;718.8;760.6;;91;Ветер, дующий с северо-северо-востока;2;;;90  или более, но не 100%; ;;;03.янв;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;03.июл;Осадков нет;12;Поверхность почвы влажная.;2.0;;
07.09.2017 14:00;13.май;718.8;759.4;;53;Ветер, дующий с юго-запада;3;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;04.янв;;;;;;
07.09.2017 20:00;07.май;717.9;759.3;;80;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;14.фев;;;;;;50.0;04.мар;Осадков нет;12;;;;
08.09.2017 2:00;03.янв;717.6;759.7;;81;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;0.2;;;;;;
08.09.2017 8:00;05.июл;716.1;757.6;;77;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;2.0;;;;;;;50.0;01.сен;Осадков нет;12;;;;
08.09.2017 14:00;14.июн;714.0;754.1;;40;Ветер, дующий с юго-юго-запада;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;01.фев;;;;;;
08.09.2017 20:00;10.апр;713.1;753.7;;69;Ветер, дующий с северо-северо-востока;1;;;20–30%.; ;;;;15.сен;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;04.сен;Осадков нет;12;;;;
09.09.2017 2:00;09.фев;721.9;755.0;;94;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;08.фев;;;;;;
09.09.2017 8:00;11.янв;715.2;756.0;;86;Ветер, дующий с севера;1;;;100%.; ;;;08.апр;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;08.сен;Осадков нет;12;;;;
09.09.2017 14:00;09.янв;717.2;758.3;;88;Ветер, дующий с западо-юго-запада;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;07.фев;;;;;;
09.09.2017 20:00;08.апр;717.7;758.9;;78;Ветер, дующий с севера;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;12.апр;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;04.авг;10.0;12;;;;
10.09.2017 2:00;06.апр;717.9;759.5;;85;Ветер, дующий с северо-северо-востока;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;04.янв;;;;;;
10.09.2017 8:00;05.фев;718.6;760.3;;81;Ветер, дующий с северо-востока;1;;;100%.; ;;;04.мар;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;02.фев;2.0;12;;;;
10.09.2017 14:00;11.апр;719.2;760.1;;56;Ветер, дующий с северо-востока;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;02.сен;;;;;;
10.09.2017 20:00;06.сен;720.9;762.6;;71;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;13.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;2.0;Осадков нет;12;;;;
11.09.2017 2:00;6.0;722.4;764.2;;93;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;04.сен;;;;;;
11.09.2017 8:00;03.сен;723.7;766.1;;64;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;-0.3;;;;;;;50.0;-2.3;Осадков нет;12;Поверхность почвы замерзшая.;1.0;;
11.09.2017 14:00;12.мар;723.5;764.5;;42;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-0.4;;;;;;
11.09.2017 20:00;06.янв;724.0;766.0;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;13.мар;;;;;;;01.сен;Осадков нет;12;;;;
12.09.2017 2:00;03.май;724.3;766.7;;75;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;;-0.6;;;;;;
12.09.2017 8:00;04.авг;724.0;766.2;;65;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;01.июн;;;;;;;50.0;-1.2;Осадков нет;12;Поверхность почвы влажная.;-1.0;;
12.09.2017 14:00;14.фев;722.0;762.7;;45;Ветер, дующий с юго-юго-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;02.фев;;;;;;
12.09.2017 20:00;08.фев;721.3;762.8;;86;Ветер, дующий с севера;1;;;20–30%.; ;;;;15.авг;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;6.0;Осадков нет;12;;;;
13.09.2017 2:00;05.май;721.3;763.3;;86;Ветер, дующий с севера;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;03.мар;;;;;;
13.09.2017 8:00;08.янв;721.1;762.3;;78;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;03.апр;;;;;;;50.0;04.май;Осадков нет;12;Поверхность почвы влажная.;3.0;;
13.09.2017 14:00;18.апр;718.9;758.8;;43;Ветер, дующий с северо-северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;05.май;;;;;;
13.09.2017 20:00;11.авг;717.1;757.7;;85;Ветер, дующий с северо-востока;2;;;100%.; ;;;;19.янв;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;09.апр;Осадков нет;12;;;;
14.09.2017 2:00;09.июн;717.0;757.9;;95;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;;08.авг;;;;;;
14.09.2017 8:00;10.июн;721.3;762.4;;97;Ветер, дующий с северо-востока;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;07.авг;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;10.фев;2.0;12;;;;
14.09.2017 14:00;13.авг;722.9;763.6;;84;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;11.янв;;;;;;
14.09.2017 20:00;10.0;723.4;764.8;;90;Ветер, дующий с северо-востока;1;;;90  или более, но не 100%; ;;;;16.апр;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высокослоистые просвечивающие.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;08.апр;0.3;12;;;;
15.09.2017 2:00;05.июл;723.9;766.0;;88;Ветер, дующий с севера;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;03.авг;;;;;;
15.09.2017 8:00;04.мар;724.3;766.6;;97;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;3.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;03.авг;Осадков нет;12;Поверхность почвы влажная.;4.0;;
15.09.2017 14:00;14.май;722.3;763.0;;43;Ветер, дующий с юго-юго-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;2.0;;;;;;
15.09.2017 20:00;07.янв;722.2;764.2;;73;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;15.фев;;;;;;;02.май;Осадков нет;12;;;;
16.09.2017 2:00;07.фев;720.1;761.8;;62;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;;0.4;;;;;;
16.09.2017 8:00;09.авг;718.3;759.1;;74;Ветер, дующий с юго-юго-запада;6;;;100%.; ;;;4.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;05.апр;Осадков нет;12;;;;
16.09.2017 14:00;11.фев;717.8;758.6;;77;Ветер, дующий с юго-юго-запада;8;12;16;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;07.фев;;;;;;
16.09.2017 20:00;11.май;716.8;765.4;;85;Ветер, дующий с юго-юго-запада;6;;;100%.; ;;;;13.мар;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;09.янв;Осадков нет;12;;;;
17.09.2017 2:00;08.фев;713.9;754.9;;92;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;06.сен;;;;;;
17.09.2017 8:00;12.апр;712.9;753.2;;77;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;7.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;50.0;08.апр;Осадков нет;12;;;;
17.09.2017 14:00;12.июл;712.3;752.6;;81;Ветер, дующий с юга;5;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;09.апр;;;;;;
17.09.2017 20:00;11.фев;712.7;753.1;;84;Ветер, дующий с востока;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;08.июн;0.6;12;;;;
18.09.2017 2:00;5.0;714.1;754.6;;99;Ветер, дующий с юго-запада;5;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;04.авг;;;;;;
18.09.2017 8:00;8.0;717.6;758.9;;61;Ветер, дующий с севера;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;5.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;0.8;0.4;12;Поверхность почвы влажная.;4.0;;
18.09.2017 14:00;11.авг;719.8;760.7;;46;Ветер, дующий с востока;1;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;0.5;;;;;;
18.09.2017 20:00;7.0;720.4;762.1;;74;Ветер, дующий с востоко-северо-востока;1;;;10%  или менее, но не 0; ;;;;13.0;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;02.июл;Осадков нет;12;;;;
19.09.2017 2:00;06.май;719.4;761.1;;76;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;02.июн;;;;;;
19.09.2017 8:00;06.июн;718.0;759.5;;75;Ветер, дующий с северо-северо-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;02.май;Осадков нет;12;;;;
19.09.2017 14:00;09.июн;717.3;758.3;;72;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;04.июл;;;;;;
19.09.2017 20:00;06.апр;716.1;757.6;;91;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;;12.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;5.0;Осадков нет;12;;;;
20.09.2017 2:00;05.мар;714.6;756.1;;97;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;04.авг;;;;;;
20.09.2017 8:00;8.0;713.7;754.8;;99;Ветер, дующий с северо-востока;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;05.фев;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;07.авг;4.0;12;Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).;4.0;;
20.09.2017 14:00;10.июл;712.0;752.5;;94;Ветер, дующий с севера;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;09.июл;;;;;;
20.09.2017 20:00;09.янв;712.3;753.1;;100;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;11.янв;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;09.янв;6.0;12;;;;
21.09.2017 2:00;08.май;712.7;753.7;;100;Ветер, дующий с севера;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;08.май;;;;;;
21.09.2017 8:00;07.авг;712.9;753.9;;97;Ветер, дующий с севера;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;07.мар;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;07.апр;3.0;12;;;;
21.09.2017 14:00;10.авг;712.5;753.1;;56;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;02.апр;;;;;;
21.09.2017 20:00;08.июн;712.5;753.4;;54;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;11.янв;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-0.3;Осадков нет;12;;;;
22.09.2017 2:00;05.авг;711.7;753.0;;75;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;;01.июн;;;;;;
22.09.2017 8:00;0.9;710.6;752.6;;94;Ветер, дующий с севера;2;;;20–30%.; ;;;-0.2;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;0.1;Осадков нет;12;;;;
22.09.2017 14:00;08.сен;709.3;750.1;;47;Ветер, дующий с западо-юго-запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-1.9;;;;;;
22.09.2017 20:00;14.июн;710.4;751.8;;43;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%; ;;;;14.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;02.янв;Осадков нет;12;;;;
23.09.2017 2:00;03.авг;710.8;752.5;;82;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;0.9;;;;;;
23.09.2017 8:00;01.авг;712.9;754.9;;78;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;-0.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-1.6;Осадков нет;12;;;;
23.09.2017 14:00;08.май;714.4;755.5;;38;Ветер, дующий с юго-юго-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-5.2;;;;;;
23.09.2017 20:00;06.апр;717.1;758.7;;55;Ветер, дующий с востока;1;;;90  или более, но не 100%; ;;;;10.авг;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-2.0;Осадков нет;12;;;;
24.09.2017 2:00;0.4;725.6;760.6;;81;Ветер, дующий с северо-северо-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-2.6;;;;;;
24.09.2017 8:00;01.фев;718.3;760.8;;70;Ветер, дующий с северо-востока;2;;;20–30%.; ;;;-1.2;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-3.7;Осадков нет;12;;;;
24.09.2017 14:00;09.мар;716.2;757.3;;37;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-4.7;;;;;;
24.09.2017 20:00;04.июн;713.5;755.2;;74;Ветер, дующий с востока;1;;;100%.; ;;;;10.сен;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;0.4;Осадков нет;12;;;;
25.09.2017 2:00;03.мар;710.9;752.6;;65;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-2.7;;;;;;
25.09.2017 8:00;03.апр;711.0;752.7;;95;Ветер, дующий с севера;1;;;100%.;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;02.апр;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;02.июл;3.0;12;;;;
25.09.2017 14:00;04.июн;730.0;756.7;;53;Ветер, дующий с севера;2;;;100%.;Облака в целом образовывались или развивались. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-4.2;;;;;;
25.09.2017 20:00;02.апр;719.3;761.6;;60;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;07.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-4.6;0.3;12;;;;
26.09.2017 2:00;-1.0;720.1;763.0;;77;Ветер, дующий с северо-северо-востока;1;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-4.5;;;;;;
