Местное время в Максимово;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.10.2018 8:00;0.7;732.5;765.4;;92;Штиль, безветрие;0;;;100%.; ;;;0.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;50.0;-0.4;Осадков нет;12;;;;
03.10.2018 8:00;03.июл;726.1;758.2;;95;Ветер, дующий с севера;2;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;03.июл;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;3.0;2.0;12;;;;
03.10.2018 20:00;04.мар;731.8;764.2;;46;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высокослоистые просвечивающие.;Перисто-слоистые, покрывающие все небо.;;-6.3;2.0;12;;;;
04.10.2018 8:00;-4.2;736.6;770.4;;94;;;;;; ;;;-4.6;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-5.1;Осадков нет;12;;;;
04.10.2018 20:00;-0.9;737.9;771.4;;71;;;;;; ;;;;06.май;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.5;Осадков нет;12;;;;
05.10.2018 8:00;-2.2;;773.0;;88;;;;;; ;;;-4.4;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-3.9;Осадков нет;12;;;;
06.10.2018 8:00;-0.4;738.6;771.9;;86;;;;;; ;;;-0.8;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высокослоистые просвечивающие.;Перисто-слоистые, покрывающие все небо.;50.0;-2.5;Осадков нет;12;;;;
06.10.2018 20:00;0.4;739.6;772.9;;89;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-1.3;Осадков нет;12;;;;
07.10.2018 8:00;-3.8;742.2;776.1;;;;;;;;Туман или ледяной туман, неба не видно, ослабел за последний час. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-6.4;;;;;;;0.5;;Осадков нет;12;;;;
07.10.2018 20:00;0.9;741.4;774.7;;68;;;;;; ;;;;07.июн;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-4.4;Осадков нет;12;;;;
08.10.2018 8:00;-7.0;741.4;775.8;;96;;;;;; ;;;-7.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-7.5;Осадков нет;12;;;;
09.10.2018 8:00;-5.4;738.7;772.7;;95;;;;;; ;;;-6.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-6.1;Осадков нет;12;;;;
10.10.2018 8:00;-5.8;736.0;769.9;;95;;;;;; ;;;-6.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;50.0;-6.5;Осадков нет;12;;;;
10.10.2018 20:00;04.янв;729.8;762.2;;77;;;;;; ;;;;12.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;0.4;Осадков нет;12;;;;
11.10.2018 8:00;-2.8;729.1;762.3;;98;;;;;; ;;;-3.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-3.1;Осадков нет;12;;;;
11.10.2018 20:00;04.мар;731.3;763.7;;76;;;;;;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;10.сен;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;0.4;2.0;12;;;;
13.10.2018 8:00;-9.1;736.4;770.8;;98;;;;;; ;;;-9.2;;;;2500 или более, или облаков нет.;;;50.0;-9.4;Осадков нет;12;;;;
13.10.2018 20:00;-1.1;733.9;767.2;;75;;;;;; ;;;;10.фев;;;2500 или более, или облаков нет.;;;;-5.0;Осадков нет;12;;;;
14.10.2018 8:00;-9.2;733.5;767.8;;98;;;;;; ;;;-9.5;;;;2500 или более, или облаков нет.;;;50.0;-9.5;Осадков нет;12;;;;
14.10.2018 20:00;-1.5;733.7;766.9;;81;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-4.4;Осадков нет;12;;;;
15.10.2018 8:00;-8.7;734.6;768.8;;98;;;;;; ;;;-9.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-9.0;Осадков нет;12;;;;
15.10.2018 20:00;-0.9;734.6;767.8;;88;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-2.7;Осадков нет;12;;;;
16.10.2018 8:00;-4.4;738.4;772.3;;96;;;;;; ;;;-6.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-5.0;Осадков нет;12;;;;
16.10.2018 20:00;-2.9;736.0;769.6;;96;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-3.5;Осадков нет;12;;;;
17.10.2018 8:00;-6.9;731.6;765.5;;;;;;;;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;-7.7;;;;2500 или более, или облаков нет.;;;4.0;;Осадков нет;12;;;;
17.10.2018 20:00;-0.8;734.5;767.6;;90;;;;;; ;;;;06.фев;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";;-2.3;Осадков нет;12;;;;
18.10.2018 8:00;-3.2;735.1;768.7;;100;;;;;;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.7;;;;;;;0.5;-3.2;Осадков нет;12;;;;
18.10.2018 20:00;02.янв;732.6;765.3;;80;;;;;; ;;;;07.мар;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-слоистые, покрывающие все небо.;;-1.0;Осадков нет;12;;;;
19.10.2018 8:00;0.0;734.2;767.2;;92;;;;;; ;;;-0.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;50.0;-1.2;Осадков нет;12;;;;
19.10.2018 20:00;-1.5;733.1;766.0;;83;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;Перисто-слоистые, покрывающие все небо.;;-4.1;Осадков нет;12;;;;
20.10.2018 8:00;-6.8;731.6;765.4;;96;;;;;; ;;;-6.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-7.3;Осадков нет;12;;;;
21.10.2018 8:00;-2.0;731.8;765.1;;80;;;;;; ;;;-2.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-5.0;Осадков нет;12;;;;
21.10.2018 20:00;-3.6;734.1;767.5;;76;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.2;Следы осадков;12;;;;
22.10.2018 8:00;-8.0;731.3;765.4;;96;;;;;; ;;;-8.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-8.6;Осадков нет;12;;;;
22.10.2018 20:00;0.7;726.7;759.4;;46;;;;;; ;;;;03.май;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-9.8;Осадков нет;12;;;;
23.10.2018 8:00;-1.0;724.3;757.1;;96;;;;;;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-1.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20.0;-1.6;2.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;3.0
23.10.2018 20:00;0.5;726.9;759.6;;96;;;;;;Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;03.мар;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-0.1;1.0;12;;;;
24.10.2018 8:00;-1.1;730.8;763.9;;82;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-2.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-3.9;0.3;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;2.0
24.10.2018 20:00;-4.1;733.8;767.4;;89;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;0.7;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-5.6;0.8;12;;;;
25.10.2018 8:00;-4.9;735.2;769.0;;93;;;;;;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, покрывающие все небо.;50.0;-5.9;1.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;9.0
25.10.2018 20:00;-1.9;735.1;768.4;;89;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-0.5;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-3.5;0.3;12;;;;
26.10.2018 8:00;-0.7;731.0;764.0;;96;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-2.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-1.3;3.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;5.0
26.10.2018 20:00;01.мар;733.6;766.4;;92;;;;;;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;01.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;0.2;3.0;12;;;;
27.10.2018 8:00;0.6;733.7;766.7;;96;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;0.1;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;0.0;1.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;4.0
28.10.2018 8:00;-6.0;735.2;769.1;;94;;;;;; ;;;-6.1;;;;2500 или более, или облаков нет.;;;50.0;-6.8;Осадков нет;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;2.0
28.10.2018 20:00;-2.4;719.8;768.3;;93;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-3.4;Осадков нет;12;;;;
29.10.2018 8:00;-9.7;731.8;766.0;;91;;;;;; ;;;-9.8;;;;2500 или более, или облаков нет.;;;50.0;-10.9;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;Снежный покров не постоянный.
29.10.2018 20:00;-2.1;734.2;767.5;;91;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-3.4;Осадков нет;12;;;;
30.10.2018 8:00;-3.3;737.6;771.3;;95;;;;;; ;;;-4.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-слоистые, покрывающие все небо.;50.0;-4.0;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;Снежный покров не постоянный.
31.10.2018 8:00;-7.3;729.9;763.7;;93;;;;;; ;;;-9.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-слоистые, покрывающие все небо.;50.0;-8.2;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
31.10.2018 20:00;02.июл;729.0;761.5;;47;;;;;; ;;;;06.фев;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.5;Осадков нет;12;;;;
01.11.2018 8:00;-1.6;730.7;763.8;;54;;;;;; ;;;-3.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-9.8;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
01.11.2018 20:00;-4.8;735.1;768.9;;41;;;;;; ;;;;-1.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16.1;Осадков нет;12;;;;
02.11.2018 8:00;-9.6;739.3;773.8;;69;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-9.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.2;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;Менее 0.5
02.11.2018 20:00;-14.5;741.7;777.1;;90;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-8.1;Слоисто-кучевые, образовавшиеся из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-15.8;0.3;12;;;;
04.11.2018 8:00;-5.2;730.3;763.9;;83;;;;;;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высокослоистые просвечивающие.;Перисто-слоистые, покрывающие все небо.;50.0;-7.7;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;Менее 0.5
04.11.2018 20:00;-5.2;732.2;765.9;;68;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Метель;;0.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-10.2;2.0;12;;;;
05.11.2018 20:00;-13.1;734.7;769.6;;85;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-7.9;Слоисто-кучевые, образовавшиеся из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-15.1;0.4;12;;;;
06.11.2018 8:00;-11.5;728.4;762.7;;90;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-16.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;4.0;-12.8;2.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;6.0
06.11.2018 20:00;-9.1;726.1;760.0;;88;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-6.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-10.7;5.0;12;;;;
07.11.2018 8:00;-24.4;734.8;771.2;;85;;;;;;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-24.5;;;;2500 или более, или облаков нет.;;;50.0;-26.2;2.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;11.0
07.11.2018 20:00;-22.5;732.1;768.1;;90;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-23.7;Осадков нет;12;;;;
08.11.2018 8:00;-12.2;725.3;759.5;;90;;;;;;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-23.7;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-13.5;0.4;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;11.0
08.11.2018 20:00;-3.1;725.0;758.1;;90;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-2.5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-4.5;0.5;12;;;;
09.11.2018 8:00;-8.1;724.9;758.5;;96;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-8.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;20.0;-8.7;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;11.0
09.11.2018 20:00;-1.7;722.3;755.1;;83;Ветер, дующий с юга;1;;;100%.; ;;;;01.июл;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-4.3;Осадков нет;12;;;;
10.11.2018 8:00;-0.4;728.2;761.1;;62;Ветер, дующий с юго-юго-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-2.1;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6.9;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;10.0
10.11.2018 20:00;-9.4;735.1;769.4;;54;Штиль, безветрие;0;;;100%.; ;;;;-0.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, покрывающие все небо.;;-17.0;Осадков нет;12;;;;
11.11.2018 8:00;-13.8;736.9;772.0;;85;Ветер, дующий с северо-северо-востока;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-13.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10.0;-15.8;2.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;12.0
11.11.2018 20:00;-13.3;735.2;770.1;;80;Ветер, дующий с северо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-16.0;0.2;12;;;;
