"Местное время в Хадаме";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.07.2020 20:00";"17.0";"694.0";"753.1";"";"99";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"16.8";"23.0";"12";"";"";"";"";
"14.07.2020 08:00";"15.8";"694.7";"754.2";"";"99";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"15.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"15.6";"8.0";"12";"Поверхность почвы влажная.";"17.0";"";"";
"13.07.2020 20:00";"24.8";"694.6";"752.2";"";"52";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"26.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"14.4";"Осадков нет";"12";"";"";"";"";
"13.07.2020 08:00";"14.9";"696.4";"756.1";"";"99";"Ветер, дующий с севера";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"14.7";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"14.7";"0.3";"12";"Поверхность почвы влажная.";"15.0";"";"";
"12.07.2020 20:00";"19.6";"697.0";"755.9";"";"62";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"21.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"12.1";"Осадков нет";"12";"";"";"";"";
"12.07.2020 08:00";"14.4";"697.2";"757.3";"";"96";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"13.6";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"13.7";"Осадков нет";"12";"Поверхность почвы влажная.";"14.0";"";"";
"11.07.2020 20:00";"15.8";"695.1";"754.6";"";"87";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"19.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"13.7";"Осадков нет";"12";"";"";"";"";
"11.07.2020 08:00";"11.8";"691.3";"751.5";"";"99";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"11.8";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"11.6";"Осадков нет";"12";"Поверхность почвы влажная.";"11.0";"";"";
"10.07.2020 20:00";"24.6";"687.4";"744.6";"";"52";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"27.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"14.2";"Осадков нет";"12";"";"";"";"";
"10.07.2020 08:00";"13.5";"691.3";"751.0";"";"99";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"13.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"13.3";"Осадков нет";"12";"Поверхность почвы влажная.";"14.0";"";"";
"09.07.2020 20:00";"21.2";"691.1";"749.2";"";"53";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"26.2";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"Небо не видно из-за тумана и/или других метеорологических явлений.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"50.0";"11.1";"Осадков нет";"12";"";"";"";"";
"09.07.2020 08:00";"10.9";"695.7";"756.4";"";"99";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"10.7";"";"";"";"";"";"";"0.5";"10.7";"Осадков нет";"12";"Поверхность почвы влажная.";"10.0";"";"";
"08.07.2020 20:00";"18.2";"696.1";"755.1";"";"82";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"18.2";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"15.0";"3.0";"12";"";"";"";"";
"08.07.2020 08:00";"14.5";"695.7";"755.5";"";"99";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"14.2";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"14.3";"4.0";"12";"Поверхность почвы влажная.";"14.0";"";"";
"07.07.2020 20:00";"17.8";"692.8";"751.6";"";"99";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"22.1";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"17.6";"4.0";"12";"";"";"";"";
"07.07.2020 08:00";"12.9";"693.2";"753.2";"";"99";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"12.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"20.0";"12.7";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"11.0";"";"";
"06.07.2020 20:00";"23.0";"691.1";"748.7";"";"71";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"25.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"17.5";"Осадков нет";"12";"";"";"";"";
"06.07.2020 08:00";"14.9";"694.2";"753.8";"";"99";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"14.1";"";"";"";"";"";"";"0.5";"14.7";"3.0";"12";"Поверхность почвы влажная.";"14.0";"";"";
"05.07.2020 20:00";"17.8";"694.1";"753.0";"";"98";"Ветер, дующий с севера";"2";"";"";"100%.";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"17.5";"14.0";"12";"";"";"";"";
"05.07.2020 08:00";"14.8";"695.5";"755.2";"";"99";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"14.8";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"14.6";"7.0";"12";"Поверхность почвы влажная.";"13.0";"";"";
"04.07.2020 20:00";"19.5";"693.2";"751.6";"";"91";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"29.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"17.9";"Следы осадков";"12";"";"";"";"";
"04.07.2020 08:00";"13.9";"696.1";"756.1";"";"94";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"13.2";"";"";"";"";"";"";"50.0";"13.0";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"14.0";"";"";
"03.07.2020 20:00";"27.8";"693.9";"750.9";"";"41";"Ветер, дующий с севера";"1";"";"";"40%.";" ";"";"";"";"27.8";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"13.3";"Осадков нет";"12";"";"";"";"";
"03.07.2020 08:00";"12.1";"696.9";"757.4";"";"99";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"12.1";"";"";"";"";"";"";"50.0";"11.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"11.0";"";"";
"02.07.2020 20:00";"29.0";"695.1";"751.9";"";"44";"Ветер, дующий с северо-северо-востока";"1";"";"";"60%.";" ";"";"";"";"31.6";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"15.4";"Осадков нет";"12";"";"";"";"";
"02.07.2020 08:00";"10.7";"698.4";"759.4";"";"99";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"10.2";"";"";"";"";"";"";"50.0";"10.5";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"12.0";"";"";
"01.07.2020 20:00";"28.0";"698.0";"755.3";"";"41";"Ветер, дующий с северо-северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"30.0";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"13.5";"Осадков нет";"12";"";"";"";"";
"01.07.2020 08:00";"12.5";"700.2";"760.9";"";"99";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"12.5";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.3";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"10.0";"";"";
"30.06.2020 20:00";"26.0";"698.5";"756.2";"";"24";"Ветер, дующий с северо-северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"29.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"4.1";"Осадков нет";"12";"";"";"";"";
"30.06.2020 08:00";"14.0";"700.1";"760.4";"";"99";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"13.6";"";"";"";"";"";"";"0.5";"13.8";"Осадков нет";"12";"Поверхность почвы влажная.";"14.0";"";"";
"29.06.2020 20:00";"21.6";"698.8";"757.6";"";"51";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"25.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"10.9";"Осадков нет";"12";"";"";"";"";
"29.06.2020 08:00";"13.9";"699.7";"760.0";"";"99";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"13.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"13.7";"4.0";"12";"Поверхность почвы влажная.";"13.0";"";"";
"28.06.2020 20:00";"18.2";"695.9";"754.9";"";"99";"Ветер, дующий с юго-юго-востока";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"20.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"18.0";"4.0";"12";"";"";"";"";
"28.06.2020 08:00";"13.5";"692.8";"752.7";"";"99";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"12.7";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"13.3";"Следы осадков";"12";"Поверхность почвы влажная.";"13.0";"";"";
"27.06.2020 20:00";"18.8";"691.0";"749.4";"";"84";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";"Гроза (с осадками или без них). ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"21.3";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"16.1";"0.4";"12";"";"";"";"";
"27.06.2020 08:00";"10.4";"692.7";"753.3";"";"99";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"10.1";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"10.2";"Осадков нет";"12";"Поверхность почвы влажная.";"11.0";"";"";
"26.06.2020 20:00";"21.2";"694.7";"753.0";"";"73";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Гроза (с осадками или без них). ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"25.8";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"16.2";"Осадков нет";"12";"";"";"";"";
"26.06.2020 08:00";"12.7";"697.0";"757.3";"";"99";"Ветер, дующий с юго-юго-востока";"1";"";"";"40%.";" ";"";"";"12.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"12.5";"Осадков нет";"12";"Поверхность почвы влажная.";"12.0";"";"";
"25.06.2020 20:00";"21.2";"688.9";"746.8";"";"53";"Ветер, дующий с юго-юго-востока";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"29.2";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"11.1";"Осадков нет";"12";"";"";"";"";
"25.06.2020 08:00";"9.1";"695.2";"756.3";"";"99";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"9.1";"";"";"";"";"";"";"50.0";"8.9";"Осадков нет";"12";"Поверхность почвы влажная.";"9.0";"";"";
"24.06.2020 20:00";"24.7";"693.8";"751.5";"";"34";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"27.6";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"7.8";"Осадков нет";"12";"";"";"";"";
"24.06.2020 08:00";"11.3";"697.6";"758.4";"";"99";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"10.6";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"4.0";"11.1";"8.0";"12";"Поверхность почвы влажная.";"11.0";"";"";
"23.06.2020 20:00";"18.2";"695.8";"754.9";"";"82";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"22.4";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"15.0";"Осадков нет";"12";"";"";"";"";
"23.06.2020 08:00";"12.1";"697.3";"757.9";"";"99";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"12.1";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"11.9";"17.0";"12";"Поверхность почвы влажная.";"12.0";"";"";
"22.06.2020 20:00";"17.9";"695.7";"754.9";"";"52";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Гроза, но без осадков, в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"25.2";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"7.9";"Осадков нет";"12";"";"";"";"";
"22.06.2020 08:00";"12.7";"695.6";"755.9";"";"92";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"12.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"11.4";"Осадков нет";"12";"Поверхность почвы влажная.";"12.0";"";"";
"21.06.2020 20:00";"23.2";"694.2";"752.2";"";"46";"Ветер, дующий с северо-северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"25.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"10.8";"Осадков нет";"12";"";"";"";"";
"21.06.2020 08:00";"8.0";"695.8";"757.3";"";"99";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"8.0";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"7.8";"Осадков нет";"12";"Поверхность почвы влажная.";"7.0";"";"";
"20.06.2020 20:00";"21.2";"694.1";"752.5";"";"46";"Ветер, дующий с северо-северо-востока";"1";"";"";"40%.";" ";"";"";"";"25.2";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"9.0";"Осадков нет";"12";"";"";"";"";
"20.06.2020 08:00";"10.9";"697.5";"758.4";"";"99";"Ветер, дующий с востока";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"10.5";"";"";"";"";"";"";"0.5";"10.7";"4.0";"12";"Поверхность почвы влажная.";"11.0";"";"";
"19.06.2020 20:00";"14.8";"694.5";"754.1";"";"99";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"18.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"14.6";"13.0";"12";"";"";"";"";
"19.06.2020 08:00";"10.3";"691.3";"751.8";"";"99";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"10.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"10.1";"0.6";"12";"Поверхность почвы влажная.";"10.0";"";"";
"18.06.2020 20:00";"24.0";"690.6";"748.2";"";"44";"Ветер, дующий с севера";"1";"";"";"70 – 80%.";" ";"";"";"";"26.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"11.0";"Осадков нет";"12";"";"";"";"";
"18.06.2020 08:00";"4.9";"696.3";"758.5";"";"100";"Ветер, дующий с востока";"1";"";"";"60%.";" ";"";"";"4.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"60%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"4.9";"Осадков нет";"12";"Поверхность почвы влажная.";"5.0";"";"";
"17.06.2020 20:00";"18.0";"696.7";"756.1";"";"47";"Ветер, дующий с северо-северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"20.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"6.3";"Осадков нет";"12";"";"";"";"";
"17.06.2020 08:00";"7.1";"700.3";"762.4";"";"99";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.8";"";"";"";"";"";"";"0.5";"6.9";"Осадков нет";"12";"Поверхность почвы влажная.";"8.0";"";"";
