"Местное время в Заярске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.10.2017 02:00";"-3.1";"725.0";"";"";"66";"Ветер, дующий с запада";"5";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.10.2017 20:00";"-3.0";"724.0";"";"";"73";"Ветер, дующий с запада";"4";"";"";"60%.";" ";"";"";"";"-1.3";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"26.10.2017 14:00";"-2.7";"722.0";"";"";"78";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"26.10.2017 08:00";"-2.4";"721.0";"";"";"96";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"-2.5";"";"";"";"";"";"";"20.0";"";"6.0";"12";"";"";"";"";
"26.10.2017 02:00";"0.2";"720.0";"";"";"96";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.10.2017 20:00";"1.4";"720.0";"";"";"74";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"5.2";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"25.10.2017 14:00";"3.9";"722.0";"";"";"59";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"25.10.2017 08:00";"-1.0";"723.0";"";"";"73";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"-1.5";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"25.10.2017 02:00";"-0.3";"724.0";"";"";"74";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.10.2017 20:00";"-1.4";"727.0";"";"";"74";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"2.0";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"24.10.2017 14:00";"0.2";"729.0";"";"";"57";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"24.10.2017 08:00";"-1.7";"730.0";"";"";"63";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"-1.9";"";"";"";"";"";"";"50.0";"";"Следы осадков";"12";"";"";"";"";
"24.10.2017 02:00";"-1.3";"730.0";"";"";"64";"Ветер, дующий с запада";"4";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.10.2017 20:00";"0.7";"727.0";"";"";"63";"Ветер, дующий с северо-запада";"5";"";"";"20–30%.";"Состояние неба в общем не изменилось. ";"";"";"";"7.1";"";"";"";"";"";"";"";"0.7";"12";"";"";"";"";
"23.10.2017 14:00";"2.7";"723.0";"";"";"77";"Ветер, дующий с запада";"6";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"23.10.2017 08:00";"3.7";"719.0";"";"";"85";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"3.0";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"23.10.2017 02:00";"4.7";"719.0";"";"";"73";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.10.2017 20:00";"4.5";"721.0";"";"";"82";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"8.0";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"22.10.2017 14:00";"7.1";"722.0";"";"";"74";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"22.10.2017 08:00";"4.5";"722.0";"";"";"77";"Ветер, дующий с юга";"1";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"";"";"";"";"";"";"";"";"";"50.0";"";"Следы осадков";"12";"";"";"";"";
"22.10.2017 02:00";"4.0";"722.0";"";"";"82";"Ветер, дующий с юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.10.2017 20:00";"4.4";"724.0";"";"";"76";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"7.4";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"21.10.2017 14:00";"5.0";"725.0";"";"";"69";"Ветер, дующий с юга";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"21.10.2017 08:00";"-0.2";"725.0";"";"";"65";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"-3.4";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"21.10.2017 02:00";"-2.5";"725.0";"";"";"67";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.10.2017 20:00";"0.4";"726.0";"";"";"59";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"7.9";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"20.10.2017 14:00";"2.8";"728.0";"";"";"54";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"20.10.2017 08:00";"-6.4";"729.0";"";"";"70";"Ветер, дующий с востока";"2";"";"";"60%.";" ";"";"";"-6.5";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"20.10.2017 02:00";"-3.9";"730.0";"";"";"55";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.10.2017 20:00";"-1.5";"729.0";"";"";"51";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"3.4";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"19.10.2017 14:00";"1.8";"727.0";"";"";"55";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"19.10.2017 08:00";"-3.7";"726.0";"";"";"83";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"-3.7";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"19.10.2017 02:00";"-1.4";"726.0";"";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.10.2017 20:00";"-0.6";"727.0";"";"";"72";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"0.6";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"18.10.2017 14:00";"-0.2";"729.0";"";"";"68";"Ветер, дующий с севера";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"18.10.2017 08:00";"-0.9";"729.0";"";"";"81";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"-1.0";"";"";"";"";"";"";"50.0";"";"Следы осадков";"12";"";"";"";"";
"18.10.2017 02:00";"0.2";"728.0";"";"";"88";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.10.2017 20:00";"2.8";"727.0";"";"";"82";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"5.3";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"17.10.2017 14:00";"4.7";"724.0";"";"";"90";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"17.10.2017 08:00";"2.1";"723.0";"";"";"85";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"";"";"2.0";"";"";"";"";"";"";"50.0";"";"2.0";"12";"";"";"";"";
"17.10.2017 02:00";"3.7";"724.0";"";"";"65";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.10.2017 20:00";"2.7";"725.0";"";"";"71";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"4.5";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"16.10.2017 14:00";"2.7";"726.0";"";"";"55";"Ветер, дующий с юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"16.10.2017 08:00";"-5.7";"728.0";"";"";"82";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"-6.1";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"16.10.2017 02:00";"-5.4";"730.0";"";"";"83";"Ветер, дующий с востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.10.2017 20:00";"-4.3";"731.0";"";"";"77";"Ветер, дующий с востока";"3";"";"";"60%.";" ";"";"";"";"-2.5";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"15.10.2017 14:00";"-3.3";"733.0";"";"";"66";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"15.10.2017 08:00";"-5.0";"733.0";"";"";"71";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"-5.4";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"15.10.2017 02:00";"-3.8";"732.0";"";"";"85";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.10.2017 20:00";"-2.0";"730.0";"";"";"86";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"0.6";"";"";"";"";"";"";"";"3.0";"12";"";"";"";"";
"14.10.2017 14:00";"0.1";"729.0";"";"";"78";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"14.10.2017 08:00";"-1.6";"729.0";"";"";"";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"-1.6";"";"";"";"";"";"";"0.2";"";"2.0";"12";"";"";"";"";
"14.10.2017 02:00";"-0.6";"730.0";"";"";"75";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.10.2017 20:00";"0.8";"730.0";"";"";"85";"Ветер, дующий с запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"1.1";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"13.10.2017 14:00";"-0.2";"730.0";"";"";"96";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"13.10.2017 08:00";"-1.1";"729.0";"";"";"91";"Ветер, дующий с северо-запада";"4";"";"";"100%.";" ";"";"";"-1.2";"";"";"";"";"";"";"50.0";"";"0.3";"12";"";"";"";"";
"13.10.2017 02:00";"-0.8";"729.0";"";"";"97";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.10.2017 20:00";"0.7";"727.0";"";"";"96";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"3.7";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"12.10.2017 14:00";"2.1";"725.0";"";"";"91";"Ветер, дующий с юга";"1";"";"";"100%.";"Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"12.10.2017 08:00";"0.8";"725.0";"";"";"92";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"0.5";"";"";"";"";"";"";"20.0";"";"1.0";"12";"";"";"";"";
"12.10.2017 02:00";"1.0";"726.0";"";"";"90";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.10.2017 20:00";"0.8";"728.0";"";"";"94";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"6.1";"";"";"";"";"";"";"";"0.3";"12";"";"";"";"";
"11.10.2017 14:00";"4.2";"728.0";"";"";"54";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"11.10.2017 08:00";"-1.3";"730.0";"";"";"84";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-2.5";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"11.10.2017 02:00";"-0.4";"731.0";"";"";"92";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.10.2017 20:00";"-2.4";"732.0";"";"";"72";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"5.1";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"10.10.2017 14:00";"4.1";"733.0";"";"";"44";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"10.10.2017 08:00";"-1.4";"735.0";"";"";"88";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-1.6";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"10.10.2017 02:00";"-0.1";"737.0";"";"";"69";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.10.2017 20:00";"-1.6";"739.0";"";"";"66";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"09.10.2017 14:00";"-1.5";"742.0";"";"";"68";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"09.10.2017 08:00";"-2.0";"742.0";"";"";"70";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"-2.0";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"09.10.2017 02:00";"-1.2";"742.0";"";"";"60";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.10.2017 20:00";"-0.2";"742.0";"";"";"56";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"2.4";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"08.10.2017 14:00";"1.6";"741.0";"";"";"69";"Ветер, дующий с северо-запада";"4";"";"";"100%.";"Ливневый град, или дождь и град. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"08.10.2017 08:00";"0.5";"740.0";"";"";"83";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"0.1";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"08.10.2017 02:00";"1.0";"739.0";"";"";"70";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.10.2017 20:00";"1.6";"737.0";"";"";"61";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"5.0";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"07.10.2017 14:00";"2.8";"735.0";"";"";"71";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневая снежная крупа или небольшой град с дождем или без него, или дождь со снегом слабые в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"07.10.2017 08:00";"-0.4";"733.0";"";"";"92";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-0.4";"";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"07.10.2017 02:00";"-0.4";"731.0";"";"";"92";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.10.2017 20:00";"0.4";"728.0";"";"";"88";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"4.3";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"06.10.2017 14:00";"3.5";"726.0";"";"";"85";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"06.10.2017 08:00";"1.2";"724.0";"";"";"100";"Ветер, дующий с севера";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"1.0";"";"";"";"";"";"";"50.0";"";"0.4";"12";"";"";"";"";
"06.10.2017 02:00";"2.0";"723.0";"";"";"94";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.10.2017 20:00";"1.1";"722.0";"";"";"92";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"4.6";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"05.10.2017 14:00";"3.8";"720.0";"";"";"77";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.10.2017 08:00";"3.5";"719.0";"";"";"78";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"3.5";"";"";"";"";"";"";"50.0";"";"Следы осадков";"12";"";"";"";"";
"05.10.2017 02:00";"4.9";"718.0";"";"";"83";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.10.2017 20:00";"7.2";"717.0";"";"";"59";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"10.0";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"04.10.2017 14:00";"9.4";"717.0";"";"";"39";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"04.10.2017 08:00";"-1.1";"718.0";"";"";"99";"Штиль, безветрие";"0";"";"";"100%.";"Клочья приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ";"";"";"-1.7";"";"";"";"";"";"";"4.0";"";"Осадков нет";"12";"";"";"";"";
"04.10.2017 02:00";"-0.2";"719.0";"";"";"94";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.10.2017 20:00";"4.5";"721.0";"";"";"60";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"9.0";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"03.10.2017 14:00";"6.9";"723.0";"";"";"41";"Ветер, дующий с юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"03.10.2017 08:00";"-0.4";"726.0";"";"";"92";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"-0.5";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"03.10.2017 02:00";"1.9";"728.0";"";"";"91";"Ветер, дующий с юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"02.10.2017 20:00";"1.1";"730.0";"";"";"98";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Ливневый(ые) дождь(и). ";"";"";"";"3.6";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"02.10.2017 14:00";"2.6";"730.0";"";"";"93";"Ветер, дующий с запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"02.10.2017 08:00";"1.4";"731.0";"";"";"94";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"0.2";"";"";"";"";"";"";"50.0";"";"1.0";"12";"";"";"";"";
"02.10.2017 02:00";"1.6";"732.0";"";"";"90";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"01.10.2017 20:00";"1.1";"731.0";"";"";"83";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"5.2";"";"";"";"";"";"";"";"8.0";"12";"";"";"";"";
"01.10.2017 14:00";"2.7";"731.0";"";"";"89";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"01.10.2017 08:00";"0.4";"730.0";"";"";"92";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"-0.6";"";"";"";"";"";"";"20.0";"";"0.7";"12";"";"";"";"";
"01.10.2017 02:00";"-0.6";"730.0";"";"";"94";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.09.2017 20:00";"2.9";"728.0";"";"";"71";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"7.1";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"30.09.2017 14:00";"4.1";"726.0";"";"";"67";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"30.09.2017 08:00";"-0.6";"724.0";"";"";"92";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-0.6";"";"";"";"";"";"";"50.0";"";"1.0";"12";"";"";"";"";
"30.09.2017 02:00";"0.4";"722.0";"";"";"98";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.09.2017 20:00";"2.5";"720.0";"";"";"75";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"5.7";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"29.09.2017 14:00";"3.6";"720.0";"";"";"66";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"29.09.2017 08:00";"-0.4";"721.0";"";"";"84";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"-1.0";"";"";"";"";"";"";"50.0";"";"0.3";"12";"";"";"";"";
"29.09.2017 02:00";"1.7";"722.0";"";"";"76";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.09.2017 20:00";"0.6";"724.0";"";"";"98";"Ветер, дующий с запада";"1";"";"";"100%.";"Ливневый град, или дождь и град. ";"";"";"";"4.6";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"28.09.2017 14:00";"3.7";"724.0";"";"";"63";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"28.09.2017 08:00";"0.4";"725.0";"";"";"96";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"0.0";"";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"28.09.2017 02:00";"1.0";"726.0";"";"";"88";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.09.2017 20:00";"1.4";"726.0";"";"";"82";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"2.3";"";"";"";"";"";"";"";"0.7";"12";"";"";"";"";
"27.09.2017 14:00";"1.2";"726.0";"";"";"85";"Ветер, дующий с северо-запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"27.09.2017 08:00";"-0.9";"726.0";"";"";"99";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-1.0";"";"";"";"";"";"";"10.0";"";"1.0";"12";"";"";"";"";
"27.09.2017 02:00";"-0.2";"726.0";"";"";"86";"Ветер, дующий с запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.09.2017 20:00";"0.2";"727.0";"";"";"83";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"";"2.5";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"26.09.2017 14:00";"-0.9";"726.0";"";"";"97";"Ветер, дующий с запада";"5";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";"";
"26.09.2017 08:00";"0.5";"726.0";"";"";"79";"Ветер, дующий с запада";"5";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"0.5";"";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"26.09.2017 02:00";"1.4";"725.0";"";"";"82";"Ветер, дующий с севера";"4";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.09.2017 20:00";"2.7";"724.0";"";"";"65";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"5.2";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"25.09.2017 14:00";"4.5";"722.0";"";"";"66";"Ветер, дующий с запада";"3";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"25.09.2017 08:00";"0.6";"721.0";"";"";"69";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"0.0";"";"";"";"";"";"";"50.0";"";"Осадков нет";"12";"";"";"";"";
"25.09.2017 02:00";"1.4";"721.0";"";"";"63";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.09.2017 20:00";"6.1";"719.0";"";"";"47";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"9.7";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"24.09.2017 14:00";"8.4";"718.0";"";"";"36";"Ветер, дующий с востока";"4";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
