Местное время в Усть-Уде;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
30.11.2020 2:00;-14.6;740.3;783.2;;82;Ветер, дующий с юга;3;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-17.0;;;;;;
29.11.2020 23:00;-14.7;740.6;783.6;;82;Ветер, дующий с юга;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-17.1;;;;;;
29.11.2020 20:00;-14.6;740.6;783.5;;81;Ветер, дующий с юга;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-13.8;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-17.1;0.4;12;;;;
29.11.2020 17:00;-14.9;740.4;783.4;;81;Ветер, дующий с юго-юго-востока;2;;;100%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;-17.5;;;;;;
29.11.2020 14:00;-14.2;740.7;783.6;;82;Ветер, дующий с юга;1;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-16.6;;;;;;
29.11.2020 11:00;-15.8;741.1;784.3;;83;Ветер, дующий с юга;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-18.1;;;;;;
29.11.2020 8:00;-17.4;740.8;784.3;;82;Ветер, дующий с юга;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-21.2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-19.8;Следы осадков;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
29.11.2020 5:00;-18.1;740.5;784.0;;82;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-20.5;;;;;;
29.11.2020 2:00;-20.4;740.4;784.3;;80;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-23.0;;;;;;
28.11.2020 23:00;-20.5;740.2;784.2;;81;Ветер, дующий с юго-юго-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-23.0;;;;;;
28.11.2020 20:00;-19.7;740.3;784.1;;80;Ветер, дующий с юго-юго-запада;1;;;90  или более, но не 100%; ;;;;-17.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.3;Осадков нет;12;;;;
28.11.2020 17:00;-18.4;740.0;783.6;;82;Ветер, дующий с юго-юго-востока;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-20.8;;;;;;
28.11.2020 14:00;-17.8;740.6;784.1;;81;Ветер, дующий с юга;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-20.3;;;;;;
28.11.2020 11:00;-19.6;741.5;785.4;;81;Ветер, дующий с юга;2;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-20.9;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;20–30%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;-22.0;;;;;;
28.11.2020 2:00;-19.7;742.3;786.2;;81;Ветер, дующий с юго-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.2;;;;;;
27.11.2020 23:00;-18.9;742.7;786.5;;82;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-21.2;;;;;;
27.11.2020 20:00;-18.2;743.0;786.7;;84;Ветер, дующий с юга;2;;;Облаков нет.; ;;;;-14.1;;;;;;;-20.3;Следы осадков;12;;;;
27.11.2020 17:00;-15.4;743.2;786.4;;83;Ветер, дующий с юго-юго-востока;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-17.6;;;;;;
27.11.2020 14:00;-14.2;743.8;786.8;;82;Ветер, дующий с юга;2;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-16.6;;;;;;
27.11.2020 11:00;-14.8;744.5;787.7;;83;Ветер, дующий с юга;3;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-15.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-17.0;;;;;;
27.11.2020 8:00;-14.2;744.4;787.5;;84;Ветер, дующий с юга;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-14.2;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-16.3;Следы осадков;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
27.11.2020 5:00;-12.9;744.0;786.8;;87;Ветер, дующий с востоко-северо-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-14.7;;;;;;
27.11.2020 2:00;-13.4;744.1;787.1;;86;Ветер, дующий с юго-юго-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-15.3;;;;;;
26.11.2020 23:00;-12.6;743.8;786.7;;87;Ветер, дующий с юга;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-14.4;;;;;;
26.11.2020 20:00;-11.4;743.6;786.1;;86;Ветер, дующий с юго-юго-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-10.6;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-13.3;Следы осадков;12;;;;
26.11.2020 17:00;-13.0;742.8;785.5;;85;Ветер, дующий с юго-юго-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-15.0;;;;;;
26.11.2020 14:00;-11.1;742.3;784.8;;82;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-13.6;;;;;;
26.11.2020 11:00;-13.5;742.6;785.5;;84;Ветер, дующий с северо-востока;2;;;70 – 80%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-15.1;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;70 – 80%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;-15.6;;;;;;
26.11.2020 8:00;-15.0;741.7;784.9;;83;Ветер, дующий с северо-востока;2;;;20–30%.; ;;;-15.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-17.2;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
26.11.2020 5:00;-12.7;741.2;783.9;;84;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-14.9;;;;;;
26.11.2020 2:00;-12.8;741.3;784.0;;89;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-14.3;;;;;;
25.11.2020 23:00;-11.1;741.1;783.5;;84;Ветер, дующий с северо-востока;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-13.3;;;;;;
25.11.2020 20:00;-11.6;740.7;783.1;;69;Ветер, дующий с северо-северо-востока;2;;;20–30%.; ;;;;-4.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16.2;Осадков нет;12;;;;
25.11.2020 17:00;-8.2;740.1;781.9;;55;Ветер, дующий с востока;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-15.8;;;;;;
25.11.2020 14:00;-5.7;739.9;781.3;;66;Ветер, дующий с юга;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1500-2000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.1;;;;;;
25.11.2020 11:00;-7.1;740.2;781.9;;70;Ветер, дующий с севера;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;50.0;-11.7;;;;;;
25.11.2020 8:00;-7.6;739.8;781.5;;83;Ветер, дующий с востоко-северо-востока;1;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-7.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-10.0;Следы осадков;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;5.0
25.11.2020 5:00;-7.5;739.4;781.1;;81;Ветер, дующий с юга;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-10.3;;;;;;
25.11.2020 2:00;-7.2;739.6;781.2;;72;Ветер, дующий с востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.5;;;;;;
24.11.2020 23:00;-7.2;739.6;781.2;;72;Ветер, дующий с востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.5;;;;;;
24.11.2020 20:00;-5.8;738.7;780.1;;72;Ветер, дующий с востока;1;;;100%.; ;;;;-4.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-10.1;Следы осадков;12;;;;
24.11.2020 17:00;-5.1;738.1;779.3;;65;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-10.7;;;;;;
24.11.2020 14:00;-4.6;737.6;778.7;;58;Ветер, дующий с севера;2;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;-11.8;;;;;;
24.11.2020 11:00;-4.8;737.5;778.7;;72;Ветер, дующий с севера;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-9.1;;;;;;
24.11.2020 8:00;-5.3;736.6;777.8;;78;Ветер, дующий с севера;3;;;100%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;-5.5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.5;Следы осадков;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;5.0
24.11.2020 5:00;-4.8;735.7;776.8;;76;Ветер, дующий с северо-запада;6;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.4;;;;;;
24.11.2020 2:00;-4.1;735.1;776.0;;73;Ветер, дующий с северо-северо-запада;4;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.3;;;;;;
23.11.2020 23:00;-3.0;733.9;774.5;;75;Ветер, дующий с севера;4;;10;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-6.9;;;;;;
23.11.2020 20:00;-1.2;732.4;772.7;;75;Ветер, дующий с северо-северо-запада;6;;10;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;0.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-5.1;Следы осадков;12;;;;
23.11.2020 17:00;0.0;731.0;771.0;;76;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-3.8;;;;;;
23.11.2020 14:00;0.4;730.3;770.2;;73;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-3.9;;;;;;
23.11.2020 11:00;-1.1;730.6;770.8;;79;Ветер, дующий с юго-юго-запада;4;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-4.3;;;;;;
23.11.2020 8:00;-1.6;730.8;771.0;;85;Ветер, дующий с юго-запада;4;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-2.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-3.8;0.4;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;5.0
23.11.2020 5:00;-2.0;730.9;771.3;;89;Ветер, дующий с юга;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-3.6;;;;;;
23.11.2020 2:00;-1.9;730.9;771.1;;82;Ветер, дующий с юго-запада;2;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-4.6;;;;;;
22.11.2020 23:00;-1.3;731.5;771.7;;77;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-4.9;;;;;;
22.11.2020 20:00;-1.2;731.8;772.0;;76;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;-1.2;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-5.0;Осадков нет;12;;;;
22.11.2020 17:00;-1.5;731.4;771.7;;76;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-5.3;;;;;;
22.11.2020 14:00;-1.6;730.9;771.2;;80;Ветер, дующий с западо-северо-запада;3;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-4.6;;;;;;
22.11.2020 11:00;-1.9;730.9;771.2;;81;Ветер, дующий с западо-северо-запада;4;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10.0;-4.7;;;;;;
22.11.2020 8:00;-2.8;730.3;770.8;;86;Ветер, дующий с юго-запада;4;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-5.6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-4.9;0.5;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;4.0
22.11.2020 5:00;-3.8;730.2;770.8;;86;Ветер, дующий с юго-запада;4;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-5.8;;;;;;
