Местное время в Солнечной;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.03.2018 8:00;-21.9;719.0;;;79;Ветер, дующий с севера;2;;;100%.; ;;;-26.0;;;;;;;50.0;;Осадков нет;12;;;;
01.03.2018 20:00;-21.2;714.0;;;90;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;;;;;;;;;;;;Следы осадков;12;;;;
02.03.2018 8:00;-22.2;715.0;;;84;Ветер, дующий с запада;2;;;50%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
02.03.2018 20:00;-20.5;714.0;;;80;Ветер, дующий с севера;2;;;100%.; ;;;;-18.3;;;;;;;;Осадков нет;12;;;;
03.03.2018 8:00;-19.5;716.5;762.4;;90;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;-21.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;-20.7;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;6.0
03.03.2018 20:00;-15.5;723.0;;;50;Ветер, дующий с запада;9;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;-12.7;;;;;;;;Следы осадков;12;;;;
04.03.2018 8:00;-17.1;727.0;;;50;Ветер, дующий с запада;7;;;100%.; ;;;-17.3;;;;;;;50.0;;Осадков нет;12;;;;
04.03.2018 20:00;-17.3;730.0;;;60;Ветер, дующий с запада;2;;;20–30%.;Состояние неба в общем не изменилось. ;;;;;;;;;;;;Следы осадков;12;;;;
05.03.2018 8:00;-17.7;731.0;;;60;Ветер, дующий с северо-запада;5;;;60%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
05.03.2018 20:00;-19.5;733.0;;;65;Ветер, дующий с запада;3;;;Облаков нет.; ;;;;;;;;;;;;Осадков нет;12;;;;
06.03.2018 8:00;-23.5;734.0;;;80;Ветер, дующий с севера;1;;;20–30%.; ;;;-26.2;;;;;;;50.0;;Осадков нет;12;;;;
06.03.2018 20:00;-23.3;735.0;;;75;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;;Осадков нет;12;;;;
07.03.2018 8:00;-24.8;734.0;;;95;Ветер, дующий с севера;1;;;Облаков нет.; ;;;-28.1;;;;;;;50.0;;Осадков нет;12;;;;
07.03.2018 20:00;-21.1;729.0;;;85;Ветер, дующий с севера;2;;;60%.; ;;;;-16.0;;;;;;;;Осадков нет;12;;;;
08.03.2018 8:00;-18.2;725.0;;;70;Ветер, дующий с северо-запада;1;;;70 – 80%.; ;;;-22.2;;;;;;;50.0;;Осадков нет;12;;;;
08.03.2018 20:00;-10.8;722.0;;;50;Ветер, дующий с севера;2;;;100%.; ;;;;-10.3;;;;;;;;Осадков нет;12;;;;
09.03.2018 8:00;-12.8;723.0;;;100;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;;;-13.3;;;;;;;10.0;;3.0;12;;;;
09.03.2018 20:00;-14.2;726.0;;;100;Ветер, дующий с севера;2;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;-10.8;;;;;;;;0.8;12;;;;
10.03.2018 8:00;-21.5;725.0;;;100;Штиль, безветрие;0;;;70 – 80%.; ;;;-22.8;;;;;;;10.0;;Осадков нет;12;;;;
10.03.2018 20:00;-13.6;735.0;;;95;Ветер, дующий с северо-запада;2;;;70 – 80%.; ;;;;-11.8;;;;;;;;Осадков нет;12;;;;
11.03.2018 8:00;-15.1;713.0;;;95;Ветер, дующий с юго-запада;1;;;70 – 80%.; ;;;-15.6;;;;;;;50.0;;Осадков нет;12;;;;
11.03.2018 20:00;-10.2;713.0;;;95;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;;;;-7.3;;;;;;;;Следы осадков;12;;;;
12.03.2018 8:00;-13.2;716.0;;;85;Ветер, дующий с запада;2;;;100%.;Состояние неба в общем не изменилось. ;;;-13.3;;;;;;;50.0;;Следы осадков;12;;;;
12.03.2018 20:00;-10.8;718.0;;;95;Ветер, дующий с северо-запада;1;;;70 – 80%.; ;;;;-6.3;;;;;;;;Осадков нет;12;;;;
13.03.2018 8:00;-11.2;723.0;;;60;Ветер, дующий с северо-запада;6;;;70 – 80%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;;;-11.3;;;;;;;50.0;;Осадков нет;12;;;;
13.03.2018 20:00;-10.8;729.0;;;50;Ветер, дующий с северо-запада;5;;;60%.;Состояние неба в общем не изменилось. ;;;;;;;;;;;;Следы осадков;12;;;;
14.03.2018 8:00;-15.7;733.0;;;60;Ветер, дующий с запада;2;;;70 – 80%.; ;;;-16.3;;;;;;;50.0;;Осадков нет;12;;;;
14.03.2018 20:00;-17.7;733.0;;;80;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;;Осадков нет;12;;;;
15.03.2018 8:00;-19.7;731.0;;;95;Ветер, дующий с юга;1;;;60%.; ;;;-21.8;;;;;;;50.0;;Осадков нет;12;;;;
15.03.2018 20:00;-19.1;727.0;;;100;Ветер, дующий с запада;1;;;20–30%.; ;;;;;;;;;;;;Осадков нет;12;;;;
16.03.2018 8:00;;725.0;;;;Ветер, дующий с севера;1;;;20–30%.; ;;;-24.2;;;;;;;50.0;;Осадков нет;12;;;;
16.03.2018 20:00;-2.1;723.0;;;75;Ветер, дующий с северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;;;;-1.3;;;;;;;;Следы осадков;12;;;;
17.03.2018 8:00;1.0;722.0;;;64;Ветер, дующий с северо-запада;6;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;;;-7.5;;;;;;;50.0;;Следы осадков;12;;;;
17.03.2018 20:00;02.мар;724.0;;;56;Ветер, дующий с запада;6;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;04.янв;;;;;;;;Следы осадков;12;;;;
18.03.2018 8:00;-2.6;730.0;;;63;Ветер, дующий с севера;2;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;-3.6;;;;;;;50.0;;Следы осадков;12;;;;
18.03.2018 20:00;-7.8;731.0;;;78;Ветер, дующий с севера;2;;;40%.; ;;;;-1.8;;;;;;;;Осадков нет;12;;;;
19.03.2018 8:00;-10.0;732.0;;;80;Ветер, дующий с северо-запада;1;;;70 – 80%.; ;;;-14.0;;;;;;;50.0;;Осадков нет;12;;;;
19.03.2018 20:00;-9.1;723.0;;;70;Ветер, дующий с севера;1;;;40%.; ;;;;;;;;;;;;Осадков нет;12;;;;
20.03.2018 8:00;-7.0;727.0;;;77;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;-12.0;;;;;;;50.0;;Осадков нет;12;;;;
20.03.2018 20:00;-3.2;721.0;;;57;Ветер, дующий с северо-запада;1;;;100%.; ;;;;-0.8;;;;;;;;Осадков нет;12;;;;
21.03.2018 8:00;0.8;725.0;;;38;Ветер, дующий с севера;6;;;40%.; ;;;-4.9;;;;;;;50.0;;Осадков нет;12;;;;
21.03.2018 20:00;-3.3;723.0;;;59;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;03.авг;;;;;;;;Осадков нет;12;;;;
22.03.2018 8:00;-6.2;720.0;;;60;Ветер, дующий с севера;1;;;100%.; ;;;-9.8;;;;;;;50.0;;Осадков нет;12;;;;
22.03.2018 20:00;-3.6;719.0;;;67;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;;-2.1;;;;;;;;Осадков нет;12;;;;
23.03.2018 8:00;0.8;719.0;;;75;Ветер, дующий с юга;2;;;100%.; ;;;-8.1;;;;;;;50.0;;Осадков нет;12;;;;
23.03.2018 20:00;-0.6;717.0;;;96;Ветер, дующий с севера;2;;;20–30%.; ;;;;;;;;;;;;Осадков нет;12;;;;
24.03.2018 8:00;-2.2;713.0;;;100;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;-5.2;;;;;;;50.0;;Осадков нет;12;;;;
24.03.2018 20:00;07.авг;718.0;;;43;Ветер, дующий с запада;2;;;100%.; ;;;;09.апр;;;;;;;;1.0;12;;;;
25.03.2018 8:00;01.янв;712.0;;;79;Ветер, дующий с севера;4;;;100%.; ;;;-3.0;;;;;;;50.0;;Осадков нет;12;;;;
25.03.2018 20:00;04.мар;713.0;;;47;Ветер, дующий с запада;9;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;09.май;;;;;;50.0;;0.4;12;;;;
26.03.2018 8:00;0.4;714.0;;;36;Ветер, дующий с запада;3;;;70 – 80%.; ;;;-0.5;;;;;;;50.0;;Следы осадков;12;;;;
26.03.2018 20:00;0.6;706.0;;;53;Ветер, дующий с севера;2;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
27.03.2018 8:00;-1.4;713.0;;;43;Ветер, дующий с северо-запада;14;;;70 – 80%.;Ливневый снег или ливневый дождь и снег. ;;;-1.8;;;;;;;50.0;;Следы осадков;12;;;;
27.03.2018 20:00;-3.6;721.0;;;65;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;02.авг;;;;;;50.0;;Следы осадков;12;;;;
28.03.2018 8:00;-0.8;724.0;;;44;Ветер, дующий с запада;3;;;70 – 80%.; ;;;-6.2;;;;;;;50.0;;Осадков нет;12;;;;
28.03.2018 20:00;-2.0;724.0;;;83;Ветер, дующий с юго-запада;2;;;40%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
29.03.2018 8:00;-3.0;723.0;;;77;Ветер, дующий с юго-востока;2;;;70 – 80%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
29.03.2018 20:00;0.4;724.0;;;61;Ветер, дующий с запада;2;;;60%.; ;;;;08.июн;;;;;;50.0;;Осадков нет;12;;;;
30.03.2018 8:00;-3.4;724.0;;;83;Ветер, дующий с севера;2;;;100%.; ;;;-4.1;;;;;;;50.0;;Осадков нет;12;;;;
30.03.2018 20:00;0.6;717.0;;;53;Ветер, дующий с севера;2;;;60%.; ;;;;01.авг;;;;;;50.0;;Осадков нет;12;;;;
31.03.2018 8:00;-1.3;710.0;;;78;Ветер, дующий с юга;1;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
31.03.2018 20:00;0.1;703.0;;;88;Ветер, дующий с севера;3;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
01.04.2018 8:00;-7.2;716.0;;;49;Ветер, дующий с северо-запада;10;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;;;-7.4;;;;;;;50.0;;Следы осадков;12;;;;
01.04.2018 20:00;-5.4;723.0;;;43;Ветер, дующий с северо-запада;7;;;50%.;Состояние неба в общем не изменилось. ;;;;-2.8;;;;;;50.0;;Следы осадков;12;;;;
02.04.2018 8:00;-6.0;728.0;;;38;Ветер, дующий с запада;7;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
02.04.2018 20:00;-4.0;732.0;;;35;Ветер, дующий с северо-запада;8;;;100%.;Состояние неба в общем не изменилось. ;;;;-0.8;;;;;;50.0;;Следы осадков;12;;;;
03.04.2018 8:00;-7.3;732.0;;;60;Ветер, дующий с юго-востока;3;;;20–30%.; ;;;-10.8;;;;;;;50.0;;Осадков нет;12;;;;
03.04.2018 20:00;-6.0;727.0;;;56;Ветер, дующий с северо-запада;1;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
04.04.2018 8:00;-7.6;726.0;;;59;Ветер, дующий с севера;2;;;100%.; ;;;-9.8;;;;;;;50.0;;Осадков нет;12;;;;
04.04.2018 20:00;-3.6;728.0;;;47;Ветер, дующий с запада;2;;;100%.; ;;;;-1.8;;;;;;50.0;;Осадков нет;12;;;;
05.04.2018 8:00;-3.9;732.0;;;48;Ветер, дующий с северо-запада;10;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;;;;;;;50.0;;Следы осадков;12;;;;
05.04.2018 20:00;-3.4;735.0;;;41;Ветер, дующий с северо-запада;4;;;70 – 80%.;Ливневый снег слабый в срок наблюдения или за последний час. ;;;;;;;;;;50.0;;Следы осадков;12;;;;
06.04.2018 8:00;-7.3;733.0;;;79;Ветер, дующий с юга;2;;;100%.; ;;;-7.7;;;;;;;50.0;;Осадков нет;12;;;;
06.04.2018 20:00;-4.1;725.0;;;80;Ветер, дующий с юга;2;;;100%.; ;;;;-1.3;;;;;;50.0;;Осадков нет;12;;;;
07.04.2018 8:00;-5.1;721.0;;;90;Ветер, дующий с северо-востока;2;;;100%.; ;;;-7.2;;;;;;;50.0;;Осадков нет;12;;;;
07.04.2018 20:00;-3.4;719.0;;;81;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;-1.5;;;;;;50.0;;Осадков нет;12;;;;
08.04.2018 8:00;-2.6;716.0;;;79;Ветер, дующий с севера;1;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
08.04.2018 20:00;-0.5;713.0;;;96;Ветер, дующий с юга;2;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;01.авг;;;;;;50.0;;Следы осадков;12;;;;
09.04.2018 8:00;1.0;715.0;;;47;Ветер, дующий с северо-запада;6;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;-0.6;;;;;;;50.0;;Следы осадков;12;;;;
09.04.2018 20:00;0.3;718.0;;;67;Ветер, дующий с севера;3;;;100%.;Состояние неба в общем не изменилось. ;;;;;;;;;;50.0;;Следы осадков;12;;;;
10.04.2018 8:00;-0.2;720.0;;;50;Ветер, дующий с севера;2;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
10.04.2018 20:00;-3.7;720.0;;;99;Штиль, безветрие;0;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;01.авг;;;;;;50.0;;2.0;12;;;;
11.04.2018 8:00;-6.2;722.0;;;94;Ветер, дующий с севера;2;;;90  или более, но не 100%; ;;;-9.7;;;;;;;50.0;;Осадков нет;12;;;;
11.04.2018 20:00;-2.2;723.0;;;64;Ветер, дующий с юга;1;;;100%.; ;;;;0.4;;;;;;50.0;;Осадков нет;12;;;;
12.04.2018 8:00;-2.2;726.0;;;72;Штиль, безветрие;0;;;70 – 80%.; ;;;-4.3;;;;;;;50.0;;Осадков нет;12;;;;
12.04.2018 20:00;-2.9;727.0;;;84;Ветер, дующий с северо-востока;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;;;;;;;50.0;;Следы осадков;12;;;;
13.04.2018 8:00;-4.6;728.0;;;93;Ветер, дующий с севера;2;;;Облаков нет.; ;;;-8.8;;;;;;;50.0;;Следы осадков;12;;;;
13.04.2018 20:00;-2.1;727.0;;;69;Ветер, дующий с юго-запада;2;;;10%  или менее, но не 0; ;;;;03.мар;;;;;;50.0;;Осадков нет;12;;;;
14.04.2018 8:00;-3.8;726.0;;;75;Ветер, дующий с северо-востока;2;;;40%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
14.04.2018 20:00;-1.2;719.0;;;61;Ветер, дующий с севера;2;;;60%.; ;;;;01.мар;;;;;;50.0;;Осадков нет;12;;;;
15.04.2018 8:00;05.апр;713.0;;;36;Ветер, дующий с севера;2;;;100%.; ;;;-3.1;;;;;;;50.0;;Осадков нет;12;;;;
15.04.2018 20:00;07.авг;714.0;;;46;Ветер, дующий с севера;4;;;100%.; ;;;;12.янв;;;;;;50.0;;Осадков нет;12;;;;
16.04.2018 8:00;04.июн;718.0;;;35;Ветер, дующий с севера;4;;;40%.; ;;;01.май;;;;;;;50.0;;Осадков нет;12;;;;
16.04.2018 20:00;-1.7;719.0;;;61;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;05.мар;;;;;;50.0;;Осадков нет;12;;;;
17.04.2018 8:00;-2.0;718.0;;;71;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
17.04.2018 20:00;0.0;715.0;;;49;Ветер, дующий с юга;2;;;60%.; ;;;;03.мар;;;;;;50.0;;Осадков нет;12;;;;
18.04.2018 8:00;-2.3;715.0;;;79;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;-6.5;;;;;;;50.0;;Осадков нет;12;;;;
18.04.2018 20:00;04.июл;718.0;;;41;Ветер, дующий с северо-запада;3;;;60%.;Состояние неба в общем не изменилось. ;;;;10.июн;;;;;;50.0;;0.7;12;;;;
19.04.2018 8:00;1.0;722.0;;;27;Ветер, дующий с севера;3;;;100%.; ;;;0.0;;;;;;;50.0;;Осадков нет;12;;;;
19.04.2018 20:00;-0.5;721.0;;;51;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;02.авг;;;;;;50.0;;Осадков нет;12;;;;
20.04.2018 8:00;01.авг;725.0;;;38;Ветер, дующий с северо-востока;2;;;20–30%.; ;;;-2.2;;;;;;;50.0;;Осадков нет;12;;;;
20.04.2018 20:00;0.2;725.0;;;31;Ветер, дующий с севера;2;;;40%.; ;;;;03.июн;;;;;;50.0;;Осадков нет;12;;;;
21.04.2018 8:00;0.2;727.0;;;43;Ветер, дующий с севера;2;;;70 – 80%.; ;;;-5.9;;;;;;;50.0;;Осадков нет;12;;;;
21.04.2018 20:00;-1.2;727.0;;;70;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
22.04.2018 8:00;-2.1;729.0;;;76;Ветер, дующий с севера;1;;;60%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
22.04.2018 20:00;-0.6;726.0;;;80;Ветер, дующий с запада;1;;;70 – 80%.; ;;;;02.янв;;;;;;50.0;;Осадков нет;12;;;;
23.04.2018 8:00;0.6;723.0;;;69;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
23.04.2018 20:00;03.авг;730.0;;;67;Ветер, дующий с юга;2;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
24.04.2018 8:00;05.апр;720.0;;;69;Штиль, безветрие;0;;;40%.; ;;;0.5;;;;;;;50.0;;Осадков нет;12;;;;
24.04.2018 20:00;03.июл;715.0;;;68;Ветер, дующий с севера;3;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
25.04.2018 8:00;09.авг;719.0;;;62;Ветер, дующий с северо-запада;4;;;90  или более, но не 100%;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;3.0;;;;;;;50.0;;Следы осадков;12;;;;
25.04.2018 20:00;04.апр;723.0;;;54;Ветер, дующий с северо-запада;2;;;60%.; ;;;;12.янв;;;;;;50.0;;Осадков нет;12;;;;
26.04.2018 8:00;03.июн;723.0;;;58;Ветер, дующий с севера;1;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
26.04.2018 20:00;01.авг;721.0;;;82;Ветер, дующий с юго-запада;2;;;100%.; ;;;;06.сен;;;;;;50.0;;Осадков нет;12;;;;
27.04.2018 8:00;03.апр;719.0;;;86;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и). ;;;01.фев;;;;;;;50.0;;1.0;12;;;;
27.04.2018 20:00;06.апр;719.0;;;56;;;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;;;;;;;50.0;;Следы осадков;12;;;;
28.04.2018 8:00;6.0;724.0;;;43;Ветер, дующий с северо-запада;3;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;Следы осадков;12;;;;
28.04.2018 20:00;01.авг;723.0;;;83;Ветер, дующий с юго-запада;2;;;100%.;Состояние неба в общем не изменилось. ;;;;08.апр;;;;;;50.0;;0.6;12;;;;
29.04.2018 8:00;05.янв;724.0;;;48;Ветер, дующий с запада;5;;;100%.; ;;;-0.5;;;;;;;50.0;;0.4;12;;;;
29.04.2018 20:00;2.0;725.0;;;64;Ветер, дующий с юга;2;;;60%.;Состояние неба в общем не изменилось. ;;;;08.сен;;;;;;50.0;;Следы осадков;12;;;;
30.04.2018 8:00;03.апр;728.0;;;61;Ветер, дующий с северо-востока;1;;;40%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
30.04.2018 20:00;03.янв;727.0;;;34;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
01.05.2018 8:00;0.2;727.0;;;66;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;-5.2;;;;;;;50.0;;Осадков нет;12;;;;
01.05.2018 20:00;0.2;724.0;;;55;Штиль, безветрие;0;;;Облаков нет.; ;;;;03.авг;;;;;;50.0;;Осадков нет;12;;;;
02.05.2018 8:00;03.сен;723.0;;;42;Ветер, дующий с северо-востока;3;;;70 – 80%.; ;;;-4.2;;;;;;;50.0;;Осадков нет;12;;;;
02.05.2018 20:00;04.янв;717.0;;;36;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
03.05.2018 8:00;7.0;719.0;;;70;Ветер, дующий с северо-востока;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;;;03.янв;;;;;;;50.0;;Следы осадков;12;;;;
03.05.2018 20:00;7.0;712.0;;;59;Ветер, дующий с севера;2;;;20–30%.; ;;;;12.сен;;;;;;50.0;;Осадков нет;12;;;;
04.05.2018 8:00;6.0;712.0;;;54;Ветер, дующий с северо-запада;11;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;;;;;;;50.0;;1.0;12;;;;
04.05.2018 20:00;05.авг;720.0;;;40;Ветер, дующий с северо-запада;3;;;100%.;Ливневый град, или дождь и град. ;;;;;;;;;;50.0;;Следы осадков;12;;;;
05.05.2018 8:00;03.май;720.0;;;35;Ветер, дующий с северо-запада;7;;;60%.; ;;;0.5;;;;;;;50.0;;Осадков нет;12;;;;
05.05.2018 20:00;1.0;718.0;;;57;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;;05.авг;;;;;;50.0;;Осадков нет;12;;;;
06.05.2018 8:00;01.май;715.0;;;55;Ветер, дующий с севера;4;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
06.05.2018 20:00;03.апр;715.0;;;42;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;04.июн;;;;;;50.0;;Осадков нет;12;;;;
07.05.2018 8:00;07.мар;715.0;;;52;Ветер, дующий с юга;1;;;100%.; ;;;0.6;;;;;;;50.0;;Осадков нет;12;;;;
07.05.2018 20:00;04.июл;716.0;;;59;Ветер, дующий с юго-запада;3;;;100%.; ;;;;10.июл;;;;;;50.0;;Осадков нет;12;;;;
08.05.2018 8:00;05.фев;724.0;;;48;Ветер, дующий с северо-запада;9;;;100%.;Состояние неба в общем не изменилось. ;;;;;;;;;;50.0;;Следы осадков;12;;;;
08.05.2018 20:00;0.8;722.0;;;96;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;;;;06.авг;;;;;;2.0;;2.0;12;;;;
09.05.2018 8:00;02.апр;721.0;;;84;Ветер, дующий с юга;3;;;20–30%.;Состояние неба в общем не изменилось. ;;;0.3;;;;;;;50.0;;0.6;12;;;;
09.05.2018 20:00;01.апр;721.0;;;78;Ветер, дующий с севера;1;;;20–30%.; ;;;;04.авг;;;;;;50.0;;Осадков нет;12;;;;
10.05.2018 8:00;01.фев;721.0;;;85;Ветер, дующий с северо-востока;2;;;20–30%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
10.05.2018 20:00;04.апр;718.0;;;63;Ветер, дующий с севера;3;;;100%.; ;;;;09.сен;;;;;;50.0;;Осадков нет;12;;;;
11.05.2018 8:00;04.янв;722.0;;;39;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;;;;;50.0;;Следы осадков;12;;;;
11.05.2018 20:00;03.май;721.0;;;38;Ветер, дующий с юго-запада;2;;;60%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
12.05.2018 8:00;1.0;717.0;;;79;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
12.05.2018 20:00;03.апр;708.0;;;44;Ветер, дующий с севера;4;;;100%.; ;;;;04.апр;;;;;;50.0;;Осадков нет;12;;;;
13.05.2018 8:00;05.фев;703.0;;;38;Ветер, дующий с востока;1;;;100%.; ;;;01.янв;;;;;;;50.0;;Осадков нет;12;;;;
13.05.2018 20:00;03.мар;708.0;;;80;Ветер, дующий с юга;2;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;07.сен;;;;;;50.0;;0.3;12;;;;
14.05.2018 8:00;07.июл;713.0;;;57;Ветер, дующий с запада;5;;;70 – 80%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;;;;;;;50.0;;0.7;12;;;;
14.05.2018 20:00;04.авг;713.0;;;72;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;11.фев;;;;;;50.0;;Следы осадков;12;;;;
15.05.2018 8:00;04.янв;717.0;;;72;Ветер, дующий с северо-востока;3;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
15.05.2018 20:00;05.мар;718.0;;;61;Штиль, безветрие;0;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
16.05.2018 8:00;03.сен;718.0;;;67;Ветер, дующий с северо-востока;3;;;20–30%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
16.05.2018 20:00;03.янв;716.0;;;73;Штиль, безветрие;0;;;20–30%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
17.05.2018 8:00;06.сен;718.0;;;52;Ветер, дующий с северо-востока;3;;;70 – 80%.; ;;;-0.5;;;;;;;50.0;;Осадков нет;12;;;;
17.05.2018 20:00;9.0;717.0;;;52;Ветер, дующий с запада;1;;;100%.; ;;;;11.авг;;;;;;50.0;;Осадков нет;12;;;;
18.05.2018 8:00;06.мар;713.0;;;59;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;0.5;;;;;;;50.0;;Осадков нет;12;;;;
18.05.2018 20:00;14.июл;716.0;;;36;Ветер, дующий с севера;4;;;90  или более, но не 100%; ;;;;16.июн;;;;;;50.0;;Осадков нет;12;;;;
19.05.2018 8:00;09.фев;718.0;;;50;Ветер, дующий с северо-востока;3;;;100%.; ;;;04.мар;;;;;;;50.0;;Осадков нет;12;;;;
19.05.2018 20:00;07.фев;719.0;;;47;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;12.апр;;;;;;50.0;;Осадков нет;12;;;;
20.05.2018 8:00;04.мар;717.0;;;55;Ветер, дующий с севера;2;;;100%.; ;;;-0.5;;;;;;;50.0;;Осадков нет;12;;;;
20.05.2018 20:00;06.фев;719.0;;;56;Ветер, дующий с северо-запада;12;;;100%.;Ливневый(ые) дождь(и). ;;;;9.0;;;;;;50.0;;0.7;12;;;;
21.05.2018 8:00;04.мар;720.0;;;55;Ветер, дующий с северо-запада;12;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;;;02.фев;;;;;;;20.0;;Следы осадков;12;;;;
21.05.2018 20:00;02.фев;719.0;;;84;Ветер, дующий с юга;3;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;08.сен;;;;;;50.0;;Следы осадков;12;;;;
22.05.2018 8:00;04.янв;711.0;;;69;Ветер, дующий с северо-востока;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;2.0;;;;;;;50.0;;Следы осадков;12;;;;
