Местное время в Узурах;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
21.02.2017 20:00;-7.7;726.3;770.5;0.3;76;Ветер, дующий с северо-запада;2;;;100%.; ;;;;-6.5;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-11.2;Осадков нет;12;;;;
21.02.2017 23:00;-6.9;726.4;770.5;0.1;78;Ветер, дующий с северо-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-10.2;;;;;;
22.02.2017 2:00;-13.1;726.7;771.8;0.3;80;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;;-15.8;;;;;;
22.02.2017 5:00;-18.7;726.5;772.6;-0.2;85;Ветер, дующий с запада;3;;;Облаков нет.; ;;;;;;;;;;;-20.6;;;;;;
22.02.2017 8:00;-17.3;726.3;772.1;-0.2;85;Ветер, дующий с западо-северо-запада;3;;;70 – 80%.; ;;;-20.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-19.2;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;5.0
22.02.2017 11:00;-12.3;726.7;771.7;0.4;85;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-14.3;;;;;;
22.02.2017 14:00;-10.5;726.0;770.7;-0.7;80;Ветер, дующий с юго-запада;4;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-13.3;;;;;;
22.02.2017 17:00;-11.4;725.8;770.5;-0.2;85;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-13.4;;;;;;
22.02.2017 20:00;-13.8;725.4;770.5;-0.4;90;Ветер, дующий с запада;1;;;100%.; ;;;;-9.3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-15.1;Осадков нет;12;;;;
22.02.2017 23:00;-13.8;724.4;769.5;-1.0;85;Ветер, дующий с запада;3;;;Облаков нет.; ;;;;;;;;;;;-15.8;;;;;;
23.02.2017 2:00;-14.6;723.9;769.1;-0.5;80;Ветер, дующий с запада;3;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-17.3;;;;;;
23.02.2017 5:00;-2.4;723.4;766.4;-0.5;49;Ветер, дующий с запада;5;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-11.7;;;;;;
23.02.2017 8:00;-2.9;724.0;767.2;0.6;69;Ветер, дующий с запада;5;;;100%.; ;;;-16.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-7.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;5.0
23.02.2017 11:00;-1.2;724.3;767.2;0.3;61;Ветер, дующий с запада;5;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-7.8;;;;;;
23.02.2017 14:00;-0.5;723.8;766.6;-0.5;59;Ветер, дующий с запада;5;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-7.6;;;;;;
23.02.2017 17:00;-0.7;723.9;766.7;0.1;74;Ветер, дующий с запада;5;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-4.8;;;;;;
23.02.2017 20:00;-1.4;724.3;767.2;0.4;76;Ветер, дующий с запада;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;0.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-5.1;Следы осадков;12;;;;
23.02.2017 23:00;-1.7;724.1;767.2;-0.2;67;Ветер, дующий с запада;5;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-7.0;;;;;;
24.02.2017 2:00;-0.9;723.8;766.6;-0.3;68;Ветер, дующий с западо-юго-запада;6;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.2;;;;;;
24.02.2017 5:00;-0.9;723.2;766.0;-0.6;73;Ветер, дующий с запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-5.1;;;;;;
24.02.2017 8:00;-2.4;723.9;767.0;0.7;83;Ветер, дующий с запада;3;;;100%.; ;;;-3.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-5.0;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;5.0
24.02.2017 11:00;0.5;724.9;767.5;1.0;67;Ветер, дующий с запада;4;;;90  или более, но не 100%; ;;;-3.5;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-4.9;;;;;;
24.02.2017 14:00;0.9;725.6;768.2;0.7;65;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.1;;;;;;
24.02.2017 17:00;01.июн;726.1;768.7;0.5;57;Ветер, дующий с запада;5;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-6.1;;;;;;
24.02.2017 20:00;0.2;726.6;769.5;0.5;57;Ветер, дующий с запада;3;;;90  или более, но не 100%; ;;;;02.апр;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-7.3;Осадков нет;12;;;;
24.02.2017 23:00;-1.6;726.8;769.9;0.2;66;Ветер, дующий с запада;2;;;60%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-7.1;;;;;;
25.02.2017 2:00;-2.6;726.5;769.9;-0.3;61;Ветер, дующий с запада;4;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-9.1;;;;;;
25.02.2017 5:00;-2.7;726.1;769.5;-0.4;65;Ветер, дующий с западо-северо-запада;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-8.4;;;;;;
25.02.2017 8:00;-2.4;725.6;768.8;-0.5;55;Ветер, дующий с запада;2;;;20–30%.; ;;;-3.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-10.2;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;4.0
25.02.2017 11:00;-1.3;725.8;768.8;0.2;65;Ветер, дующий с востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-7.2;;;;;;
25.02.2017 14:00;-2.4;724.3;767.5;-1.5;83;Ветер, дующий с юго-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-5.0;;;;;;
25.02.2017 17:00;-3.5;722.9;766.1;-1.4;92;Ветер, дующий с юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-4.6;;;;;;
25.02.2017 20:00;-7.7;722.2;766.2;-0.7;93;Ветер, дующий с западо-юго-запада;2;;;40%.; ;;;;-1.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-8.7;Осадков нет;12;;;;
25.02.2017 23:00;-10.4;721.6;766.0;-0.6;100;Ветер, дующий с запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-10.4;;;;;;
26.02.2017 2:00;-7.3;720.9;764.6;-0.7;96;Ветер, дующий с запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-7.8;;;;;;
26.02.2017 5:00;-4.4;720.5;763.8;-0.4;94;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-5.3;;;;;;
26.02.2017 8:00;-1.8;721.6;764.5;01.янв;70;Ветер, дующий с запада;4;;;90  или более, но не 100%; ;;;-10.5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-6.7;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;4.0
26.02.2017 11:00;0.5;721.5;764.0;-0.1;53;Ветер, дующий с западо-северо-запада;5;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-8.2;;;;;;
26.02.2017 14:00;01.июн;721.3;763.6;-0.2;50;Ветер, дующий с западо-юго-запада;4;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-7.9;;;;;;
26.02.2017 17:00;02.апр;720.3;762.4;-1.0;45;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-8.5;;;;;;
26.02.2017 20:00;0.3;720.4;762.8;0.1;52;Ветер, дующий с запада;3;;;40%.; ;;;;02.авг;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-8.5;Осадков нет;12;;;;
26.02.2017 23:00;-0.8;720.8;763.5;0.4;54;Ветер, дующий с западо-северо-запада;3;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-9.0;;;;;;
27.02.2017 2:00;-2.2;720.9;763.8;0.1;58;Ветер, дующий с запада;3;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-9.4;;;;;;
27.02.2017 5:00;-3.7;721.6;764.8;0.7;85;Ветер, дующий с западо-северо-запада;3;;;20–30%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-5.9;;;;;;
27.02.2017 8:00;-5.7;722.5;766.1;0.9;62;Ветер, дующий с западо-северо-запада;9;;;40%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-6.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-11.9;Следы осадков;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;4.0
27.02.2017 11:00;-5.6;724.9;768.7;02.апр;53;Ветер, дующий с запада;2;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-13.8;;;;;;
27.02.2017 14:00;-5.1;725.5;769.2;0.6;45;Ветер, дующий с западо-юго-запада;4;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-15.4;;;;;;
27.02.2017 17:00;-4.9;726.4;770.2;0.9;43;Ветер, дующий с запада;4;;;10%  или менее, но не 0; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-15.7;;;;;;
27.02.2017 20:00;-9.8;727.9;772.5;01.май;56;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;-4.1;;;;;;;-17.0;Осадков нет;12;;;;
27.02.2017 23:00;-16.9;728.8;774.8;0.9;75;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-20.3;;;;;;
28.02.2017 2:00;-17.6;729.4;775.5;0.6;75;Ветер, дующий с запада;3;;;Облаков нет.; ;;;;;;;;;;;-21.0;;;;;;
28.02.2017 5:00;-18.4;730.3;776.8;0.9;75;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-21.7;;;;;;
28.02.2017 8:00;-16.5;730.9;776.9;0.6;70;Ветер, дующий с западо-северо-запада;3;;;Облаков нет.; ;;;-19.4;;;;;;;50.0;-20.7;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;3.0
28.02.2017 11:00;-12.5;731.2;776.6;0.3;65;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-17.7;;;;;;
28.02.2017 14:00;-11.0;731.6;777.0;0.4;61;Ветер, дующий с западо-северо-запада;3;;;Облаков нет.; ;;;;;;;;;;50.0;-17.2;;;;;;
28.02.2017 17:00;-11.9;731.8;777.1;0.2;70;Ветер, дующий с юго-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-16.3;;;;;;
28.02.2017 20:00;-18.0;731.7;778.1;-0.1;80;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;-10.4;;;;;;;-20.6;Осадков нет;12;;;;
28.02.2017 23:00;-20.0;730.9;777.7;-0.8;80;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-22.6;;;;;;
01.03.2017 2:00;-18.3;730.0;776.2;-0.9;80;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;;-20.9;;;;;;
01.03.2017 5:00;-15.7;728.4;774.1;-1.6;80;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-18.4;;;;;;
01.03.2017 8:00;-15.1;726.4;772.0;-2.0;80;Штиль, безветрие;0;;;100%.; ;;;-20.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-17.8;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;2.0
01.03.2017 11:00;-13.5;724.3;769.4;-2.1;85;Ветер, дующий с востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-15.5;;;;;;
01.03.2017 14:00;-12.1;722.2;766.9;-2.1;85;Ветер, дующий с востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-14.1;;;;;;
01.03.2017 17:00;-11.4;721.0;765.4;-1.2;90;Ветер, дующий с востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-12.7;;;;;;
01.03.2017 20:00;-14.5;720.4;765.5;-0.6;90;Ветер, дующий с запада;3;;;60%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-11.1;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-15.8;1.0;12;;;;
01.03.2017 23:00;-15.8;720.3;765.6;-0.1;86;Ветер, дующий с запада;3;;;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-17.6;;;;;;
02.03.2017 2:00;-17.1;720.3;766.0;0.0;80;Ветер, дующий с запада;3;;;Облаков нет.; ;;;;;;;;;;;-19.8;;;;;;
02.03.2017 5:00;-12.5;721.6;766.3;01.мар;80;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-15.2;;;;;;
