"Местное время в Алыгджере";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.05.2019 20:00";"1.5";"680.5";"761.8";"";"39";"Ветер, дующий с севера";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"2.8";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-11.1";"Следы осадков";"12";"";"";"";"";
"09.05.2019 14:00";"1.5";"677.9";"758.9";"";"62";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"-5.1";"";"";"";"";"";"";
"09.05.2019 08:00";"2.6";"677.5";"758.0";"";"98";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"2.5";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"2.3";"2.0";"12";"";"";"";"";
"09.05.2019 02:00";"11.3";"678.6";"756.4";"";"97";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"10.9";"";"";"";"";"";"";
"08.05.2019 20:00";"17.2";"678.5";"755.0";"";"25";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"21.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-3.0";"Осадков нет";"12";"";"";"";"";
"08.05.2019 14:00";"18.1";"681.0";"757.5";"";"26";"Ветер, дующий с юга";"2";"";"10";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высокослоистые просвечивающие.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-1.9";"";"";"";"";"";"";
"08.05.2019 08:00";"1.1";"685.0";"766.9";"";"83";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-1.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"50.0";"-1.5";"Осадков нет";"12";"";"";"";"";
"08.05.2019 02:00";"1.3";"685.8";"767.7";"";"67";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-4.3";"";"";"";"";"";"";
"07.05.2019 20:00";"17.1";"685.5";"762.7";"";"22";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"19.8";"";"";"";"";"";"50.0";"-5.0";"Осадков нет";"12";"";"";"";"";
"07.05.2019 14:00";"18.2";"686.3";"763.3";"";"26";"Ветер, дующий с северо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-1.7";"";"";"";"";"";"";
"07.05.2019 08:00";"0.5";"688.5";"771.0";"";"92";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-2.0";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"50.0";"-0.6";"Осадков нет";"12";"";"";"";"";
"07.05.2019 02:00";"2.1";"687.2";"769.0";"";"72";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-2.5";"";"";"";"";"";"";
"06.05.2019 20:00";"16.4";"686.8";"764.4";"";"26";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"21.8";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-3.4";"Осадков нет";"12";"";"";"";"";
"06.05.2019 02:00";"-2.0";"691.6";"775.3";"";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-6.2";"";"";"";"";"";"";
"05.05.2019 20:00";"15.6";"689.3";"767.5";"";"20";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"19.4";"";"";"";"";"";"50.0";"-7.6";"Осадков нет";"12";"";"";"";"";
"05.05.2019 14:00";"17.0";"691.0";"768.9";"";"20";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-6.3";"";"";"";"";"";"";
"05.05.2019 08:00";"1.6";"692.9";"775.7";"";"46";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"-0.6";"";"";"";"";"";"";"50.0";"-8.8";"Осадков нет";"12";"";"";"";"";
"05.05.2019 02:00";"5.1";"691.7";"773.2";"";"56";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-3.1";"";"";"";"";"";"";
"04.05.2019 20:00";"13.4";"689.9";"768.8";"";"14";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"17.2";"";"";"";"";"";"50.0";"-13.5";"Осадков нет";"12";"";"";"";"";
"04.05.2019 14:00";"11.8";"691.6";"771.1";"";"22";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-9.3";"";"";"";"";"";"";
"04.05.2019 08:00";"-3.7";"694.3";"778.9";"";"76";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-8.6";"";"";"";"";"";"";"50.0";"-7.3";"Осадков нет";"12";"";"";"";"";
"04.05.2019 02:00";"-5.9";"692.9";"778.1";"";"87";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-7.8";"";"";"";"";"";"";
"03.05.2019 20:00";"7.1";"688.9";"769.5";"";"28";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"8.7";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-10.5";"Осадков нет";"12";"";"";"";"";
"03.05.2019 08:00";"-1.2";"687.7";"770.8";"";"53";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";" ";"";"";"-1.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-9.6";"Осадков нет";"12";"";"";"";"";
"03.05.2019 02:00";"0.4";"693.7";"768.7";"";"54";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-7.9";"";"";"";"";"";"";
"02.05.2019 20:00";"4.0";"685.3";"766.5";"";"50";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"6.1";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высокослоистые просвечивающие.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-5.5";"Осадков нет";"12";"";"";"";"";
"02.05.2019 14:00";"3.4";"685.2";"766.8";"";"60";"Ветер, дующий с востоко-северо-востока";"2";"";"";"50%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-3.7";"";"";"";"";"";"";
"02.05.2019 08:00";"-0.9";"684.5";"767.0";"";"85";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"-1.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"-3.1";"Следы осадков";"12";"";"";"";"";
"02.05.2019 02:00";"4.3";"681.4";"761.8";"";"73";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-0.2";"";"";"";"";"";"";
"01.05.2019 20:00";"17.5";"673.9";"749.8";"";"19";"Ветер, дующий с северо-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"23.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-6.6";"Осадков нет";"12";"";"";"";"";
"01.05.2019 14:00";"20.4";"672.5";"746.8";"";"15";"Ветер, дующий с юго-юго-запада";"6";"";"11";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-7.0";"";"";"";"";"";"";
"01.05.2019 08:00";"-0.9";"676.2";"757.6";"";"98";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"-2.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-1.2";"Осадков нет";"12";"";"";"";"";
"01.05.2019 02:00";"0.7";"677.2";"758.4";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-1.6";"";"";"";"";"";"";
"30.04.2019 20:00";"16.8";"678.5";"755.1";"";"26";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-2.9";"Осадков нет";"12";"";"";"";"";
"30.04.2019 14:00";"16.6";"680.2";"757.0";"";"29";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-1.7";"";"";"";"";"";"";
"30.04.2019 02:00";"-2.5";"681.6";"764.2";"";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-5.1";"";"";"";"";"";"";
"29.04.2019 20:00";"12.3";"682.0";"760.3";"";"26";"Ветер, дующий с юго-юго-запада";"8";"";"";"20–30%.";" ";"";"";"";"13.3";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-7.0";"Осадков нет";"12";"";"";"";"";
"29.04.2019 14:00";"9.4";"683.1";"762.3";"";"36";"Ветер, дующий с юго-юго-востока";"8";"10";"10";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-4.9";"";"";"";"";"";"";
"29.04.2019 08:00";"4.4";"682.9";"763.5";"";"42";"Ветер, дующий с юго-юго-востока";"8";"10";"10";"50%.";" ";"";"";"-3.4";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"10%  или менее, но не 0";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-7.5";"Осадков нет";"12";"";"";"";"";
"29.04.2019 02:00";"1.4";"683.9";"765.7";"";"40";"Ветер, дующий с юго-юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-10.8";"";"";"";"";"";"";
"28.04.2019 20:00";"4.9";"682.7";"763.3";"";"26";"Ветер, дующий с северо-запада";"4";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"7.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-13.1";"2.0";"12";"";"";"";"";
"28.04.2019 14:00";"0.5";"679.7";"761.1";"";"98";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"2.0";"0.2";"";"";"";"";"";"";
"28.04.2019 08:00";"2.2";"677.7";"758.4";"";"77";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"0.4";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-1.5";"Осадков нет";"12";"";"";"";"";
"28.04.2019 02:00";"4.2";"675.1";"754.9";"";"66";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-1.6";"";"";"";"";"";"";
"27.04.2019 20:00";"14.0";"675.8";"752.9";"";"27";"Ветер, дующий с юго-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"16.1";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-4.8";"Осадков нет";"12";"";"";"";"";
"27.04.2019 14:00";"12.2";"678.7";"756.5";"";"32";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-4.0";"";"";"";"";"";"";
"27.04.2019 08:00";"3.3";"680.8";"761.5";"";"85";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"1.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"1.0";"Следы осадков";"12";"";"";"";"";
"27.04.2019 02:00";"6.6";"680.2";"759.8";"";"58";"Ветер, дующий с юга";"4";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-1.1";"";"";"";"";"";"";
"26.04.2019 20:00";"6.6";"680.7";"760.4";"";"58";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"13.1";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"4.0";"-1.1";"0.3";"12";"";"";"";"";
"26.04.2019 14:00";"12.0";"678.7";"756.7";"";"31";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-4.8";"";"";"";"";"";"";
"26.04.2019 08:00";"0.6";"677.6";"758.8";"";"96";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"-0.7";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"0.0";"Осадков нет";"12";"";"";"";"";
"26.04.2019 02:00";"7.8";"676.3";"755.2";"";"34";"Ветер, дующий с юго-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-7.4";"";"";"";"";"";"";
"25.04.2019 20:00";"11.6";"675.8";"753.5";"";"26";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"14.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"50.0";"-7.6";"Осадков нет";"12";"";"";"";"";
"25.04.2019 14:00";"12.6";"679.5";"757.4";"";"22";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-8.5";"";"";"";"";"";"";
"25.04.2019 08:00";"-3.1";"683.2";"766.3";"";"77";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-6.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-6.6";"Осадков нет";"12";"";"";"";"";
"25.04.2019 02:00";"-4.7";"682.3";"765.7";"";"86";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-6.7";"";"";"";"";"";"";
"24.04.2019 20:00";"9.7";"680.4";"759.3";"";"21";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"";"12.8";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-11.6";"Осадков нет";"12";"";"";"";"";
"24.04.2019 14:00";"9.1";"680.9";"760.0";"";"20";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-12.6";"";"";"";"";"";"";
"24.04.2019 08:00";"-3.6";"684.1";"767.5";"";"50";"Ветер, дующий с юга";"2";"";"";"10%  или менее, но не 0";" ";"";"";"-5.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-12.7";"Осадков нет";"12";"";"";"";"";
"24.04.2019 02:00";"-2.7";"685.1";"768.4";"";"63";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-8.8";"";"";"";"";"";"";
"23.04.2019 20:00";"6.0";"684.2";"764.5";"";"28";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"9.7";"";"";"";"";"";"50.0";"-11.2";"Осадков нет";"12";"";"";"";"";
"23.04.2019 14:00";"5.9";"686.2";"766.9";"";"22";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-14.1";"";"";"";"";"";"";
"23.04.2019 08:00";"-6.0";"688.7";"773.5";"";"56";"Ветер, дующий с юго-юго-востока";"4";"";"";"Облаков нет.";" ";"";"";"-8.2";"";"";"";"";"";"";"50.0";"-13.4";"Осадков нет";"12";"";"";"";"";
"23.04.2019 02:00";"-7.7";"687.4";"772.5";"";"76";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-11.2";"";"";"";"";"";"";
"22.04.2019 20:00";"0.1";"684.1";"766.3";"";"48";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"5.3";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-9.6";"Следы осадков";"12";"";"";"";"";
"22.04.2019 14:00";"3.4";"681.9";"762.7";"";"40";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Облака в целом образовывались или развивались. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-9.2";"";"";"";"";"";"";
